## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-09-20T11:39:29.413Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Oxygen data from 1 Jan - 31 Dec 2009, University of Victoria, Canada, Downloaded on 20 Sep 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_OxygenSensor_OxygenConcentrationCorrected_20090101T000000Z_20091231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22320424                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040138                         / Latitude North
#LONGITUDE:  -123.426075                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2009-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 1
#DEVCODE1:  AandOpt0581                          / Device Code of Device 1
#DEVID1:    22603                                / Device ID of Device 1
#
#DEPLDATE2: 2009-09-28T00:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 2
#DEVCODE2:  AandOpt0581                          / Device Code of Device 2
#DEVID2:    22603                                / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2009-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2009-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2008-09-09T19:30:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7962                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag" , "Oxygen Concentration Corrected Count"  
## END HEADER
2009-01-01T00:30:00.000Z, 2.190901615, 7, 60
2009-01-01T01:30:00.000Z, 2.191442161, 7, 60
2009-01-01T02:30:00.000Z, 2.187560295, 7, 60
2009-01-01T03:30:00.000Z, 2.186411104, 7, 60
2009-01-01T04:30:00.000Z, 2.165799508, 7, 60
2009-01-01T05:30:00.000Z, 2.140405408, 7, 60
2009-01-01T06:30:00.000Z, 2.140775982, 7, 60
2009-01-01T07:30:00.000Z, 2.139682065, 7, 60
2009-01-01T08:30:00.000Z, 2.129263384, 7, 60
2009-01-01T09:30:00.000Z, 2.125045311, 7, 60
2009-01-01T10:30:00.000Z, 2.132617185, 7, 60
2009-01-01T11:30:00.000Z, 2.143446391, 7, 60
2009-01-01T12:30:00.000Z, 2.151136813, 7, 60
2009-01-01T13:30:00.000Z, 2.171641083, 7, 60
2009-01-01T14:30:00.000Z, 2.178583747, 7, 60
2009-01-01T15:30:00.000Z, 2.182026704, 7, 60
2009-01-01T16:30:00.000Z, 2.187488875, 7, 60
2009-01-01T17:30:00.000Z, 2.188313986, 7, 60
2009-01-01T18:30:00.000Z, 2.18834805, 7, 60
2009-01-01T19:30:00.000Z, 2.196540018, 7, 60
2009-01-01T20:30:00.000Z, 2.198250924, 7, 60
2009-01-01T21:30:00.000Z, 2.197227136, 7, 60
2009-01-01T22:30:00.000Z, 2.189496037, 7, 60
2009-01-01T23:30:00.000Z, 2.182546493, 7, 60
2009-01-02T00:30:00.000Z, 2.179029102, 7, 60
2009-01-02T01:30:00.000Z, 2.178038771, 7, 60
2009-01-02T02:30:00.000Z, 2.174599431, 7, 60
2009-01-02T03:30:00.000Z, 2.172697028, 7, 60
2009-01-02T04:30:00.000Z, 2.172514637, 7, 60
2009-01-02T05:30:00.000Z, 2.167055772, 7, 60
2009-01-02T06:30:00.000Z, 2.167866161, 7, 60
2009-01-02T07:30:00.000Z, 2.165209909, 7, 60
2009-01-02T08:30:00.000Z, 2.171511249, 7, 60
2009-01-02T09:30:00.000Z, 2.168625434, 7, 60
2009-01-02T10:30:00.000Z, 2.171975539, 7, 60
2009-01-02T11:30:00.000Z, 2.174716398, 7, 60
2009-01-02T12:30:00.000Z, 2.164350695, 7, 60
2009-01-02T13:30:00.000Z, NaN, 6, 37
2009-01-02T14:30:00.000Z, NaN, 6, 0
2009-01-02T15:30:00.000Z, NaN, 6, 6
2009-01-02T16:30:00.000Z, 2.220350301, 7, 60
2009-01-02T17:30:00.000Z, 2.233365228, 7, 60
2009-01-02T18:30:00.000Z, 2.271611584, 7, 60
2009-01-02T19:30:00.000Z, 2.332829816, 7, 60
2009-01-02T20:30:00.000Z, 2.314896652, 7, 60
2009-01-02T21:30:00.000Z, 2.248444222, 7, 60
2009-01-02T22:30:00.000Z, 2.213780053, 7, 60
2009-01-02T23:30:00.000Z, 2.201468641, 7, 60
2009-01-03T00:30:00.000Z, 2.200774731, 7, 60
2009-01-03T01:30:00.000Z, 2.200106022, 7, 60
2009-01-03T02:30:00.000Z, 2.191508736, 7, 60
2009-01-03T03:30:00.000Z, 2.188143432, 7, 60
2009-01-03T04:30:00.000Z, 2.182589274, 7, 60
2009-01-03T05:30:00.000Z, 2.1810957, 7, 60
2009-01-03T06:30:00.000Z, 2.181874569, 7, 60
2009-01-03T07:30:00.000Z, 2.181458106, 7, 60
2009-01-03T08:30:00.000Z, 2.171562063, 7, 60
2009-01-03T09:30:00.000Z, 2.168381247, 7, 60
2009-01-03T10:30:00.000Z, 2.153243699, 7, 60
