## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-09-20T11:39:25.102Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Pressure data from 1 Jan - 31 Dec 2009, University of Victoria, Canada, Downloaded on 20 Sep 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Pressure_20090101T000000Z_20091231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22320430                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040138                         / Latitude North
#LONGITUDE:  -123.426075                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2009-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 5047"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p5047                        / Device Code of Device 1
#DEVID1:    38                                   / Device ID of Device 1
#
#DEPLDATE2: 2009-09-28T00:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 5047"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p5047                        / Device Code of Device 2
#DEVID2:    38                                   / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2009-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2009-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2008-02-26T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8004                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Pressure (decibar)", "Pressure QC Flag" , "Pressure Count"  
## END HEADER
2009-01-01T00:30:00.000Z, 299.9333, 7, 60
2009-01-01T01:30:00.000Z, 300.095666667, 7, 60
2009-01-01T02:30:00.000Z, 300.210166667, 7, 60
2009-01-01T03:30:00.000Z, 300.169533333, 7, 60
2009-01-01T04:30:00.000Z, 299.947333333, 7, 60
2009-01-01T05:30:00.000Z, 299.543733333, 7, 60
2009-01-01T06:30:00.000Z, 299.0585, 7, 60
2009-01-01T07:30:00.000Z, 298.55625, 7, 60
2009-01-01T08:30:00.000Z, 298.142983333, 7, 60
2009-01-01T09:30:00.000Z, 297.931566667, 7, 60
2009-01-01T10:30:00.000Z, 298.038016667, 7, 60
2009-01-01T11:30:00.000Z, 298.427433333, 7, 60
2009-01-01T12:30:00.000Z, 298.9819, 7, 60
2009-01-01T13:30:00.000Z, 299.664133333, 7, 60
2009-01-01T14:30:00.000Z, 300.350033333, 7, 60
2009-01-01T15:30:00.000Z, 300.9126, 7, 60
2009-01-01T16:30:00.000Z, 301.26695, 7, 60
2009-01-01T17:30:00.000Z, 301.344683333, 7, 60
2009-01-01T18:30:00.000Z, 301.182833333, 7, 60
2009-01-01T19:30:00.000Z, 300.88845, 7, 60
2009-01-01T20:30:00.000Z, 300.502816667, 7, 60
2009-01-01T21:30:00.000Z, 300.118416667, 7, 60
2009-01-01T22:30:00.000Z, 299.84035, 7, 60
2009-01-01T23:30:00.000Z, 299.714583333, 7, 60
2009-01-02T00:30:00.000Z, 299.746866667, 7, 60
2009-01-02T01:30:00.000Z, 299.856616667, 7, 60
2009-01-02T02:30:00.000Z, 299.9811, 7, 60
2009-01-02T03:30:00.000Z, 300.0445, 7, 60
2009-01-02T04:30:00.000Z, 299.960666667, 7, 60
2009-01-02T05:30:00.000Z, 299.6973, 7, 60
2009-01-02T06:30:00.000Z, 299.316166667, 7, 60
2009-01-02T07:30:00.000Z, 298.90005, 7, 60
2009-01-02T08:30:00.000Z, 298.499833333, 7, 60
2009-01-02T09:30:00.000Z, 298.23995, 7, 60
2009-01-02T10:30:00.000Z, 298.224683333, 7, 60
2009-01-02T11:30:00.000Z, 298.4954, 7, 60
2009-01-02T12:30:00.000Z, 298.96155, 7, 60
2009-01-02T13:30:00.000Z, 299.566916667, 7, 60
2009-01-02T14:30:00.000Z, 300.22635, 7, 60
2009-01-02T15:30:00.000Z, 300.808566667, 7, 60
2009-01-02T16:30:00.000Z, 301.228116667, 7, 60
2009-01-02T17:30:00.000Z, 301.397766667, 7, 60
2009-01-02T18:30:00.000Z, 301.274966667, 7, 60
2009-01-02T19:30:00.000Z, 300.97015, 7, 60
2009-01-02T20:30:00.000Z, 300.521233333, 7, 60
2009-01-02T21:30:00.000Z, 300.025283333, 7, 60
2009-01-02T22:30:00.000Z, 299.58285, 7, 60
2009-01-02T23:30:00.000Z, 299.29055, 7, 60
2009-01-03T00:30:00.000Z, 299.1847, 7, 60
2009-01-03T01:30:00.000Z, 299.2592, 7, 60
2009-01-03T02:30:00.000Z, 299.43495, 7, 60
2009-01-03T03:30:00.000Z, 299.63995, 7, 60
2009-01-03T04:30:00.000Z, 299.78, 7, 60
2009-01-03T05:30:00.000Z, 299.793033333, 7, 60
2009-01-03T06:30:00.000Z, 299.665766667, 7, 60
2009-01-03T07:30:00.000Z, 299.4218, 7, 60
2009-01-03T08:30:00.000Z, 299.1431, 7, 60
2009-01-03T09:30:00.000Z, 298.876983333, 7, 60
2009-01-03T10:30:00.000Z, 298.735116667, 7, 60
