## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-09-20T11:39:29.423Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Salinity data from 1 Jan - 31 Dec 2009, University of Victoria, Canada, Downloaded on 20 Sep 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_PracticalSalinity_20090101T000000Z_20091231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22320434                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040138                         / Latitude North
#LONGITUDE:  -123.426075                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2009-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 5047"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p5047                        / Device Code of Device 1
#DEVID1:    38                                   / Device ID of Device 1
#
#DEPLDATE2: 2009-09-28T00:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 5047"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p5047                        / Device Code of Device 2
#DEVID2:    38                                   / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2009-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2009-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2008-02-26T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7612                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Practical Salinity (psu)", "Practical Salinity QC Flag" , "Practical Salinity Count"  
## END HEADER
2009-01-01T00:30:00.000Z, 31.136221667, 7, 60
2009-01-01T01:30:00.000Z, 31.136151667, 7, 60
2009-01-01T02:30:00.000Z, 31.13595, 7, 60
2009-01-01T03:30:00.000Z, 31.137971667, 7, 60
2009-01-01T04:30:00.000Z, 31.150695, 7, 60
2009-01-01T05:30:00.000Z, 31.161926667, 7, 60
2009-01-01T06:30:00.000Z, 31.163915, 7, 60
2009-01-01T07:30:00.000Z, 31.167391667, 7, 60
2009-01-01T08:30:00.000Z, 31.172545, 7, 60
2009-01-01T09:30:00.000Z, 31.173286667, 7, 60
2009-01-01T10:30:00.000Z, 31.170515, 7, 60
2009-01-01T11:30:00.000Z, 31.162605, 7, 60
2009-01-01T12:30:00.000Z, 31.156411667, 7, 60
2009-01-01T13:30:00.000Z, 31.14766, 7, 60
2009-01-01T14:30:00.000Z, 31.143808333, 7, 60
2009-01-01T15:30:00.000Z, 31.139005, 7, 60
2009-01-01T16:30:00.000Z, 31.134428333, 7, 60
2009-01-01T17:30:00.000Z, 31.12834, 7, 60
2009-01-01T18:30:00.000Z, 31.124085, 7, 60
2009-01-01T19:30:00.000Z, 31.118816667, 7, 60
2009-01-01T20:30:00.000Z, 31.117355, 7, 60
2009-01-01T21:30:00.000Z, 31.11761, 7, 60
2009-01-01T22:30:00.000Z, 31.122771667, 7, 60
2009-01-01T23:30:00.000Z, 31.127473333, 7, 60
2009-01-02T00:30:00.000Z, 31.131235, 7, 60
2009-01-02T01:30:00.000Z, 31.135255, 7, 60
2009-01-02T02:30:00.000Z, 31.136655, 7, 60
2009-01-02T03:30:00.000Z, 31.136671667, 7, 60
2009-01-02T04:30:00.000Z, 31.137131667, 7, 60
2009-01-02T05:30:00.000Z, 31.139708333, 7, 60
2009-01-02T06:30:00.000Z, 31.140885, 7, 60
2009-01-02T07:30:00.000Z, 31.141475, 7, 60
2009-01-02T08:30:00.000Z, 31.14047, 7, 60
2009-01-02T09:30:00.000Z, 31.140255, 7, 60
2009-01-02T10:30:00.000Z, 31.138633333, 7, 60
2009-01-02T11:30:00.000Z, 31.135973333, 7, 60
2009-01-02T12:30:00.000Z, 31.13843, 7, 60
2009-01-02T13:30:00.000Z, NaN, 6, 37
2009-01-02T14:30:00.000Z, NaN, 6, 0
2009-01-02T15:30:00.000Z, NaN, 6, 6
2009-01-02T16:30:00.000Z, 31.109435, 7, 60
2009-01-02T17:30:00.000Z, 31.099331667, 7, 60
2009-01-02T18:30:00.000Z, 31.082985, 7, 60
2009-01-02T19:30:00.000Z, 31.062405, 7, 60
2009-01-02T20:30:00.000Z, 31.070138333, 7, 60
2009-01-02T21:30:00.000Z, 31.093318333, 7, 60
2009-01-02T22:30:00.000Z, 31.107615, 7, 60
2009-01-02T23:30:00.000Z, 31.113605, 7, 60
2009-01-03T00:30:00.000Z, 31.114315, 7, 60
2009-01-03T01:30:00.000Z, 31.113881667, 7, 60
2009-01-03T02:30:00.000Z, 31.118288333, 7, 60
2009-01-03T03:30:00.000Z, 31.120273333, 7, 60
2009-01-03T04:30:00.000Z, 31.128665, 7, 60
2009-01-03T05:30:00.000Z, 31.13088, 7, 60
2009-01-03T06:30:00.000Z, 31.129341667, 7, 60
2009-01-03T07:30:00.000Z, 31.128951667, 7, 60
2009-01-03T08:30:00.000Z, 31.13181, 7, 60
2009-01-03T09:30:00.000Z, 31.132561667, 7, 60
2009-01-03T10:30:00.000Z, 31.132248333, 7, 60
2009-01-03T11:30:00.000Z, 31.129575, 7, 60
