## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-09-20T11:50:23.823Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 1 Jan - 31 Dec 2009, University of Victoria, Canada, Downloaded on 20 Sep 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Temperature_20090101T000000Z_20091231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22320464                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040138                         / Latitude North
#LONGITUDE:  -123.426075                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2009-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 5047"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p5047                        / Device Code of Device 1
#DEVID1:    38                                   / Device ID of Device 1
#
#DEPLDATE2: 2009-09-28T00:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 5047"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p5047                        / Device Code of Device 2
#DEVID2:    38                                   / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2009-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2009-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2008-02-26T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7999                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  
## END HEADER
2009-01-01T00:30:00.000Z, 9.148685, 7, 60
2009-01-01T01:30:00.000Z, 9.149538333, 7, 60
2009-01-01T02:30:00.000Z, 9.150985, 7, 60
2009-01-01T03:30:00.000Z, 9.148931667, 7, 60
2009-01-01T04:30:00.000Z, 9.140028333, 7, 60
2009-01-01T05:30:00.000Z, 9.140431667, 7, 60
2009-01-01T06:30:00.000Z, 9.142191667, 7, 60
2009-01-01T07:30:00.000Z, 9.141543333, 7, 60
2009-01-01T08:30:00.000Z, 9.14066, 7, 60
2009-01-01T09:30:00.000Z, 9.140255, 7, 60
2009-01-01T10:30:00.000Z, 9.140371667, 7, 60
2009-01-01T11:30:00.000Z, 9.141366667, 7, 60
2009-01-01T12:30:00.000Z, 9.138213333, 7, 60
2009-01-01T13:30:00.000Z, 9.137665, 7, 60
2009-01-01T14:30:00.000Z, 9.140228333, 7, 60
2009-01-01T15:30:00.000Z, 9.145596667, 7, 60
2009-01-01T16:30:00.000Z, 9.151515, 7, 60
2009-01-01T17:30:00.000Z, 9.155031667, 7, 60
2009-01-01T18:30:00.000Z, 9.15519, 7, 60
2009-01-01T19:30:00.000Z, 9.157728333, 7, 60
2009-01-01T20:30:00.000Z, 9.158845, 7, 60
2009-01-01T21:30:00.000Z, 9.159648333, 7, 60
2009-01-01T22:30:00.000Z, 9.156535, 7, 60
2009-01-01T23:30:00.000Z, 9.153681667, 7, 60
2009-01-02T00:30:00.000Z, 9.151693333, 7, 60
2009-01-02T01:30:00.000Z, 9.148038333, 7, 60
2009-01-02T02:30:00.000Z, 9.145978333, 7, 60
2009-01-02T03:30:00.000Z, 9.146103333, 7, 60
2009-01-02T04:30:00.000Z, 9.14647, 7, 60
2009-01-02T05:30:00.000Z, 9.146121667, 7, 60
2009-01-02T06:30:00.000Z, 9.146008333, 7, 60
2009-01-02T07:30:00.000Z, 9.146106667, 7, 60
2009-01-02T08:30:00.000Z, 9.146416667, 7, 60
2009-01-02T09:30:00.000Z, 9.148156667, 7, 60
2009-01-02T10:30:00.000Z, 9.145936667, 7, 60
2009-01-02T11:30:00.000Z, 9.146716667, 7, 60
2009-01-02T12:30:00.000Z, 9.144058333, 7, 60
2009-01-02T13:30:00.000Z, 9.150255, 7, 60
2009-01-02T14:30:00.000Z, 9.153051667, 7, 60
2009-01-02T15:30:00.000Z, 9.157778333, 7, 60
2009-01-02T16:30:00.000Z, 9.159866667, 7, 60
2009-01-02T17:30:00.000Z, 9.150968333, 7, 60
2009-01-02T18:30:00.000Z, 9.121248333, 7, 60
2009-01-02T19:30:00.000Z, 9.077095, 7, 60
2009-01-02T20:30:00.000Z, 9.10382, 7, 60
2009-01-02T21:30:00.000Z, 9.139505, 7, 60
2009-01-02T22:30:00.000Z, 9.146393333, 7, 60
2009-01-02T23:30:00.000Z, 9.151871667, 7, 60
2009-01-03T00:30:00.000Z, 9.153511667, 7, 60
2009-01-03T01:30:00.000Z, 9.154148333, 7, 60
2009-01-03T02:30:00.000Z, 9.154511667, 7, 60
2009-01-03T03:30:00.000Z, 9.154686667, 7, 60
2009-01-03T04:30:00.000Z, 9.149576667, 7, 60
2009-01-03T05:30:00.000Z, 9.147548333, 7, 60
2009-01-03T06:30:00.000Z, 9.148811667, 7, 60
2009-01-03T07:30:00.000Z, 9.1491, 7, 60
2009-01-03T08:30:00.000Z, 9.147836667, 7, 60
2009-01-03T09:30:00.000Z, 9.147965, 7, 60
