## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-09-20T11:24:18.024Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 1 Jan - 4 Dec 2009, University of Victoria, Canada, Downloaded on 20 Sep 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20090101T000000Z_20091204T000000Z-NaN_clean_avg1day_CSV_META.pdf  / Metadata file name
#SEARCHID:  22320394                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040138                         / Latitude North
#LONGITUDE:  -123.426075                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2009-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 117"               / Device Name of Device 1
#DEVCODE1:  WLNTUS0117                           / Device Code of Device 1
#DEVID1:    64                                   / Device ID of Device 1
#
#DEPLDATE2: 2009-09-28T00:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 117"               / Device Name of Device 2
#DEVCODE2:  WLNTUS0117                           / Device Code of Device 2
#DEVID2:    64                                   / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2009-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2009-12-04T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2008-02-26T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 86400                                / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 312                                  / Samples in File
#TOTSMPEXP: 337                                  / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2009-01-01T12:00:00.000Z, 0.289980833, 7, 1440
2009-01-02T12:00:00.000Z, 0.416588333, 7, 1440
2009-01-03T12:00:00.000Z, 0.262328333, 7, 1440
2009-01-04T12:00:00.000Z, 0.211795833, 7, 1440
2009-01-05T12:00:00.000Z, 0.223788333, 7, 1440
2009-01-06T12:00:00.000Z, 0.2925275, 7, 1440
2009-01-07T12:00:00.000Z, 0.329225833, 7, 1440
2009-01-08T12:00:00.000Z, 0.486613333, 7, 1440
2009-01-09T12:00:00.000Z, 0.9684125, 7, 1440
2009-01-10T12:00:00.000Z, 0.811825, 7, 1440
2009-01-11T12:00:00.000Z, 0.813, 7, 1440
2009-01-12T12:00:00.000Z, 0.798414167, 7, 1440
2009-01-13T12:00:00.000Z, 0.924779167, 7, 1440
2009-01-14T12:00:00.000Z, 0.709988333, 7, 1440
2009-01-15T12:00:00.000Z, 0.551181667, 7, 1440
2009-01-16T12:00:00.000Z, 0.45991, 7, 1440
2009-01-17T12:00:00.000Z, 0.338, 7, 1440
2009-01-18T12:00:00.000Z, 0.297785833, 7, 1440
2009-01-19T12:00:00.000Z, 0.24269, 7, 1440
2009-01-20T12:00:00.000Z, 0.2423125, 7, 1440
2009-01-21T12:00:00.000Z, 0.281195833, 7, 1440
2009-01-22T12:00:00.000Z, 0.349954167, 7, 1440
2009-01-23T12:00:00.000Z, 0.358289167, 7, 1440
2009-01-24T12:00:00.000Z, 0.43038, 7, 1440
2009-01-25T12:00:00.000Z, 0.466614167, 7, 1440
2009-01-26T12:00:00.000Z, 0.53079, 7, 1440
2009-01-27T12:00:00.000Z, 0.513605833, 7, 1440
2009-01-28T12:00:00.000Z, 0.416038333, 7, 1440
2009-01-29T12:00:00.000Z, 0.335839167, 7, 1440
2009-01-30T12:00:00.000Z, 0.280168333, 7, 1440
2009-01-31T12:00:00.000Z, 0.176566667, 7, 1440
2009-02-01T12:00:00.000Z, 0.1884825, 7, 1440
2009-02-02T12:00:00.000Z, 0.1630275, 7, 1440
2009-02-03T12:00:00.000Z, 0.209063333, 7, 1440
2009-02-04T12:00:00.000Z, 0.228135833, 7, 1440
2009-02-05T12:00:00.000Z, 0.3234625, 7, 1440
2009-02-06T12:00:00.000Z, 0.391186667, 7, 1440
2009-02-07T12:00:00.000Z, 0.61209, 7, 1440
2009-02-08T12:00:00.000Z, 0.687935833, 7, 1440
2009-02-09T12:00:00.000Z, 0.693245, 7, 1440
2009-02-10T12:00:00.000Z, 0.648935833, 7, 1440
2009-02-11T12:00:00.000Z, 0.4109825, 7, 1440
2009-02-12T12:00:00.000Z, 0.424982427, 7, 1434
2009-02-13T12:00:00.000Z, 0.276335833, 7, 1440
2009-02-14T12:00:00.000Z, 0.2147125, 7, 1440
2009-02-15T12:00:00.000Z, 0.258681667, 7, 1440
2009-02-16T12:00:00.000Z, 0.231403333, 7, 1440
2009-02-17T12:00:00.000Z, 0.225690833, 7, 1440
2009-02-18T12:00:00.000Z, 0.177260833, 7, 1440
2009-02-19T12:00:00.000Z, 0.176231433, 7, 1438
2009-02-20T12:00:00.000Z, 0.472199167, 7, 1440
2009-02-21T12:00:00.000Z, 0.599475, 7, 1440
2009-02-22T12:00:00.000Z, 0.700416667, 7, 1440
2009-02-23T12:00:00.000Z, 0.42305, 7, 1440
2009-02-24T12:00:00.000Z, 0.4483025, 7, 1440
2009-02-25T12:00:00.000Z, 0.318685833, 7, 1440
