## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-09-20T11:19:38.228Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 1 Jan - 3 Dec 2009, University of Victoria, Canada, Downloaded on 20 Sep 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20090101T000000Z_20091203T180000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22320384                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040138                         / Latitude North
#LONGITUDE:  -123.426075                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2009-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 117"               / Device Name of Device 1
#DEVCODE1:  WLNTUS0117                           / Device Code of Device 1
#DEVID1:    64                                   / Device ID of Device 1
#
#DEPLDATE2: 2009-09-28T00:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 117"               / Device Name of Device 2
#DEVCODE2:  WLNTUS0117                           / Device Code of Device 2
#DEVID2:    64                                   / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2009-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2009-12-03T18:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2008-02-26T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7509                                 / Samples in File
#TOTSMPEXP: 8082                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2009-01-01T00:30:00.000Z, 0.23884, 7, 60
2009-01-01T01:30:00.000Z, 0.13542, 7, 60
2009-01-01T02:30:00.000Z, 0.09832, 7, 60
2009-01-01T03:30:00.000Z, 0.33306, 7, 60
2009-01-01T04:30:00.000Z, 0.281, 7, 60
2009-01-01T05:30:00.000Z, 0.33214, 7, 60
2009-01-01T06:30:00.000Z, 0.31862, 7, 60
2009-01-01T07:30:00.000Z, 0.28912, 7, 60
2009-01-01T08:30:00.000Z, 0.23696, 7, 60
2009-01-01T09:30:00.000Z, 0.27682, 7, 60
2009-01-01T10:30:00.000Z, 0.2828, 7, 60
2009-01-01T11:30:00.000Z, 0.26646, 7, 60
2009-01-01T12:30:00.000Z, 0.34202, 7, 60
2009-01-01T13:30:00.000Z, 0.38276, 7, 60
2009-01-01T14:30:00.000Z, 0.35052, 7, 60
2009-01-01T15:30:00.000Z, 0.355, 7, 60
2009-01-01T16:30:00.000Z, 0.39434, 7, 60
2009-01-01T17:30:00.000Z, 0.33144, 7, 60
2009-01-01T18:30:00.000Z, 0.40974, 7, 60
2009-01-01T19:30:00.000Z, 0.2863, 7, 60
2009-01-01T20:30:00.000Z, 0.38284, 7, 60
2009-01-01T21:30:00.000Z, 0.19276, 7, 60
2009-01-01T22:30:00.000Z, 0.22654, 7, 60
2009-01-01T23:30:00.000Z, 0.21572, 7, 60
2009-01-02T00:30:00.000Z, 0.23502, 7, 60
2009-01-02T01:30:00.000Z, 0.22514, 7, 60
2009-01-02T02:30:00.000Z, 0.18812, 7, 60
2009-01-02T03:30:00.000Z, 0.27928, 7, 60
2009-01-02T04:30:00.000Z, 0.23768, 7, 60
2009-01-02T05:30:00.000Z, 0.21156, 7, 60
2009-01-02T06:30:00.000Z, 0.21848, 7, 60
2009-01-02T07:30:00.000Z, 0.17508, 7, 60
2009-01-02T08:30:00.000Z, 0.17094, 7, 60
2009-01-02T09:30:00.000Z, 0.1443, 7, 60
2009-01-02T10:30:00.000Z, 0.19012, 7, 60
2009-01-02T11:30:00.000Z, 0.31536, 7, 60
2009-01-02T12:30:00.000Z, 0.51632, 7, 60
2009-01-02T13:30:00.000Z, 1.05244, 7, 60
2009-01-02T14:30:00.000Z, 1.12396, 7, 60
2009-01-02T15:30:00.000Z, 0.69818, 7, 60
2009-01-02T16:30:00.000Z, 0.51236, 7, 60
2009-01-02T17:30:00.000Z, 0.53996, 7, 60
2009-01-02T18:30:00.000Z, 0.61514, 7, 60
2009-01-02T19:30:00.000Z, 0.42534, 7, 60
2009-01-02T20:30:00.000Z, 0.53624, 7, 60
2009-01-02T21:30:00.000Z, 0.5459, 7, 60
2009-01-02T22:30:00.000Z, 0.44384, 7, 60
2009-01-02T23:30:00.000Z, 0.39736, 7, 60
2009-01-03T00:30:00.000Z, 0.32888, 7, 60
2009-01-03T01:30:00.000Z, 0.16006, 7, 60
2009-01-03T02:30:00.000Z, 0.25674, 7, 60
2009-01-03T03:30:00.000Z, 0.1726, 7, 60
2009-01-03T04:30:00.000Z, 0.19378, 7, 60
2009-01-03T05:30:00.000Z, 0.28318, 7, 60
2009-01-03T06:30:00.000Z, 0.1733, 7, 60
2009-01-03T07:30:00.000Z, 0.1725, 7, 60
2009-01-03T08:30:00.000Z, 0.12324, 7, 60
2009-01-03T09:30:00.000Z, 0.06794, 7, 60
2009-01-03T10:30:00.000Z, 0.13886, 7, 60
