## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T10:10:34.356Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Oxygen data from 1 Jan - 31 Dec 2010, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_OxygenSensor_OxygenConcentrationCorrected_20100101T000000Z_20101231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523200                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040017                         / Latitude North
#LONGITUDE:  -123.425723                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    4  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2010-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 1
#DEVCODE1:  AandOpt0581                          / Device Code of Device 1
#DEVID1:    22603                                / Device ID of Device 1
#
#DEPLDATE2: 2010-02-19T21:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 2
#DEVCODE2:  AandOpt0581                          / Device Code of Device 2
#DEVID2:    22603                                / Device ID of Device 2
#
#DEPLDATE3: 2010-04-09T00:00:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Aanderaa Optode 4175 (S/N 0580)"     / Device Name of Device 3
#DEVCODE3:  AandOpt0580                          / Device Code of Device 3
#DEVID3:    1102                                 / Device ID of Device 3
#
#DEPLDATE4: 2010-12-11T16:00:00.000Z             / Device 4 Deployment Date
#DEVNAME4: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 4
#DEVCODE4:  AandOpt0581                          / Device Code of Device 4
#DEVID4:    22603                                / Device ID of Device 4
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2010-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2010-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2008-09-09T19:30:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2010-04-09T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   600                                  / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7574                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag" , "Oxygen Concentration Corrected Count"  
## END HEADER
2010-01-01T00:30:00.000Z, 2.268513895, 7, 60
2010-01-01T01:30:00.000Z, 2.264671577, 7, 60
2010-01-01T02:30:00.000Z, 2.257640836, 7, 60
2010-01-01T03:30:00.000Z, 2.242473396, 7, 60
2010-01-01T04:30:00.000Z, 2.23586986, 7, 60
2010-01-01T05:30:00.000Z, 2.235276749, 7, 60
2010-01-01T06:30:00.000Z, 2.22539536, 7, 60
2010-01-01T07:30:00.000Z, 2.239579863, 7, 60
2010-01-01T08:30:00.000Z, 2.259418505, 7, 60
2010-01-01T09:30:00.000Z, 2.257594656, 7, 60
2010-01-01T10:30:00.000Z, 2.255537783, 7, 60
2010-01-01T11:30:00.000Z, 2.271107925, 7, 60
2010-01-01T12:30:00.000Z, 2.293051306, 7, 60
2010-01-01T13:30:00.000Z, 2.306998625, 7, 60
2010-01-01T14:30:00.000Z, 2.314147471, 7, 60
2010-01-01T15:30:00.000Z, 2.310622237, 7, 60
2010-01-01T16:30:00.000Z, 2.304087742, 7, 60
2010-01-01T17:30:00.000Z, 2.298457827, 7, 60
2010-01-01T18:30:00.000Z, 2.290494938, 7, 60
2010-01-01T19:30:00.000Z, 2.250037999, 7, 60
2010-01-01T20:30:00.000Z, 2.292339891, 7, 60
2010-01-01T21:30:00.000Z, 2.294276114, 7, 60
2010-01-01T22:30:00.000Z, 2.296232635, 7, 60
2010-01-01T23:30:00.000Z, 2.293997065, 7, 60
2010-01-02T00:30:00.000Z, 2.291625818, 7, 60
2010-01-02T01:30:00.000Z, 2.286051442, 7, 60
2010-01-02T02:30:00.000Z, 2.281739197, 7, 60
2010-01-02T03:30:00.000Z, 2.275050276, 7, 60
2010-01-02T04:30:00.000Z, 2.262881876, 7, 60
2010-01-02T05:30:00.000Z, 2.261436157, 7, 60
2010-01-02T06:30:00.000Z, 2.246600368, 7, 60
2010-01-02T07:30:00.000Z, 2.243902697, 7, 60
2010-01-02T08:30:00.000Z, 2.247188551, 7, 60
2010-01-02T09:30:00.000Z, 2.258282637, 7, 60
2010-01-02T10:30:00.000Z, 2.257414235, 7, 60
2010-01-02T11:30:00.000Z, 2.260195488, 7, 60
2010-01-02T12:30:00.000Z, 2.274133576, 7, 60
2010-01-02T13:30:00.000Z, 2.291221525, 7, 60
2010-01-02T14:30:00.000Z, 2.300958497, 7, 60
2010-01-02T15:30:00.000Z, 2.310821512, 7, 60
2010-01-02T16:30:00.000Z, 2.313760324, 7, 60
2010-01-02T17:30:00.000Z, 2.309806374, 7, 60
2010-01-02T18:30:00.000Z, 2.305703797, 7, 60
2010-01-02T19:30:00.000Z, 2.298633271, 7, 60
2010-01-02T20:30:00.000Z, 2.292209003, 7, 60
2010-01-02T21:30:00.000Z, 2.295714652, 7, 60
2010-01-02T22:30:00.000Z, 2.300534329, 7, 60
2010-01-02T23:30:00.000Z, 2.299164029, 7, 60
2010-01-03T00:30:00.000Z, 2.281620382, 7, 60
2010-01-03T01:30:00.000Z, 2.274897747, 7, 60
2010-01-03T02:30:00.000Z, 2.273751489, 7, 60
2010-01-03T03:30:00.000Z, 2.274382507, 7, 60
2010-01-03T04:30:00.000Z, 2.272072386, 7, 60
2010-01-03T05:30:00.000Z, 2.272985627, 7, 60
2010-01-03T06:30:00.000Z, 2.262544675, 7, 60
2010-01-03T07:30:00.000Z, 2.255191546, 7, 60
2010-01-03T08:30:00.000Z, 2.255619512, 7, 60
2010-01-03T09:30:00.000Z, 2.259592021, 7, 60
2010-01-03T10:30:00.000Z, 2.262612135, 7, 60
2010-01-03T11:30:00.000Z, 2.261748029, 7, 60
2010-01-03T12:30:00.000Z, 2.266208591, 7, 60
2010-01-03T13:30:00.000Z, 2.285370558, 7, 60
2010-01-03T14:30:00.000Z, 2.311894668, 7, 60
2010-01-03T15:30:00.000Z, 2.329961443, 7, 60
2010-01-03T16:30:00.000Z, 2.327743159, 7, 60
2010-01-03T17:30:00.000Z, 2.324328835, 7, 60
2010-01-03T18:30:00.000Z, 2.321852743, 7, 60
2010-01-03T19:30:00.000Z, 2.320591734, 7, 60
2010-01-03T20:30:00.000Z, 2.306761409, 7, 60
2010-01-03T21:30:00.000Z, 2.299926221, 7, 60
