## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T09:59:48.075Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 1 Jan - 31 Dec 2010, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Temperature_20100101T000000Z_20101231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22522423                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040017                         / Latitude North
#LONGITUDE:  -123.425723                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    4  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2010-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 5047"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p5047                        / Device Code of Device 1
#DEVID1:    38                                   / Device ID of Device 1
#
#DEPLDATE2: 2010-02-19T21:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 4996"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p4996                        / Device Code of Device 2
#DEVID2:    19                                   / Device ID of Device 2
#
#DEPLDATE3: 2010-04-09T00:00:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE16plus 5047"      / Device Name of Device 3
#DEVCODE3:  SBECTD16p5047                        / Device Code of Device 3
#DEVID3:    38                                   / Device ID of Device 3
#
#DEPLDATE4: 2010-12-11T16:00:00.000Z             / Device 4 Deployment Date
#DEVNAME4: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 4
#DEVCODE4:  SBECTD16p4686                        / Device Code of Device 4
#DEVID4:    8                                    / Device ID of Device 4
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2010-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2010-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 4                                    / Number of Sample Periods
#PERIODST1: 2006-08-05T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2008-02-26T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   60                                   / Sensor Sample Period 2 (s)
#PERIODST3: 2010-02-18T11:51:00.000Z             / Sample Period 3 Start Time
#PERIOD3:   60                                   / Sensor Sample Period 3 (s)
#PERIODST4: 2010-04-09T00:00:00.000Z             / Sample Period 4 Start Time
#PERIOD4:   600                                  / Sensor Sample Period 4 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7578                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  
## END HEADER
2010-01-01T00:30:00.000Z, 9.421935, 7, 60
2010-01-01T01:30:00.000Z, 9.421031667, 7, 60
2010-01-01T02:30:00.000Z, 9.419235, 7, 60
2010-01-01T03:30:00.000Z, 9.419078333, 7, 60
2010-01-01T04:30:00.000Z, 9.410285, 7, 60
2010-01-01T05:30:00.000Z, 9.404958333, 7, 60
2010-01-01T06:30:00.000Z, 9.403078333, 7, 60
2010-01-01T07:30:00.000Z, 9.401001667, 7, 60
2010-01-01T08:30:00.000Z, 9.398913333, 7, 60
2010-01-01T09:30:00.000Z, 9.403405, 7, 60
2010-01-01T10:30:00.000Z, 9.408931667, 7, 60
2010-01-01T11:30:00.000Z, 9.406383333, 7, 60
2010-01-01T12:30:00.000Z, 9.407138333, 7, 60
2010-01-01T13:30:00.000Z, 9.408941667, 7, 60
2010-01-01T14:30:00.000Z, 9.409888333, 7, 60
2010-01-01T15:30:00.000Z, 9.411583333, 7, 60
2010-01-01T16:30:00.000Z, 9.419101667, 7, 60
2010-01-01T17:30:00.000Z, 9.424416667, 7, 60
2010-01-01T18:30:00.000Z, 9.42704, 7, 60
2010-01-01T19:30:00.000Z, 9.430251667, 7, 60
2010-01-01T20:30:00.000Z, 9.429023333, 7, 60
2010-01-01T21:30:00.000Z, 9.430065, 7, 60
2010-01-01T22:30:00.000Z, 9.424155, 7, 60
2010-01-01T23:30:00.000Z, 9.413113333, 7, 60
2010-01-02T00:30:00.000Z, 9.410575, 7, 60
2010-01-02T01:30:00.000Z, 9.410133333, 7, 60
2010-01-02T02:30:00.000Z, 9.410653333, 7, 60
2010-01-02T03:30:00.000Z, 9.410915, 7, 60
2010-01-02T04:30:00.000Z, 9.406858333, 7, 60
2010-01-02T05:30:00.000Z, 9.398425, 7, 60
2010-01-02T06:30:00.000Z, 9.398996667, 7, 60
2010-01-02T07:30:00.000Z, 9.399191667, 7, 60
2010-01-02T08:30:00.000Z, 9.396783333, 7, 60
2010-01-02T09:30:00.000Z, 9.394765, 7, 60
2010-01-02T10:30:00.000Z, 9.396078333, 7, 60
2010-01-02T11:30:00.000Z, 9.39846, 7, 60
2010-01-02T12:30:00.000Z, 9.404255, 7, 60
2010-01-02T13:30:00.000Z, 9.406733333, 7, 60
2010-01-02T14:30:00.000Z, 9.409453333, 7, 60
2010-01-02T15:30:00.000Z, 9.411156667, 7, 60
2010-01-02T16:30:00.000Z, 9.41195, 7, 60
2010-01-02T17:30:00.000Z, 9.413218333, 7, 60
2010-01-02T18:30:00.000Z, 9.414071667, 7, 60
2010-01-02T19:30:00.000Z, 9.413855, 7, 60
2010-01-02T20:30:00.000Z, 9.41297, 7, 60
2010-01-02T21:30:00.000Z, 9.411646667, 7, 60
2010-01-02T22:30:00.000Z, 9.411123333, 7, 60
2010-01-02T23:30:00.000Z, 9.409891667, 7, 60
2010-01-03T00:30:00.000Z, 9.409121667, 7, 60
2010-01-03T01:30:00.000Z, 9.408825, 7, 60
2010-01-03T02:30:00.000Z, 9.408005, 7, 60
2010-01-03T03:30:00.000Z, 9.406888333, 7, 60
2010-01-03T04:30:00.000Z, 9.406325, 7, 60
2010-01-03T05:30:00.000Z, 9.400546667, 7, 60
2010-01-03T06:30:00.000Z, 9.397046667, 7, 60
2010-01-03T07:30:00.000Z, 9.395838333, 7, 60
2010-01-03T08:30:00.000Z, 9.394898333, 7, 60
2010-01-03T09:30:00.000Z, 9.39451, 7, 60
2010-01-03T10:30:00.000Z, 9.393546667, 7, 60
2010-01-03T11:30:00.000Z, 9.394043333, 7, 60
2010-01-03T12:30:00.000Z, 9.392536667, 7, 60
2010-01-03T13:30:00.000Z, 9.392915, 7, 60
2010-01-03T14:30:00.000Z, 9.403545, 7, 60
2010-01-03T15:30:00.000Z, 9.409103333, 7, 60
2010-01-03T16:30:00.000Z, 9.40942, 7, 60
2010-01-03T17:30:00.000Z, 9.411388333, 7, 60
2010-01-03T18:30:00.000Z, 9.411736667, 7, 60
2010-01-03T19:30:00.000Z, 9.411455, 7, 60
2010-01-03T20:30:00.000Z, 9.411886667, 7, 60
2010-01-03T21:30:00.000Z, 9.412556667, 7, 60
2010-01-03T22:30:00.000Z, 9.410116667, 7, 60
2010-01-03T23:30:00.000Z, 9.40746, 7, 60
2010-01-04T00:30:00.000Z, 9.404121667, 7, 60
2010-01-04T01:30:00.000Z, 9.399363333, 7, 60
2010-01-04T02:30:00.000Z, 9.395686667, 7, 60
