## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T10:10:30.206Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 9 Apr - 11 Dec 2010, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20100409T190000Z_20101211T160000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523163                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040017                         / Latitude North
#LONGITUDE:  -123.425723                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2010-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 117"               / Device Name of Device 1
#DEVCODE1:  WLNTUS0117                           / Device Code of Device 1
#DEVID1:    64                                   / Device ID of Device 1
#
#DEPLDATE2: 2010-04-09T00:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 117"               / Device Name of Device 2
#DEVCODE2:  WLNTUS0117                           / Device Code of Device 2
#DEVID2:    64                                   / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2010-04-09T19:00:00.000Z             / Data Start Time
#DATETO:    2010-12-11T16:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2010-04-09T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   600                                  / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 5901                                 / Samples in File
#TOTSMPEXP: 5901                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2010-04-09T19:30:00.000Z, 1.23984, 7, 5
2010-04-09T20:30:00.000Z, 1.4112, 7, 6
2010-04-09T21:30:00.000Z, 0.6868, 7, 6
2010-04-09T22:30:00.000Z, 0.9722, 7, 6
2010-04-09T23:30:00.000Z, 0.3114, 7, 6
2010-04-10T00:30:00.000Z, 0.2126, 7, 6
2010-04-10T01:30:00.000Z, 0.2144, 7, 6
2010-04-10T02:30:00.000Z, 0.0728, 7, 6
2010-04-10T03:30:00.000Z, 0.0874, 7, 6
2010-04-10T04:30:00.000Z, 0.063, 7, 6
2010-04-10T05:30:00.000Z, 0.2664, 7, 6
2010-04-10T06:30:00.000Z, 0.1952, 7, 6
2010-04-10T07:30:00.000Z, 0.1646, 7, 6
2010-04-10T08:30:00.000Z, 0.1504, 7, 6
2010-04-10T09:30:00.000Z, 0.228, 7, 6
2010-04-10T10:30:00.000Z, 0.1598, 7, 6
2010-04-10T11:30:00.000Z, 0.339, 7, 6
2010-04-10T12:30:00.000Z, 0.3318, 7, 6
2010-04-10T13:30:00.000Z, 0.5152, 7, 6
2010-04-10T14:30:00.000Z, 0.335, 7, 6
2010-04-10T15:30:00.000Z, 0.226, 7, 6
2010-04-10T16:30:00.000Z, 0.2248, 7, 6
2010-04-10T17:30:00.000Z, 1.5258, 7, 6
2010-04-10T18:30:00.000Z, 0.3374, 7, 6
2010-04-10T19:30:00.000Z, 0.204, 7, 6
2010-04-10T20:30:00.000Z, 0.318, 7, 6
2010-04-10T21:30:00.000Z, 0.2026, 7, 6
2010-04-10T22:30:00.000Z, 0.1508, 7, 6
2010-04-10T23:30:00.000Z, 0.122, 7, 6
2010-04-11T00:30:00.000Z, 0.227, 7, 6
2010-04-11T01:30:00.000Z, 0.2144, 7, 6
2010-04-11T02:30:00.000Z, 0.3456, 7, 6
2010-04-11T03:30:00.000Z, 0.1794, 7, 6
2010-04-11T04:30:00.000Z, 0.1418, 7, 6
2010-04-11T05:30:00.000Z, 0.3354, 7, 6
2010-04-11T06:30:00.000Z, 0.1718, 7, 6
2010-04-11T07:30:00.000Z, 0.2396, 7, 6
2010-04-11T08:30:00.000Z, 0.2222, 7, 6
2010-04-11T09:30:00.000Z, 0.3026, 7, 6
2010-04-11T10:30:00.000Z, 0.2506, 7, 6
2010-04-11T11:30:00.000Z, 0.2088, 7, 6
2010-04-11T12:30:00.000Z, 0.347, 7, 6
2010-04-11T13:30:00.000Z, 0.3158, 7, 6
2010-04-11T14:30:00.000Z, 0.267, 7, 6
2010-04-11T15:30:00.000Z, 0.3006, 7, 6
2010-04-11T16:30:00.000Z, 0.2192, 7, 6
2010-04-11T17:30:00.000Z, 9.977, 7, 6
2010-04-11T18:30:00.000Z, 0.194, 7, 6
2010-04-11T19:30:00.000Z, 0.1368, 7, 6
2010-04-11T20:30:00.000Z, 0.2694, 7, 6
2010-04-11T21:30:00.000Z, 0.2712, 7, 6
2010-04-11T22:30:00.000Z, 0.3734, 7, 6
2010-04-11T23:30:00.000Z, 0.4358, 7, 6
2010-04-12T00:30:00.000Z, 0.4022, 7, 6
2010-04-12T01:30:00.000Z, 0.8776, 7, 6
2010-04-12T02:30:00.000Z, 0.6668, 7, 6
2010-04-12T03:30:00.000Z, 0.2142, 7, 6
2010-04-12T04:30:00.000Z, 0.3108, 7, 6
2010-04-12T05:30:00.000Z, 0.1008, 7, 6
2010-04-12T06:30:00.000Z, 0.1628, 7, 6
