## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T10:38:27.803Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Oxygen data from 1 Jan - 31 Dec 2011, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_OxygenSensor_OxygenConcentrationCorrected_20110101T000000Z_20111231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523501                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.039887                         / Latitude North
#LONGITUDE:  -123.425852                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2011-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 1
#DEVCODE1:  AandOpt0581                          / Device Code of Device 1
#DEVID1:    22603                                / Device ID of Device 1
#
#DEPLDATE2: 2011-07-03T02:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 2
#DEVCODE2:  AandOpt0581                          / Device Code of Device 2
#DEVID2:    22603                                / Device ID of Device 2
#
#DEPLDATE3: 2011-10-03T14:00:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 3
#DEVCODE3:  AandOpt0581                          / Device Code of Device 3
#DEVID3:    22603                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2011-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2011-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2008-09-09T19:30:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8439                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag" , "Oxygen Concentration Corrected Count"  
## END HEADER
2011-01-01T00:30:00.000Z, 2.421728896, 7, 60
2011-01-01T01:30:00.000Z, 2.414508586, 7, 60
2011-01-01T02:30:00.000Z, 2.417318251, 7, 60
2011-01-01T03:30:00.000Z, 2.432882925, 7, 60
2011-01-01T04:30:00.000Z, 2.437692037, 7, 60
2011-01-01T05:30:00.000Z, 2.442199856, 7, 60
2011-01-01T06:30:00.000Z, 2.455741727, 7, 60
2011-01-01T07:30:00.000Z, 2.448537396, 7, 60
2011-01-01T08:30:00.000Z, 2.44611963, 7, 60
2011-01-01T09:30:00.000Z, 2.449750232, 7, 60
2011-01-01T10:30:00.000Z, 2.463821585, 7, 60
2011-01-01T11:30:00.000Z, 2.472113534, 7, 60
2011-01-01T12:30:00.000Z, 2.469511422, 7, 60
2011-01-01T13:30:00.000Z, 2.464056902, 7, 60
2011-01-01T14:30:00.000Z, 2.464481735, 7, 60
2011-01-01T15:30:00.000Z, 2.458289447, 7, 60
2011-01-01T16:30:00.000Z, 2.453333937, 7, 60
2011-01-01T17:30:00.000Z, 2.451622902, 7, 60
2011-01-01T18:30:00.000Z, 2.442623615, 7, 60
2011-01-01T19:30:00.000Z, 2.433010777, 7, 60
2011-01-01T20:30:00.000Z, 2.425305378, 7, 60
2011-01-01T21:30:00.000Z, 2.421041664, 7, 60
2011-01-01T22:30:00.000Z, 2.433911142, 7, 60
2011-01-01T23:30:00.000Z, 2.445327483, 7, 60
2011-01-02T00:30:00.000Z, 2.436715297, 7, 60
2011-01-02T01:30:00.000Z, 2.413803709, 7, 60
2011-01-02T02:30:00.000Z, 2.380470248, 7, 60
2011-01-02T03:30:00.000Z, 2.377213074, 7, 60
2011-01-02T04:30:00.000Z, 2.385778094, 7, 60
2011-01-02T05:30:00.000Z, 2.396688248, 7, 60
2011-01-02T06:30:00.000Z, 2.413730514, 7, 60
2011-01-02T07:30:00.000Z, 2.416875971, 7, 60
2011-01-02T08:30:00.000Z, 2.424215606, 7, 60
2011-01-02T09:30:00.000Z, 2.454439423, 7, 60
2011-01-02T10:30:00.000Z, 2.459025348, 7, 60
2011-01-02T11:30:00.000Z, 2.460374687, 7, 60
2011-01-02T12:30:00.000Z, 2.45728314, 7, 60
2011-01-02T13:30:00.000Z, 2.456749743, 7, 60
2011-01-02T14:30:00.000Z, 2.457312065, 7, 60
2011-01-02T15:30:00.000Z, 2.455712343, 7, 60
2011-01-02T16:30:00.000Z, 2.45412767, 7, 60
2011-01-02T17:30:00.000Z, 2.451832328, 7, 60
2011-01-02T18:30:00.000Z, 2.450529635, 7, 60
2011-01-02T19:30:00.000Z, 2.450355566, 7, 60
2011-01-02T20:30:00.000Z, 2.448716637, 7, 60
2011-01-02T21:30:00.000Z, 2.447316923, 7, 60
2011-01-02T22:30:00.000Z, 2.448317417, 7, 60
2011-01-02T23:30:00.000Z, 2.449982873, 7, 60
2011-01-03T00:30:00.000Z, 2.442712519, 7, 60
2011-01-03T01:30:00.000Z, 2.419161155, 7, 60
2011-01-03T02:30:00.000Z, 2.411683158, 7, 60
2011-01-03T03:30:00.000Z, 2.412781989, 7, 60
2011-01-03T04:30:00.000Z, 2.418704523, 7, 60
2011-01-03T05:30:00.000Z, 2.423414508, 7, 60
2011-01-03T06:30:00.000Z, 2.424410629, 7, 60
2011-01-03T07:30:00.000Z, 2.421351261, 7, 60
2011-01-03T08:30:00.000Z, 2.413660541, 7, 60
2011-01-03T09:30:00.000Z, 2.430547015, 7, 60
2011-01-03T10:30:00.000Z, 2.451332916, 7, 60
2011-01-03T11:30:00.000Z, 2.46115847, 7, 60
2011-01-03T12:30:00.000Z, 2.469422346, 7, 60
2011-01-03T13:30:00.000Z, 2.475711788, 7, 60
2011-01-03T14:30:00.000Z, 2.472321852, 7, 60
2011-01-03T15:30:00.000Z, 2.469913171, 7, 60
2011-01-03T16:30:00.000Z, 2.465522729, 7, 60
2011-01-03T17:30:00.000Z, 2.468968629, 7, 60
2011-01-03T18:30:00.000Z, 2.470144776, 7, 60
