## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T10:38:33.211Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Pressure data from 1 Jan - 31 Dec 2011, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Pressure_20110101T000000Z_20111231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523492                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.039887                         / Latitude North
#LONGITUDE:  -123.425852                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2011-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p4686                        / Device Code of Device 1
#DEVID1:    8                                    / Device ID of Device 1
#
#DEPLDATE2: 2011-07-03T02:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p4686                        / Device Code of Device 2
#DEVID2:    8                                    / Device ID of Device 2
#
#DEPLDATE3: 2011-10-03T14:00:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 3
#DEVCODE3:  SBECTD16p4686                        / Device Code of Device 3
#DEVID3:    8                                    / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2011-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2011-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2010-02-18T11:51:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8439                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Pressure (decibar)", "Pressure QC Flag" , "Pressure Count"  
## END HEADER
2011-01-01T00:30:00.000Z, 299.435916667, 7, 60
2011-01-01T01:30:00.000Z, 298.7216, 7, 60
2011-01-01T02:30:00.000Z, 298.03855, 7, 60
2011-01-01T03:30:00.000Z, 297.513516667, 7, 60
2011-01-01T04:30:00.000Z, 297.272116667, 7, 60
2011-01-01T05:30:00.000Z, 297.3898, 7, 60
2011-01-01T06:30:00.000Z, 297.798616667, 7, 60
2011-01-01T07:30:00.000Z, 298.3971, 7, 60
2011-01-01T08:30:00.000Z, 299.12385, 7, 60
2011-01-01T09:30:00.000Z, 299.83825, 7, 60
2011-01-01T10:30:00.000Z, 300.42405, 7, 60
2011-01-01T11:30:00.000Z, 300.795383333, 7, 60
2011-01-01T12:30:00.000Z, 300.925916667, 7, 60
2011-01-01T13:30:00.000Z, 300.86195, 7, 60
2011-01-01T14:30:00.000Z, 300.69455, 7, 60
2011-01-01T15:30:00.000Z, 300.4708, 7, 60
2011-01-01T16:30:00.000Z, 300.309416667, 7, 60
2011-01-01T17:30:00.000Z, 300.272033333, 7, 60
2011-01-01T18:30:00.000Z, 300.37565, 7, 60
2011-01-01T19:30:00.000Z, 300.552666667, 7, 60
2011-01-01T20:30:00.000Z, 300.722516667, 7, 60
2011-01-01T21:30:00.000Z, 300.831816667, 7, 60
2011-01-01T22:30:00.000Z, 300.754816667, 7, 60
2011-01-01T23:30:00.000Z, 300.426466667, 7, 60
2011-01-02T00:30:00.000Z, 299.89775, 7, 60
2011-01-02T01:30:00.000Z, 299.23365, 7, 60
2011-01-02T02:30:00.000Z, 298.497033333, 7, 60
2011-01-02T03:30:00.000Z, 297.807316667, 7, 60
2011-01-02T04:30:00.000Z, 297.29275, 7, 60
2011-01-02T05:30:00.000Z, 297.106916667, 7, 60
2011-01-02T06:30:00.000Z, 297.330483333, 7, 60
2011-01-02T07:30:00.000Z, 297.81705, 7, 60
2011-01-02T08:30:00.000Z, 298.49175, 7, 60
2011-01-02T09:30:00.000Z, 299.298416667, 7, 60
2011-01-02T10:30:00.000Z, 300.068666667, 7, 60
2011-01-02T11:30:00.000Z, 300.669716667, 7, 60
2011-01-02T12:30:00.000Z, 301.023283333, 7, 60
2011-01-02T13:30:00.000Z, 301.1088, 7, 60
2011-01-02T14:30:00.000Z, 300.994166667, 7, 60
2011-01-02T15:30:00.000Z, 300.7703, 7, 60
2011-01-02T16:30:00.000Z, 300.503366667, 7, 60
2011-01-02T17:30:00.000Z, 300.30635, 7, 60
2011-01-02T18:30:00.000Z, 300.2383, 7, 60
2011-01-02T19:30:00.000Z, 300.329333333, 7, 60
2011-01-02T20:30:00.000Z, 300.4966, 7, 60
2011-01-02T21:30:00.000Z, 300.652716667, 7, 60
2011-01-02T22:30:00.000Z, 300.741016667, 7, 60
2011-01-02T23:30:00.000Z, 300.6295, 7, 60
2011-01-03T00:30:00.000Z, 300.26985, 7, 60
2011-01-03T01:30:00.000Z, 299.708266667, 7, 60
2011-01-03T02:30:00.000Z, 299.0239, 7, 60
2011-01-03T03:30:00.000Z, 298.274483333, 7, 60
2011-01-03T04:30:00.000Z, 297.587283333, 7, 60
2011-01-03T05:30:00.000Z, 297.1269, 7, 60
2011-01-03T06:30:00.000Z, 297.029233333, 7, 60
2011-01-03T07:30:00.000Z, 297.33655, 7, 60
2011-01-03T08:30:00.000Z, 297.8992, 7, 60
2011-01-03T09:30:00.000Z, 298.655266667, 7, 60
2011-01-03T10:30:00.000Z, 299.501583333, 7, 60
2011-01-03T11:30:00.000Z, 300.274066667, 7, 60
2011-01-03T12:30:00.000Z, 300.837933333, 7, 60
2011-01-03T13:30:00.000Z, 301.12095, 7, 60
2011-01-03T14:30:00.000Z, 301.131266667, 7, 60
2011-01-03T15:30:00.000Z, 300.960966667, 7, 60
