## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T10:51:21.738Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 1 Jan - 31 Dec 2011, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Temperature_20110101T000000Z_20111231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523636                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.039887                         / Latitude North
#LONGITUDE:  -123.425852                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2011-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p4686                        / Device Code of Device 1
#DEVID1:    8                                    / Device ID of Device 1
#
#DEPLDATE2: 2011-07-03T02:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p4686                        / Device Code of Device 2
#DEVID2:    8                                    / Device ID of Device 2
#
#DEPLDATE3: 2011-10-03T14:00:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 3
#DEVCODE3:  SBECTD16p4686                        / Device Code of Device 3
#DEVID3:    8                                    / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2011-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2011-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2010-02-18T11:51:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8439                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  
## END HEADER
2011-01-01T00:30:00.000Z, 9.472773333, 7, 60
2011-01-01T01:30:00.000Z, 9.470513333, 7, 60
2011-01-01T02:30:00.000Z, 9.470456667, 7, 60
2011-01-01T03:30:00.000Z, 9.471921667, 7, 60
2011-01-01T04:30:00.000Z, 9.473098333, 7, 60
2011-01-01T05:30:00.000Z, 9.473463333, 7, 60
2011-01-01T06:30:00.000Z, 9.474286667, 7, 60
2011-01-01T07:30:00.000Z, 9.475253333, 7, 60
2011-01-01T08:30:00.000Z, 9.4757, 7, 60
2011-01-01T09:30:00.000Z, 9.476286667, 7, 60
2011-01-01T10:30:00.000Z, 9.47724, 7, 60
2011-01-01T11:30:00.000Z, 9.477593333, 7, 60
2011-01-01T12:30:00.000Z, 9.477535, 7, 60
2011-01-01T13:30:00.000Z, 9.47791, 7, 60
2011-01-01T14:30:00.000Z, 9.47882, 7, 60
2011-01-01T15:30:00.000Z, 9.478893333, 7, 60
2011-01-01T16:30:00.000Z, 9.479246667, 7, 60
2011-01-01T17:30:00.000Z, 9.478663333, 7, 60
2011-01-01T18:30:00.000Z, 9.478136667, 7, 60
2011-01-01T19:30:00.000Z, 9.476716667, 7, 60
2011-01-01T20:30:00.000Z, 9.475585, 7, 60
2011-01-01T21:30:00.000Z, 9.475218333, 7, 60
2011-01-01T22:30:00.000Z, 9.474696667, 7, 60
2011-01-01T23:30:00.000Z, 9.474876667, 7, 60
2011-01-02T00:30:00.000Z, 9.474041667, 7, 60
2011-01-02T01:30:00.000Z, 9.471956667, 7, 60
2011-01-02T02:30:00.000Z, 9.4689, 7, 60
2011-01-02T03:30:00.000Z, 9.468443333, 7, 60
2011-01-02T04:30:00.000Z, 9.468946667, 7, 60
2011-01-02T05:30:00.000Z, 9.470231667, 7, 60
2011-01-02T06:30:00.000Z, 9.471783333, 7, 60
2011-01-02T07:30:00.000Z, 9.471723333, 7, 60
2011-01-02T08:30:00.000Z, 9.472708333, 7, 60
2011-01-02T09:30:00.000Z, 9.474916667, 7, 60
2011-01-02T10:30:00.000Z, 9.476206667, 7, 60
2011-01-02T11:30:00.000Z, 9.476736667, 7, 60
2011-01-02T12:30:00.000Z, 9.476693333, 7, 60
2011-01-02T13:30:00.000Z, 9.47688, 7, 60
2011-01-02T14:30:00.000Z, 9.477185, 7, 60
2011-01-02T15:30:00.000Z, 9.4775, 7, 60
2011-01-02T16:30:00.000Z, 9.477923333, 7, 60
2011-01-02T17:30:00.000Z, 9.478498333, 7, 60
2011-01-02T18:30:00.000Z, 9.478523333, 7, 60
2011-01-02T19:30:00.000Z, 9.478491667, 7, 60
2011-01-02T20:30:00.000Z, 9.47827, 7, 60
2011-01-02T21:30:00.000Z, 9.47745, 7, 60
2011-01-02T22:30:00.000Z, 9.476448333, 7, 60
2011-01-02T23:30:00.000Z, 9.475728333, 7, 60
2011-01-03T00:30:00.000Z, 9.475001667, 7, 60
2011-01-03T01:30:00.000Z, 9.473291667, 7, 60
2011-01-03T02:30:00.000Z, 9.47242, 7, 60
2011-01-03T03:30:00.000Z, 9.472455, 7, 60
2011-01-03T04:30:00.000Z, 9.472611667, 7, 60
2011-01-03T05:30:00.000Z, 9.472655, 7, 60
2011-01-03T06:30:00.000Z, 9.472831667, 7, 60
2011-01-03T07:30:00.000Z, 9.472798333, 7, 60
2011-01-03T08:30:00.000Z, 9.47266, 7, 60
2011-01-03T09:30:00.000Z, 9.474085, 7, 60
2011-01-03T10:30:00.000Z, 9.475833333, 7, 60
2011-01-03T11:30:00.000Z, 9.477368333, 7, 60
2011-01-03T12:30:00.000Z, 9.478815, 7, 60
2011-01-03T13:30:00.000Z, 9.480106667, 7, 60
2011-01-03T14:30:00.000Z, 9.479926667, 7, 60
