## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T10:58:17.493Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Oxygen data from 1 Jan - 31 Dec 2012, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_OxygenSensor_OxygenConcentrationCorrected_20120101T000000Z_20121231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523725                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.039742                         / Latitude North
#LONGITUDE:  -123.426017                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2012-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 1
#DEVCODE1:  AandOpt0581                          / Device Code of Device 1
#DEVID1:    22603                                / Device ID of Device 1
#
#DEPLDATE2: 2012-02-25T16:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 2
#DEVCODE2:  AandOpt0581                          / Device Code of Device 2
#DEVID2:    22603                                / Device ID of Device 2
#
#DEPLDATE3: 2012-08-30T00:00:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "SeaBird 43 Oxygen (S/N 2188)"        / Device Name of Device 3
#DEVCODE3:  SBE43-2188                           / Device Code of Device 3
#DEVID3:    23089                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2012-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2012-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2008-09-09T19:30:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2012-08-30T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   600                                  / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 5043                                 / Samples in File
#TOTSMPEXP: 8760                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag" , "Oxygen Concentration Corrected Count"  
## END HEADER
2012-01-01T00:30:00.000Z, 2.388379233, 7, 60
2012-01-01T01:30:00.000Z, 2.384563364, 7, 60
2012-01-01T02:30:00.000Z, 2.378339126, 7, 60
2012-01-01T03:30:00.000Z, 2.377794322, 7, 60
2012-01-01T04:30:00.000Z, 2.367276686, 7, 60
2012-01-01T05:30:00.000Z, 2.347813013, 7, 60
2012-01-01T06:30:00.000Z, 2.341501617, 7, 60
2012-01-01T07:30:00.000Z, 2.329731149, 7, 60
2012-01-01T08:30:00.000Z, 2.346597978, 7, 60
2012-01-01T09:30:00.000Z, 2.352074865, 7, 60
2012-01-01T10:30:00.000Z, 2.360087208, 7, 60
2012-01-01T11:30:00.000Z, 2.369988418, 7, 60
2012-01-01T12:30:00.000Z, 2.377029059, 7, 60
2012-01-01T13:30:00.000Z, 2.384149022, 7, 60
2012-01-01T14:30:00.000Z, 2.39658653, 7, 60
2012-01-01T15:30:00.000Z, 2.401241703, 7, 60
2012-01-01T16:30:00.000Z, 2.427778232, 7, 60
2012-01-01T17:30:00.000Z, 2.426071508, 7, 60
2012-01-01T18:30:00.000Z, 2.412538806, 7, 60
2012-01-01T19:30:00.000Z, 2.403382632, 7, 60
2012-01-01T20:30:00.000Z, 2.385709872, 7, 60
2012-01-01T21:30:00.000Z, 2.375089416, 7, 60
2012-01-01T22:30:00.000Z, 2.36087049, 7, 60
2012-01-01T23:30:00.000Z, 2.349093332, 7, 60
2012-01-02T00:30:00.000Z, 2.343733204, 7, 60
2012-01-02T01:30:00.000Z, 2.331516343, 7, 60
2012-01-02T02:30:00.000Z, 2.325340564, 7, 60
2012-01-02T03:30:00.000Z, 2.318053018, 7, 60
2012-01-02T04:30:00.000Z, 2.32042325, 7, 60
2012-01-02T05:30:00.000Z, 2.328074387, 7, 60
2012-01-02T06:30:00.000Z, 2.319486578, 7, 60
2012-01-02T07:30:00.000Z, 2.301091144, 7, 60
2012-01-02T08:30:00.000Z, 2.299605719, 7, 60
2012-01-02T09:30:00.000Z, 2.302722583, 7, 60
2012-01-02T10:30:00.000Z, 2.306583335, 7, 60
2012-01-02T11:30:00.000Z, 2.30988473, 7, 60
2012-01-02T12:30:00.000Z, 2.320289832, 7, 60
2012-01-02T13:30:00.000Z, 2.317012145, 7, 60
2012-01-02T14:30:00.000Z, 2.321496927, 7, 60
2012-01-02T15:30:00.000Z, 2.329820786, 7, 60
2012-01-02T16:30:00.000Z, 2.341481765, 7, 60
2012-01-02T17:30:00.000Z, 2.353001328, 7, 60
2012-01-02T18:30:00.000Z, 2.355548957, 7, 60
2012-01-02T19:30:00.000Z, 2.343168241, 7, 60
2012-01-02T20:30:00.000Z, 2.321501742, 7, 60
2012-01-02T21:30:00.000Z, 2.306292213, 7, 60
2012-01-02T22:30:00.000Z, 2.302370675, 7, 60
2012-01-02T23:30:00.000Z, 2.286677611, 7, 60
2012-01-03T00:30:00.000Z, 2.266965774, 7, 60
2012-01-03T01:30:00.000Z, 2.258936209, 7, 60
2012-01-03T02:30:00.000Z, 2.254891457, 7, 60
2012-01-03T03:30:00.000Z, 2.263923421, 7, 60
2012-01-03T04:30:00.000Z, 2.285634447, 7, 60
2012-01-03T05:30:00.000Z, 2.278110691, 7, 60
2012-01-03T06:30:00.000Z, 2.263221712, 7, 60
2012-01-03T07:30:00.000Z, 2.269350498, 7, 60
2012-01-03T08:30:00.000Z, 2.276474571, 7, 60
2012-01-03T09:30:00.000Z, 2.275155373, 7, 60
2012-01-03T10:30:00.000Z, 2.276040325, 7, 60
2012-01-03T11:30:00.000Z, 2.274587659, 7, 60
2012-01-03T12:30:00.000Z, 2.275216698, 7, 60
2012-01-03T13:30:00.000Z, 2.286148417, 7, 60
2012-01-03T14:30:00.000Z, 2.301815522, 7, 60
2012-01-03T15:30:00.000Z, 2.308915472, 7, 60
2012-01-03T16:30:00.000Z, 2.311274727, 7, 60
2012-01-03T17:30:00.000Z, 2.316617628, 7, 60
