## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T10:58:22.389Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Pressure data from 1 Jan - 31 Dec 2012, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Pressure_20120101T000000Z_20121231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523715                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.039742                         / Latitude North
#LONGITUDE:  -123.426017                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2012-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p4686                        / Device Code of Device 1
#DEVID1:    8                                    / Device ID of Device 1
#
#DEPLDATE2: 2012-02-25T16:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 6936"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p6936                        / Device Code of Device 2
#DEVID2:    1305                                 / Device ID of Device 2
#
#DEPLDATE3: 2012-08-30T00:00:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 3
#DEVCODE3:  SBECTD16p4686                        / Device Code of Device 3
#DEVID3:    8                                    / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2012-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2012-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 3                                    / Number of Sample Periods
#PERIODST1: 2010-02-18T11:51:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2012-02-25T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   60                                   / Sensor Sample Period 2 (s)
#PERIODST3: 2012-08-30T00:00:00.000Z             / Sample Period 3 Start Time
#PERIOD3:   600                                  / Sensor Sample Period 3 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7975                                 / Samples in File
#TOTSMPEXP: 8760                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Pressure (decibar)", "Pressure QC Flag" , "Pressure Count"  
## END HEADER
2012-01-01T00:30:00.000Z, 298.997966667, 7, 60
2012-01-01T01:30:00.000Z, 298.873516667, 7, 60
2012-01-01T02:30:00.000Z, 298.950433333, 7, 60
2012-01-01T03:30:00.000Z, 299.15355, 7, 60
2012-01-01T04:30:00.000Z, 299.41985, 7, 60
2012-01-01T05:30:00.000Z, 299.674683333, 7, 60
2012-01-01T06:30:00.000Z, 299.857866667, 7, 60
2012-01-01T07:30:00.000Z, 299.92095, 7, 60
2012-01-01T08:30:00.000Z, 299.85705, 7, 60
2012-01-01T09:30:00.000Z, 299.757766667, 7, 60
2012-01-01T10:30:00.000Z, 299.63135, 7, 60
2012-01-01T11:30:00.000Z, 299.55165, 7, 60
2012-01-01T12:30:00.000Z, 299.58595, 7, 60
2012-01-01T13:30:00.000Z, 299.7637, 7, 60
2012-01-01T14:30:00.000Z, 300.053666667, 7, 60
2012-01-01T15:30:00.000Z, 300.405783333, 7, 60
2012-01-01T16:30:00.000Z, 300.7713, 7, 60
2012-01-01T17:30:00.000Z, 301.046633333, 7, 60
2012-01-01T18:30:00.000Z, 301.162716667, 7, 60
2012-01-01T19:30:00.000Z, 301.0691, 7, 60
2012-01-01T20:30:00.000Z, 300.787616667, 7, 60
2012-01-01T21:30:00.000Z, 300.371433333, 7, 60
2012-01-01T22:30:00.000Z, 299.869866667, 7, 60
2012-01-01T23:30:00.000Z, 299.3637, 7, 60
2012-01-02T00:30:00.000Z, 298.936466667, 7, 60
2012-01-02T01:30:00.000Z, 298.674016667, 7, 60
2012-01-02T02:30:00.000Z, 298.6152, 7, 60
2012-01-02T03:30:00.000Z, 298.743583333, 7, 60
2012-01-02T04:30:00.000Z, 299.004316667, 7, 60
2012-01-02T05:30:00.000Z, 299.338216667, 7, 60
2012-01-02T06:30:00.000Z, 299.669433333, 7, 60
2012-01-02T07:30:00.000Z, 299.930566667, 7, 60
2012-01-02T08:30:00.000Z, 300.08445, 7, 60
2012-01-02T09:30:00.000Z, 300.122366667, 7, 60
2012-01-02T10:30:00.000Z, 300.081916667, 7, 60
2012-01-02T11:30:00.000Z, 299.995516667, 7, 60
2012-01-02T12:30:00.000Z, 299.9383, 7, 60
2012-01-02T13:30:00.000Z, 299.9679, 7, 60
2012-01-02T14:30:00.000Z, 300.101333333, 7, 60
2012-01-02T15:30:00.000Z, 300.323833333, 7, 60
2012-01-02T16:30:00.000Z, 300.586833333, 7, 60
2012-01-02T17:30:00.000Z, 300.857933333, 7, 60
2012-01-02T18:30:00.000Z, 301.017366667, 7, 60
2012-01-02T19:30:00.000Z, 301.0278, 7, 60
2012-01-02T20:30:00.000Z, 300.859933333, 7, 60
2012-01-02T21:30:00.000Z, 300.55485, 7, 60
2012-01-02T22:30:00.000Z, 300.1165, 7, 60
2012-01-02T23:30:00.000Z, 299.60255, 7, 60
2012-01-03T00:30:00.000Z, 299.117833333, 7, 60
2012-01-03T01:30:00.000Z, 298.736916667, 7, 60
2012-01-03T02:30:00.000Z, 298.523183333, 7, 60
2012-01-03T03:30:00.000Z, 298.525966667, 7, 60
2012-01-03T04:30:00.000Z, 298.734666667, 7, 60
2012-01-03T05:30:00.000Z, 299.067483333, 7, 60
2012-01-03T06:30:00.000Z, 299.481916667, 7, 60
2012-01-03T07:30:00.000Z, 299.871066667, 7, 60
2012-01-03T08:30:00.000Z, 300.198933333, 7, 60
2012-01-03T09:30:00.000Z, 300.4217, 7, 60
2012-01-03T10:30:00.000Z, 300.50395, 7, 60
2012-01-03T11:30:00.000Z, 300.4676, 7, 60
2012-01-03T12:30:00.000Z, 300.378916667, 7, 60
2012-01-03T13:30:00.000Z, 300.284766667, 7, 60
2012-01-03T14:30:00.000Z, 300.254666667, 7, 60
2012-01-03T15:30:00.000Z, 300.328783333, 7, 60
2012-01-03T16:30:00.000Z, 300.472, 7, 60
2012-01-03T17:30:00.000Z, 300.670833333, 7, 60
2012-01-03T18:30:00.000Z, 300.874516667, 7, 60
2012-01-03T19:30:00.000Z, 301.002833333, 7, 60
