## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T10:58:24.163Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 1 Jan - 31 Dec 2012, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20120101T000000Z_20121231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523720                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.039742                         / Latitude North
#LONGITUDE:  -123.426017                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2012-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 117"               / Device Name of Device 1
#DEVCODE1:  WLNTUS0117                           / Device Code of Device 1
#DEVID1:    64                                   / Device ID of Device 1
#
#DEPLDATE2: 2012-02-25T16:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 319"               / Device Name of Device 2
#DEVCODE2:  WLNTUS319                            / Device Code of Device 2
#DEVID2:    1302                                 / Device ID of Device 2
#
#DEPLDATE3: 2012-08-30T00:00:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "WET Labs ECO-NTUS 319"               / Device Name of Device 3
#DEVCODE3:  WLNTUS319                            / Device Code of Device 3
#DEVID3:    1302                                 / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2012-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2012-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 3                                    / Number of Sample Periods
#PERIODST1: 2011-10-03T14:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2012-02-13T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   60                                   / Sensor Sample Period 2 (s)
#PERIODST3: 2012-08-30T00:00:00.000Z             / Sample Period 3 Start Time
#PERIOD3:   600                                  / Sensor Sample Period 3 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 6692                                 / Samples in File
#TOTSMPEXP: 8760                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2012-01-01T00:30:00.000Z, 0.840666667, 7, 60
2012-01-01T01:30:00.000Z, 0.781333333, 7, 60
2012-01-01T02:30:00.000Z, 0.911, 7, 60
2012-01-01T03:30:00.000Z, 0.892458333, 7, 60
2012-01-01T04:30:00.000Z, 1.099, 7, 60
2012-01-01T05:30:00.000Z, 1.204708333, 7, 60
2012-01-01T06:30:00.000Z, 1.164291667, 7, 60
2012-01-01T07:30:00.000Z, 0.833708333, 7, 60
2012-01-01T08:30:00.000Z, 0.807416667, 7, 60
2012-01-01T09:30:00.000Z, 0.82525, 7, 60
2012-01-01T10:30:00.000Z, 0.840041667, 7, 60
2012-01-01T11:30:00.000Z, 0.967416667, 7, 60
2012-01-01T12:30:00.000Z, 0.871916667, 7, 60
2012-01-01T13:30:00.000Z, 0.983083333, 7, 60
2012-01-01T14:30:00.000Z, 1.012875, 7, 60
2012-01-01T15:30:00.000Z, 1.074, 7, 60
2012-01-01T16:30:00.000Z, 0.9205, 7, 60
2012-01-01T17:30:00.000Z, 0.885, 7, 60
2012-01-01T18:30:00.000Z, 0.931666667, 7, 60
2012-01-01T19:30:00.000Z, 1.006375, 7, 60
2012-01-01T20:30:00.000Z, 1.273458333, 7, 60
2012-01-01T21:30:00.000Z, 1.245125, 7, 60
2012-01-01T22:30:00.000Z, 1.196125, 7, 60
2012-01-01T23:30:00.000Z, 1.337416667, 7, 60
2012-01-02T00:30:00.000Z, 1.184958333, 7, 60
2012-01-02T01:30:00.000Z, 1.055833333, 7, 60
2012-01-02T02:30:00.000Z, 1.112416667, 7, 60
2012-01-02T03:30:00.000Z, 1.025291667, 7, 60
2012-01-02T04:30:00.000Z, 1.095375, 7, 60
2012-01-02T05:30:00.000Z, 1.008583333, 7, 60
2012-01-02T06:30:00.000Z, 0.985958333, 7, 60
2012-01-02T07:30:00.000Z, 1.16125, 7, 60
2012-01-02T08:30:00.000Z, 1.050166667, 7, 60
2012-01-02T09:30:00.000Z, 0.959625, 7, 60
2012-01-02T10:30:00.000Z, 0.957708333, 7, 60
2012-01-02T11:30:00.000Z, 0.974208333, 7, 60
2012-01-02T12:30:00.000Z, 0.863583333, 7, 60
2012-01-02T13:30:00.000Z, 0.896, 7, 60
2012-01-02T14:30:00.000Z, 0.870083333, 7, 60
2012-01-02T15:30:00.000Z, 0.951916667, 7, 60
2012-01-02T16:30:00.000Z, 0.85175, 7, 60
2012-01-02T17:30:00.000Z, 0.899666667, 7, 60
2012-01-02T18:30:00.000Z, 0.766458333, 7, 60
2012-01-02T19:30:00.000Z, 0.958916667, 7, 60
2012-01-02T20:30:00.000Z, 1.061208333, 7, 60
2012-01-02T21:30:00.000Z, 1.02575, 7, 60
2012-01-02T22:30:00.000Z, 1.165125, 7, 60
2012-01-02T23:30:00.000Z, 1.227083333, 7, 60
2012-01-03T00:30:00.000Z, 0.975958333, 7, 60
2012-01-03T01:30:00.000Z, 0.957583333, 7, 60
2012-01-03T02:30:00.000Z, 0.901125, 7, 60
2012-01-03T03:30:00.000Z, 1.156791667, 7, 60
2012-01-03T04:30:00.000Z, 1.066625, 7, 60
2012-01-03T05:30:00.000Z, 1.082208333, 7, 60
2012-01-03T06:30:00.000Z, 0.983416667, 7, 60
2012-01-03T07:30:00.000Z, 1.009833333, 7, 60
2012-01-03T08:30:00.000Z, 0.907916667, 7, 60
2012-01-03T09:30:00.000Z, 0.80425, 7, 60
2012-01-03T10:30:00.000Z, 0.8565, 7, 60
2012-01-03T11:30:00.000Z, 0.89925, 7, 60
2012-01-03T12:30:00.000Z, 0.839, 7, 60
2012-01-03T13:30:00.000Z, 0.88725, 7, 60
2012-01-03T14:30:00.000Z, 0.774208333, 7, 60
2012-01-03T15:30:00.000Z, 0.781916667, 7, 60
2012-01-03T16:30:00.000Z, 0.9545, 7, 60
2012-01-03T17:30:00.000Z, 1.067583333, 7, 60
2012-01-03T18:30:00.000Z, 0.866291667, 7, 60
2012-01-03T19:30:00.000Z, 0.726625, 7, 60
