## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:03:27.125Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Oxygen data from 1 Jan - 31 Dec 2013, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_OxygenSensor_OxygenConcentrationCorrected_20130101T000000Z_20131231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523763                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.037383                         / Latitude North
#LONGITUDE:  -123.427567                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2013-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "SeaBird 43 Oxygen (S/N 2188)"        / Device Name of Device 1
#DEVCODE1:  SBE43-2188                           / Device Code of Device 1
#DEVID1:    23089                                / Device ID of Device 1
#
#DEPLDATE2: 2013-03-04T17:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Aanderaa Optode 4175 (S/N 18)"       / Device Name of Device 2
#DEVCODE2:  AandOpt0018                          / Device Code of Device 2
#DEVID2:    13                                   / Device ID of Device 2
#
#DEPLDATE3: 2013-10-24T21:39:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 3
#DEVCODE3:  AandOpt0581                          / Device Code of Device 3
#DEVID3:    22603                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2013-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2013-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 3                                    / Number of Sample Periods
#PERIODST1: 2006-02-09T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2008-09-09T19:30:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   60                                   / Sensor Sample Period 2 (s)
#PERIODST3: 2012-08-30T00:00:00.000Z             / Sample Period 3 Start Time
#PERIOD3:   600                                  / Sensor Sample Period 3 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7180                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag" , "Oxygen Concentration Corrected Count"  
## END HEADER
2013-01-01T00:30:00.000Z, NaN, 6, 0
2013-01-01T01:30:00.000Z, NaN, 6, 0
2013-01-01T02:30:00.000Z, NaN, 6, 0
2013-01-01T03:30:00.000Z, NaN, 6, 0
2013-01-01T04:30:00.000Z, NaN, 6, 0
2013-01-01T05:30:00.000Z, NaN, 6, 0
2013-01-01T06:30:00.000Z, NaN, 6, 0
2013-01-01T07:30:00.000Z, NaN, 6, 0
2013-01-01T08:30:00.000Z, NaN, 6, 0
2013-01-01T09:30:00.000Z, NaN, 6, 0
2013-01-01T10:30:00.000Z, NaN, 6, 0
2013-01-01T11:30:00.000Z, NaN, 6, 0
2013-01-01T12:30:00.000Z, NaN, 6, 0
2013-01-01T13:30:00.000Z, NaN, 6, 0
2013-01-01T14:30:00.000Z, NaN, 6, 0
2013-01-01T15:30:00.000Z, NaN, 6, 0
2013-01-01T16:30:00.000Z, NaN, 6, 0
2013-01-01T17:30:00.000Z, NaN, 6, 0
2013-01-01T18:30:00.000Z, NaN, 6, 0
2013-01-01T19:30:00.000Z, NaN, 6, 0
2013-01-01T20:30:00.000Z, NaN, 6, 0
2013-01-01T21:30:00.000Z, NaN, 6, 0
2013-01-01T22:30:00.000Z, NaN, 6, 0
2013-01-01T23:30:00.000Z, NaN, 6, 0
2013-01-02T00:30:00.000Z, NaN, 6, 0
2013-01-02T01:30:00.000Z, NaN, 6, 0
2013-01-02T02:30:00.000Z, NaN, 6, 0
2013-01-02T03:30:00.000Z, NaN, 6, 0
2013-01-02T04:30:00.000Z, NaN, 6, 0
2013-01-02T05:30:00.000Z, NaN, 6, 0
2013-01-02T06:30:00.000Z, NaN, 6, 0
2013-01-02T07:30:00.000Z, NaN, 6, 0
2013-01-02T08:30:00.000Z, NaN, 6, 0
2013-01-02T09:30:00.000Z, NaN, 6, 0
2013-01-02T10:30:00.000Z, NaN, 6, 0
2013-01-02T11:30:00.000Z, NaN, 6, 0
2013-01-02T12:30:00.000Z, NaN, 6, 0
2013-01-02T13:30:00.000Z, NaN, 6, 0
2013-01-02T14:30:00.000Z, NaN, 6, 0
2013-01-02T15:30:00.000Z, NaN, 6, 0
2013-01-02T16:30:00.000Z, NaN, 6, 0
2013-01-02T17:30:00.000Z, NaN, 6, 0
2013-01-02T18:30:00.000Z, NaN, 6, 0
2013-01-02T19:30:00.000Z, NaN, 6, 0
2013-01-02T20:30:00.000Z, NaN, 6, 0
2013-01-02T21:30:00.000Z, NaN, 6, 0
2013-01-02T22:30:00.000Z, NaN, 6, 0
2013-01-02T23:30:00.000Z, NaN, 6, 0
2013-01-03T00:30:00.000Z, NaN, 6, 0
2013-01-03T01:30:00.000Z, NaN, 6, 0
2013-01-03T02:30:00.000Z, NaN, 6, 0
2013-01-03T03:30:00.000Z, NaN, 6, 0
2013-01-03T04:30:00.000Z, NaN, 6, 0
2013-01-03T05:30:00.000Z, NaN, 6, 0
2013-01-03T06:30:00.000Z, NaN, 6, 0
2013-01-03T07:30:00.000Z, NaN, 6, 0
2013-01-03T08:30:00.000Z, NaN, 6, 0
2013-01-03T09:30:00.000Z, NaN, 6, 0
2013-01-03T10:30:00.000Z, NaN, 6, 0
2013-01-03T11:30:00.000Z, NaN, 6, 0
2013-01-03T12:30:00.000Z, NaN, 6, 0
2013-01-03T13:30:00.000Z, NaN, 6, 0
2013-01-03T14:30:00.000Z, NaN, 6, 0
2013-01-03T15:30:00.000Z, NaN, 6, 0
2013-01-03T16:30:00.000Z, NaN, 6, 0
2013-01-03T17:30:00.000Z, NaN, 6, 0
2013-01-03T18:30:00.000Z, NaN, 6, 0
2013-01-03T19:30:00.000Z, NaN, 6, 0
2013-01-03T20:30:00.000Z, NaN, 6, 0
2013-01-03T21:30:00.000Z, NaN, 6, 0
2013-01-03T22:30:00.000Z, NaN, 6, 0
2013-01-03T23:30:00.000Z, NaN, 6, 0
2013-01-04T00:30:00.000Z, NaN, 6, 0
2013-01-04T01:30:00.000Z, NaN, 6, 0
2013-01-04T02:30:00.000Z, NaN, 6, 0
2013-01-04T03:30:00.000Z, NaN, 6, 0
2013-01-04T04:30:00.000Z, NaN, 6, 0
2013-01-04T05:30:00.000Z, NaN, 6, 0
2013-01-04T06:30:00.000Z, NaN, 6, 0
2013-01-04T07:30:00.000Z, NaN, 6, 0
2013-01-04T08:30:00.000Z, NaN, 6, 0
2013-01-04T09:30:00.000Z, NaN, 6, 0
2013-01-04T10:30:00.000Z, NaN, 6, 0
2013-01-04T11:30:00.000Z, NaN, 6, 0
2013-01-04T12:30:00.000Z, NaN, 6, 0
2013-01-04T13:30:00.000Z, NaN, 6, 0
2013-01-04T14:30:00.000Z, NaN, 6, 0
2013-01-04T15:30:00.000Z, NaN, 6, 0
2013-01-04T16:30:00.000Z, NaN, 6, 0
2013-01-04T17:30:00.000Z, NaN, 6, 0
2013-01-04T18:30:00.000Z, NaN, 6, 0
2013-01-04T19:30:00.000Z, NaN, 6, 0
2013-01-04T20:30:00.000Z, NaN, 6, 0
2013-01-04T21:30:00.000Z, NaN, 6, 0
2013-01-04T22:30:00.000Z, NaN, 6, 0
2013-01-04T23:30:00.000Z, NaN, 6, 0
2013-01-05T00:30:00.000Z, NaN, 6, 0
2013-01-05T01:30:00.000Z, NaN, 6, 0
2013-01-05T02:30:00.000Z, NaN, 6, 0
2013-01-05T03:30:00.000Z, NaN, 6, 0
2013-01-05T04:30:00.000Z, NaN, 6, 0
2013-01-05T05:30:00.000Z, NaN, 6, 0
2013-01-05T06:30:00.000Z, NaN, 6, 0
2013-01-05T07:30:00.000Z, NaN, 6, 0
2013-01-05T08:30:00.000Z, NaN, 6, 0
2013-01-05T09:30:00.000Z, NaN, 6, 0
2013-01-05T10:30:00.000Z, NaN, 6, 0
2013-01-05T11:30:00.000Z, NaN, 6, 0
2013-01-05T12:30:00.000Z, NaN, 6, 0
2013-01-05T13:30:00.000Z, NaN, 6, 0
2013-01-05T14:30:00.000Z, NaN, 6, 0
2013-01-05T15:30:00.000Z, NaN, 6, 0
2013-01-05T16:30:00.000Z, NaN, 6, 0
2013-01-05T17:30:00.000Z, NaN, 6, 0
2013-01-05T18:30:00.000Z, NaN, 6, 0
2013-01-05T19:30:00.000Z, NaN, 6, 0
2013-01-05T20:30:00.000Z, NaN, 6, 0
2013-01-05T21:30:00.000Z, NaN, 6, 0
2013-01-05T22:30:00.000Z, NaN, 6, 0
2013-01-05T23:30:00.000Z, NaN, 6, 0
2013-01-06T00:30:00.000Z, NaN, 6, 0
2013-01-06T01:30:00.000Z, NaN, 6, 0
2013-01-06T02:30:00.000Z, NaN, 6, 0
2013-01-06T03:30:00.000Z, NaN, 6, 0
2013-01-06T04:30:00.000Z, NaN, 6, 0
2013-01-06T05:30:00.000Z, NaN, 6, 0
2013-01-06T06:30:00.000Z, NaN, 6, 0
2013-01-06T07:30:00.000Z, NaN, 6, 0
2013-01-06T08:30:00.000Z, NaN, 6, 0
2013-01-06T09:30:00.000Z, NaN, 6, 0
2013-01-06T10:30:00.000Z, NaN, 6, 0
2013-01-06T11:30:00.000Z, NaN, 6, 0
2013-01-06T12:30:00.000Z, NaN, 6, 0
2013-01-06T13:30:00.000Z, NaN, 6, 0
2013-01-06T14:30:00.000Z, NaN, 6, 0
2013-01-06T15:30:00.000Z, NaN, 6, 0
2013-01-06T16:30:00.000Z, NaN, 6, 0
2013-01-06T17:30:00.000Z, NaN, 6, 0
2013-01-06T18:30:00.000Z, NaN, 6, 0
2013-01-06T19:30:00.000Z, NaN, 6, 0
2013-01-06T20:30:00.000Z, NaN, 6, 0
2013-01-06T21:30:00.000Z, NaN, 6, 0
2013-01-06T22:30:00.000Z, NaN, 6, 0
2013-01-06T23:30:00.000Z, NaN, 6, 0
2013-01-07T00:30:00.000Z, NaN, 6, 0
2013-01-07T01:30:00.000Z, NaN, 6, 0
2013-01-07T02:30:00.000Z, NaN, 6, 0
2013-01-07T03:30:00.000Z, NaN, 6, 0
2013-01-07T04:30:00.000Z, NaN, 6, 0
2013-01-07T05:30:00.000Z, NaN, 6, 0
2013-01-07T06:30:00.000Z, NaN, 6, 0
2013-01-07T07:30:00.000Z, NaN, 6, 0
2013-01-07T08:30:00.000Z, NaN, 6, 0
2013-01-07T09:30:00.000Z, NaN, 6, 0
2013-01-07T10:30:00.000Z, NaN, 6, 0
2013-01-07T11:30:00.000Z, NaN, 6, 0
2013-01-07T12:30:00.000Z, NaN, 6, 0
2013-01-07T13:30:00.000Z, NaN, 6, 0
2013-01-07T14:30:00.000Z, NaN, 6, 0
2013-01-07T15:30:00.000Z, NaN, 6, 0
2013-01-07T16:30:00.000Z, NaN, 6, 0
2013-01-07T17:30:00.000Z, NaN, 6, 0
2013-01-07T18:30:00.000Z, NaN, 6, 0
2013-01-07T19:30:00.000Z, NaN, 6, 0
2013-01-07T20:30:00.000Z, NaN, 6, 0
2013-01-07T21:30:00.000Z, NaN, 6, 0
2013-01-07T22:30:00.000Z, NaN, 6, 0
2013-01-07T23:30:00.000Z, NaN, 6, 0
2013-01-08T00:30:00.000Z, NaN, 6, 0
2013-01-08T01:30:00.000Z, NaN, 6, 0
2013-01-08T02:30:00.000Z, NaN, 6, 0
2013-01-08T03:30:00.000Z, NaN, 6, 0
2013-01-08T04:30:00.000Z, NaN, 6, 0
2013-01-08T05:30:00.000Z, NaN, 6, 0
2013-01-08T06:30:00.000Z, NaN, 6, 0
2013-01-08T07:30:00.000Z, NaN, 6, 0
2013-01-08T08:30:00.000Z, NaN, 6, 0
2013-01-08T09:30:00.000Z, NaN, 6, 0
2013-01-08T10:30:00.000Z, NaN, 6, 0
2013-01-08T11:30:00.000Z, NaN, 6, 0
2013-01-08T12:30:00.000Z, NaN, 6, 0
2013-01-08T13:30:00.000Z, NaN, 6, 0
2013-01-08T14:30:00.000Z, NaN, 6, 0
2013-01-08T15:30:00.000Z, NaN, 6, 0
2013-01-08T16:30:00.000Z, NaN, 6, 0
2013-01-08T17:30:00.000Z, NaN, 6, 0
2013-01-08T18:30:00.000Z, NaN, 6, 0
2013-01-08T19:30:00.000Z, NaN, 6, 0
2013-01-08T20:30:00.000Z, NaN, 6, 0
2013-01-08T21:30:00.000Z, NaN, 6, 0
2013-01-08T22:30:00.000Z, NaN, 6, 0
2013-01-08T23:30:00.000Z, NaN, 6, 0
2013-01-09T00:30:00.000Z, NaN, 6, 0
2013-01-09T01:30:00.000Z, NaN, 6, 0
2013-01-09T02:30:00.000Z, NaN, 6, 0
2013-01-09T03:30:00.000Z, NaN, 6, 0
2013-01-09T04:30:00.000Z, NaN, 6, 0
2013-01-09T05:30:00.000Z, NaN, 6, 0
2013-01-09T06:30:00.000Z, NaN, 6, 0
2013-01-09T07:30:00.000Z, NaN, 6, 0
2013-01-09T08:30:00.000Z, NaN, 6, 0
2013-01-09T09:30:00.000Z, NaN, 6, 0
2013-01-09T10:30:00.000Z, NaN, 6, 0
2013-01-09T11:30:00.000Z, NaN, 6, 0
2013-01-09T12:30:00.000Z, NaN, 6, 0
2013-01-09T13:30:00.000Z, NaN, 6, 0
2013-01-09T14:30:00.000Z, NaN, 6, 0
2013-01-09T15:30:00.000Z, NaN, 6, 0
2013-01-09T16:30:00.000Z, NaN, 6, 0
2013-01-09T17:30:00.000Z, NaN, 6, 0
2013-01-09T18:30:00.000Z, NaN, 6, 0
2013-01-09T19:30:00.000Z, NaN, 6, 0
2013-01-09T20:30:00.000Z, NaN, 6, 0
