## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:03:27.126Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Salinity data from 1 Jan - 31 Dec 2013, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_PracticalSalinity_20130101T000000Z_20131231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523783                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.037383                         / Latitude North
#LONGITUDE:  -123.427567                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2013-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p4686                        / Device Code of Device 1
#DEVID1:    8                                    / Device ID of Device 1
#
#DEPLDATE2: 2013-03-04T17:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 6935"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p6935                        / Device Code of Device 2
#DEVID2:    52                                   / Device ID of Device 2
#
#DEPLDATE3: 2013-10-24T21:39:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE16plus 6936"      / Device Name of Device 3
#DEVCODE3:  SBECTD16p6936                        / Device Code of Device 3
#DEVID3:    1305                                 / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2013-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2013-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 3                                    / Number of Sample Periods
#PERIODST1: 2011-12-12T13:36:46.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2012-02-25T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   60                                   / Sensor Sample Period 2 (s)
#PERIODST3: 2012-08-30T00:00:00.000Z             / Sample Period 3 Start Time
#PERIOD3:   600                                  / Sensor Sample Period 3 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7909                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Practical Salinity (psu)", "Practical Salinity QC Flag" , "Practical Salinity Count"  
## END HEADER
2013-01-01T00:30:00.000Z, 31.206583333, 7, 6
2013-01-01T01:30:00.000Z, 31.206633333, 7, 6
2013-01-01T02:30:00.000Z, 31.20585, 7, 6
2013-01-01T03:30:00.000Z, 31.205533333, 7, 6
2013-01-01T04:30:00.000Z, 31.203633333, 7, 6
2013-01-01T05:30:00.000Z, 31.203833333, 7, 6
2013-01-01T06:30:00.000Z, 31.204983333, 7, 6
2013-01-01T07:30:00.000Z, 31.205066667, 7, 6
2013-01-01T08:30:00.000Z, 31.206033333, 7, 6
2013-01-01T09:30:00.000Z, 31.205516667, 7, 6
2013-01-01T10:30:00.000Z, 31.204183333, 7, 6
2013-01-01T11:30:00.000Z, 31.205166667, 7, 6
2013-01-01T12:30:00.000Z, 31.204383333, 7, 6
2013-01-01T13:30:00.000Z, 31.192616667, 7, 6
2013-01-01T14:30:00.000Z, 31.1682, 7, 6
2013-01-01T15:30:00.000Z, 31.151666667, 7, 6
2013-01-01T16:30:00.000Z, 31.138466667, 7, 6
2013-01-01T17:30:00.000Z, 31.13405, 7, 6
2013-01-01T18:30:00.000Z, 31.136616667, 7, 6
2013-01-01T19:30:00.000Z, 31.141883333, 7, 6
2013-01-01T20:30:00.000Z, 31.15375, 7, 6
2013-01-01T21:30:00.000Z, 31.169966667, 7, 6
2013-01-01T22:30:00.000Z, 31.189833333, 7, 6
2013-01-01T23:30:00.000Z, 31.198416667, 7, 6
2013-01-02T00:30:00.000Z, 31.198666667, 7, 6
2013-01-02T01:30:00.000Z, 31.19945, 7, 6
2013-01-02T02:30:00.000Z, 31.19885, 7, 6
2013-01-02T03:30:00.000Z, 31.198716667, 7, 6
2013-01-02T04:30:00.000Z, 31.198466667, 7, 6
2013-01-02T05:30:00.000Z, 31.1966, 7, 6
2013-01-02T06:30:00.000Z, 31.19395, 7, 6
2013-01-02T07:30:00.000Z, 31.192516667, 7, 6
2013-01-02T08:30:00.000Z, 31.194066667, 7, 6
2013-01-02T09:30:00.000Z, 31.198116667, 7, 6
2013-01-02T10:30:00.000Z, 31.1998, 7, 6
2013-01-02T11:30:00.000Z, 31.198866667, 7, 6
2013-01-02T12:30:00.000Z, 31.20025, 7, 6
2013-01-02T13:30:00.000Z, 31.197416667, 7, 6
2013-01-02T14:30:00.000Z, 31.17985, 7, 6
2013-01-02T15:30:00.000Z, 31.155183333, 7, 6
2013-01-02T16:30:00.000Z, 31.13985, 7, 6
2013-01-02T17:30:00.000Z, 31.13455, 7, 6
2013-01-02T18:30:00.000Z, 31.136533333, 7, 6
2013-01-02T19:30:00.000Z, 31.141316667, 7, 6
2013-01-02T20:30:00.000Z, 31.150433333, 7, 6
2013-01-02T21:30:00.000Z, 31.170933333, 7, 6
2013-01-02T22:30:00.000Z, 31.181116667, 7, 6
2013-01-02T23:30:00.000Z, 31.19255, 7, 6
2013-01-03T00:30:00.000Z, 31.196233333, 7, 6
2013-01-03T01:30:00.000Z, 31.19715, 7, 6
2013-01-03T02:30:00.000Z, 31.19705, 7, 6
2013-01-03T03:30:00.000Z, 31.196583333, 7, 6
2013-01-03T04:30:00.000Z, 31.195866667, 7, 6
2013-01-03T05:30:00.000Z, 31.194366667, 7, 6
2013-01-03T06:30:00.000Z, 31.19395, 7, 6
2013-01-03T07:30:00.000Z, 31.191883333, 7, 6
2013-01-03T08:30:00.000Z, 31.18935, 7, 6
2013-01-03T09:30:00.000Z, 31.193766667, 7, 6
2013-01-03T10:30:00.000Z, 31.194466667, 7, 6
2013-01-03T11:30:00.000Z, 31.195466667, 7, 6
2013-01-03T12:30:00.000Z, 31.196416667, 7, 6
2013-01-03T13:30:00.000Z, 31.196733333, 7, 6
2013-01-03T14:30:00.000Z, 31.194333333, 7, 6
2013-01-03T15:30:00.000Z, 31.182466667, 7, 6
2013-01-03T16:30:00.000Z, 31.1676, 7, 6
2013-01-03T17:30:00.000Z, 31.165266667, 7, 6
2013-01-03T18:30:00.000Z, 31.158016667, 7, 6
2013-01-03T19:30:00.000Z, 31.155016667, 7, 6
