## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:03:31.486Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 1 Jan - 31 Dec 2013, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Temperature_20130101T000000Z_20131231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523785                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.037383                         / Latitude North
#LONGITUDE:  -123.427567                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2013-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p4686                        / Device Code of Device 1
#DEVID1:    8                                    / Device ID of Device 1
#
#DEPLDATE2: 2013-03-04T17:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 6935"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p6935                        / Device Code of Device 2
#DEVID2:    52                                   / Device ID of Device 2
#
#DEPLDATE3: 2013-10-24T21:39:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE16plus 6936"      / Device Name of Device 3
#DEVCODE3:  SBECTD16p6936                        / Device Code of Device 3
#DEVID3:    1305                                 / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2013-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2013-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 3                                    / Number of Sample Periods
#PERIODST1: 2011-12-12T13:36:46.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2012-02-25T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   60                                   / Sensor Sample Period 2 (s)
#PERIODST3: 2012-08-30T00:00:00.000Z             / Sample Period 3 Start Time
#PERIOD3:   600                                  / Sensor Sample Period 3 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7920                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  
## END HEADER
2013-01-01T00:30:00.000Z, 9.003, 7, 6
2013-01-01T01:30:00.000Z, 9.003016667, 7, 6
2013-01-01T02:30:00.000Z, 9.003283333, 7, 6
2013-01-01T03:30:00.000Z, 9.0033, 7, 6
2013-01-01T04:30:00.000Z, 9.004183333, 7, 6
2013-01-01T05:30:00.000Z, 9.00395, 7, 6
2013-01-01T06:30:00.000Z, 9.003416667, 7, 6
2013-01-01T07:30:00.000Z, 9.003283333, 7, 6
2013-01-01T08:30:00.000Z, 9.002666667, 7, 6
2013-01-01T09:30:00.000Z, 9.002666667, 7, 6
2013-01-01T10:30:00.000Z, 9.003383333, 7, 6
2013-01-01T11:30:00.000Z, 9.003466667, 7, 6
2013-01-01T12:30:00.000Z, 9.003516667, 7, 6
2013-01-01T13:30:00.000Z, 9.00785, 7, 6
2013-01-01T14:30:00.000Z, 9.01715, 7, 6
2013-01-01T15:30:00.000Z, 9.023016667, 7, 6
2013-01-01T16:30:00.000Z, 9.028, 7, 6
2013-01-01T17:30:00.000Z, 9.030066667, 7, 6
2013-01-01T18:30:00.000Z, 9.02915, 7, 6
2013-01-01T19:30:00.000Z, 9.027083333, 7, 6
2013-01-01T20:30:00.000Z, 9.022533333, 7, 6
2013-01-01T21:30:00.000Z, 9.016466667, 7, 6
2013-01-01T22:30:00.000Z, 9.009016667, 7, 6
2013-01-01T23:30:00.000Z, 9.006033333, 7, 6
2013-01-02T00:30:00.000Z, 9.00605, 7, 6
2013-01-02T01:30:00.000Z, 9.005866667, 7, 6
2013-01-02T02:30:00.000Z, 9.006083333, 7, 6
2013-01-02T03:30:00.000Z, 9.006183333, 7, 6
2013-01-02T04:30:00.000Z, 9.006183333, 7, 6
2013-01-02T05:30:00.000Z, 9.007016667, 7, 6
2013-01-02T06:30:00.000Z, 9.008133333, 7, 6
2013-01-02T07:30:00.000Z, 9.008766667, 7, 6
2013-01-02T08:30:00.000Z, 9.00805, 7, 6
2013-01-02T09:30:00.000Z, 9.005933333, 7, 6
2013-01-02T10:30:00.000Z, 9.004983333, 7, 6
2013-01-02T11:30:00.000Z, 9.00575, 7, 6
2013-01-02T12:30:00.000Z, 9.005483333, 7, 6
2013-01-02T13:30:00.000Z, 9.006666667, 7, 6
2013-01-02T14:30:00.000Z, 9.012483333, 7, 6
2013-01-02T15:30:00.000Z, 9.02085, 7, 6
2013-01-02T16:30:00.000Z, 9.026666667, 7, 6
2013-01-02T17:30:00.000Z, 9.028583333, 7, 6
2013-01-02T18:30:00.000Z, 9.027833333, 7, 6
2013-01-02T19:30:00.000Z, 9.026133333, 7, 6
2013-01-02T20:30:00.000Z, 9.0229, 7, 6
2013-01-02T21:30:00.000Z, 9.015716667, 7, 6
2013-01-02T22:30:00.000Z, 9.01215, 7, 6
2013-01-02T23:30:00.000Z, 9.008333333, 7, 6
2013-01-03T00:30:00.000Z, 9.006966667, 7, 6
2013-01-03T01:30:00.000Z, 9.006383333, 7, 6
2013-01-03T02:30:00.000Z, 9.006483333, 7, 6
2013-01-03T03:30:00.000Z, 9.00675, 7, 6
2013-01-03T04:30:00.000Z, 9.006816667, 7, 6
2013-01-03T05:30:00.000Z, 9.007516667, 7, 6
2013-01-03T06:30:00.000Z, 9.0076, 7, 6
2013-01-03T07:30:00.000Z, 9.0083, 7, 6
2013-01-03T08:30:00.000Z, 9.009266667, 7, 6
2013-01-03T09:30:00.000Z, 9.007316667, 7, 6
2013-01-03T10:30:00.000Z, 9.007266667, 7, 6
2013-01-03T11:30:00.000Z, 9.006883333, 7, 6
2013-01-03T12:30:00.000Z, 9.00685, 7, 6
2013-01-03T13:30:00.000Z, 9.0069, 7, 6
2013-01-03T14:30:00.000Z, 9.0079, 7, 6
2013-01-03T15:30:00.000Z, 9.011683333, 7, 6
2013-01-03T16:30:00.000Z, 9.016683333, 7, 6
2013-01-03T17:30:00.000Z, 9.017533333, 7, 6
2013-01-03T18:30:00.000Z, 9.020166667, 7, 6
2013-01-03T19:30:00.000Z, 9.021216667, 7, 6
