## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:03:56.691Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 1 Jan - 31 Dec 2013, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20130101T000000Z_20131231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523768                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.037383                         / Latitude North
#LONGITUDE:  -123.427567                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2013-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 319"               / Device Name of Device 1
#DEVCODE1:  WLNTUS319                            / Device Code of Device 1
#DEVID1:    1302                                 / Device ID of Device 1
#
#DEPLDATE2: 2013-03-04T17:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 371"               / Device Name of Device 2
#DEVCODE2:  WLNTUS371                            / Device Code of Device 2
#DEVID2:    23023                                / Device ID of Device 2
#
#DEPLDATE3: 2013-10-24T21:39:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "WET Labs ECO-NTUS 371"               / Device Name of Device 3
#DEVCODE3:  WLNTUS371                            / Device Code of Device 3
#DEVID3:    23023                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2013-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2013-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2011-12-08T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2012-08-30T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   600                                  / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7713                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2013-01-01T00:30:00.000Z, 1.602, 7, 6
2013-01-01T01:30:00.000Z, 1.5424, 7, 6
2013-01-01T02:30:00.000Z, 1.4448, 7, 6
2013-01-01T03:30:00.000Z, 1.5268, 7, 6
2013-01-01T04:30:00.000Z, 1.628, 7, 6
2013-01-01T05:30:00.000Z, 1.43, 7, 6
2013-01-01T06:30:00.000Z, 1.2492, 7, 6
2013-01-01T07:30:00.000Z, 1.2832, 7, 6
2013-01-01T08:30:00.000Z, 1.2416, 7, 6
2013-01-01T09:30:00.000Z, 1.326, 7, 6
2013-01-01T10:30:00.000Z, 1.5932, 7, 6
2013-01-01T11:30:00.000Z, 2.6124, 7, 6
2013-01-01T12:30:00.000Z, 3.4976, 7, 6
2013-01-01T13:30:00.000Z, 2.5196, 7, 6
2013-01-01T14:30:00.000Z, 2.36, 7, 6
2013-01-01T15:30:00.000Z, 2.9408, 7, 6
2013-01-01T16:30:00.000Z, 3.336, 7, 6
2013-01-01T17:30:00.000Z, 2.942, 7, 6
2013-01-01T18:30:00.000Z, 2.7856, 7, 6
2013-01-01T19:30:00.000Z, 2.2624, 7, 6
2013-01-01T20:30:00.000Z, 2.2864, 7, 6
2013-01-01T21:30:00.000Z, 1.9824, 7, 6
2013-01-01T22:30:00.000Z, 1.7276, 7, 6
2013-01-01T23:30:00.000Z, 1.5864, 7, 6
2013-01-02T00:30:00.000Z, 1.3788, 7, 6
2013-01-02T01:30:00.000Z, 1.7456, 7, 6
2013-01-02T02:30:00.000Z, 1.3696, 7, 6
2013-01-02T03:30:00.000Z, 1.414, 7, 6
2013-01-02T04:30:00.000Z, 1.5264, 7, 6
2013-01-02T05:30:00.000Z, 1.37, 7, 6
2013-01-02T06:30:00.000Z, 1.448, 7, 6
2013-01-02T07:30:00.000Z, 1.2796, 7, 6
2013-01-02T08:30:00.000Z, 1.2672, 7, 6
2013-01-02T09:30:00.000Z, 1.318, 7, 6
2013-01-02T10:30:00.000Z, 1.2896, 7, 6
2013-01-02T11:30:00.000Z, 1.486, 7, 6
2013-01-02T12:30:00.000Z, 1.802, 7, 6
2013-01-02T13:30:00.000Z, 2.768, 7, 6
2013-01-02T14:30:00.000Z, 3.0988, 7, 6
2013-01-02T15:30:00.000Z, 1.9356, 7, 6
2013-01-02T16:30:00.000Z, 2.0688, 7, 6
2013-01-02T17:30:00.000Z, 2.1604, 7, 6
2013-01-02T18:30:00.000Z, 2.2324, 7, 6
2013-01-02T19:30:00.000Z, 1.8592, 7, 6
2013-01-02T20:30:00.000Z, 2.0048, 7, 6
2013-01-02T21:30:00.000Z, 1.9136, 7, 6
2013-01-02T22:30:00.000Z, 2.0648, 7, 6
2013-01-02T23:30:00.000Z, 1.6012, 7, 6
2013-01-03T00:30:00.000Z, 1.4316, 7, 6
2013-01-03T01:30:00.000Z, 1.3016, 7, 6
2013-01-03T02:30:00.000Z, 1.1628, 7, 6
2013-01-03T03:30:00.000Z, 1.2728, 7, 6
2013-01-03T04:30:00.000Z, 1.2948, 7, 6
2013-01-03T05:30:00.000Z, 1.2524, 7, 6
2013-01-03T06:30:00.000Z, 1.2636, 7, 6
2013-01-03T07:30:00.000Z, 1.2256, 7, 6
2013-01-03T08:30:00.000Z, 1.1936, 7, 6
2013-01-03T09:30:00.000Z, 1.246, 7, 6
2013-01-03T10:30:00.000Z, 1.252, 7, 6
2013-01-03T11:30:00.000Z, 1.1748, 7, 6
2013-01-03T12:30:00.000Z, 1.438, 7, 6
2013-01-03T13:30:00.000Z, 1.476, 7, 6
2013-01-03T14:30:00.000Z, 1.5412, 7, 6
2013-01-03T15:30:00.000Z, 1.4172, 7, 6
2013-01-03T16:30:00.000Z, 1.5024, 7, 6
2013-01-03T17:30:00.000Z, 1.5208, 7, 6
2013-01-03T18:30:00.000Z, 1.6652, 7, 6
2013-01-03T19:30:00.000Z, 1.6384, 7, 6
2013-01-03T20:30:00.000Z, 1.6612, 7, 6
2013-01-03T21:30:00.000Z, 1.9608, 7, 6
2013-01-03T22:30:00.000Z, 1.9712, 7, 6
2013-01-03T23:30:00.000Z, 1.6236, 7, 6
2013-01-04T00:30:00.000Z, 1.4268, 7, 6
2013-01-04T01:30:00.000Z, 1.2556, 7, 6
2013-01-04T02:30:00.000Z, 1.1196, 7, 6
2013-01-04T03:30:00.000Z, 1.2252, 7, 6
2013-01-04T04:30:00.000Z, 1.2532, 7, 6
2013-01-04T05:30:00.000Z, 1.1912, 7, 6
2013-01-04T06:30:00.000Z, 1.2196, 7, 6
2013-01-04T07:30:00.000Z, 1.4188, 7, 6
2013-01-04T08:30:00.000Z, 1.3492, 7, 6
2013-01-04T09:30:00.000Z, 1.3412, 7, 6
2013-01-04T10:30:00.000Z, 1.1652, 7, 6
2013-01-04T11:30:00.000Z, 1.376, 7, 6
2013-01-04T12:30:00.000Z, 1.3772, 7, 6
2013-01-04T13:30:00.000Z, 1.3096, 7, 6
2013-01-04T14:30:00.000Z, 1.3856, 7, 6
2013-01-04T15:30:00.000Z, 1.2412, 7, 6
2013-01-04T16:30:00.000Z, 1.2084, 7, 6
2013-01-04T17:30:00.000Z, 0.9976, 7, 6
2013-01-04T18:30:00.000Z, 1.0972, 7, 6
2013-01-04T19:30:00.000Z, 1.568, 7, 6
2013-01-04T20:30:00.000Z, 1.3536, 7, 6
2013-01-04T21:30:00.000Z, 1.5776, 7, 6
2013-01-04T22:30:00.000Z, 1.7372, 7, 6
2013-01-04T23:30:00.000Z, 2.0112, 7, 6
2013-01-05T00:30:00.000Z, 1.3656, 7, 6
2013-01-05T01:30:00.000Z, 1.3224, 7, 6
2013-01-05T02:30:00.000Z, 1.296, 7, 6
2013-01-05T03:30:00.000Z, 1.1924, 7, 6
2013-01-05T04:30:00.000Z, 1.2704, 7, 6
2013-01-05T05:30:00.000Z, 1.502, 7, 6
2013-01-05T06:30:00.000Z, 1.2828, 7, 6
2013-01-05T07:30:00.000Z, 1.2052, 7, 6
2013-01-05T08:30:00.000Z, 1.2792, 7, 6
2013-01-05T09:30:00.000Z, 1.2756, 7, 6
2013-01-05T10:30:00.000Z, 1.2624, 7, 6
