## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:12:20.506Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Oxygen data from 1 Jan - 31 Dec 2014, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_OxygenSensor_OxygenConcentrationCorrected_20140101T000000Z_20141231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523890                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040238                         / Latitude North
#LONGITUDE:  -123.426377                         / Longitude East
#DEPTH:       299.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2014-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 1
#DEVCODE1:  AandOpt0581                          / Device Code of Device 1
#DEVID1:    22603                                / Device ID of Device 1
#
#DEPLDATE2: 2014-09-20T01:36:41.000Z             / Device 2 Deployment Date
#DEVNAME2: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 2
#DEVCODE2:  AandOpt0581                          / Device Code of Device 2
#DEVID2:    22603                                / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2014-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2014-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2008-09-09T19:30:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8586                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag" , "Oxygen Concentration Corrected Count"  
## END HEADER
2014-01-01T00:30:00.000Z, 3.027513198, 7, 60
2014-01-01T01:30:00.000Z, 3.11847669, 7, 60
2014-01-01T02:30:00.000Z, 3.096489534, 7, 60
2014-01-01T03:30:00.000Z, 2.827384385, 7, 60
2014-01-01T04:30:00.000Z, 2.392795751, 7, 60
2014-01-01T05:30:00.000Z, 2.335658865, 7, 60
2014-01-01T06:30:00.000Z, 2.351608733, 7, 60
2014-01-01T07:30:00.000Z, 2.347664997, 7, 60
2014-01-01T08:30:00.000Z, 2.340754715, 7, 60
2014-01-01T09:30:00.000Z, 2.35182356, 7, 60
2014-01-01T10:30:00.000Z, 2.660665767, 7, 60
2014-01-01T11:30:00.000Z, 2.745476825, 7, 60
2014-01-01T12:30:00.000Z, 2.530327697, 7, 60
2014-01-01T13:30:00.000Z, 2.548310246, 7, 60
2014-01-01T14:30:00.000Z, 2.59987564, 7, 60
2014-01-01T15:30:00.000Z, 2.658071818, 7, 60
2014-01-01T16:30:00.000Z, 2.676066986, 7, 60
2014-01-01T17:30:00.000Z, 2.762555398, 7, 60
2014-01-01T18:30:00.000Z, 2.790512617, 7, 60
2014-01-01T19:30:00.000Z, 2.82965245, 7, 60
2014-01-01T20:30:00.000Z, 2.843817736, 7, 60
2014-01-01T21:30:00.000Z, 2.837167619, 7, 60
2014-01-01T22:30:00.000Z, 2.806435325, 7, 60
2014-01-01T23:30:00.000Z, 2.74366716, 7, 60
2014-01-02T00:30:00.000Z, 2.736563295, 7, 60
2014-01-02T01:30:00.000Z, 2.757861447, 7, 60
2014-01-02T02:30:00.000Z, 2.840700225, 7, 60
2014-01-02T03:30:00.000Z, 2.862973887, 7, 60
2014-01-02T04:30:00.000Z, 2.659897166, 7, 60
2014-01-02T05:30:00.000Z, 2.364034418, 7, 60
2014-01-02T06:30:00.000Z, 2.330289107, 7, 60
2014-01-02T07:30:00.000Z, 2.340790948, 7, 60
2014-01-02T08:30:00.000Z, 2.349736519, 7, 60
2014-01-02T09:30:00.000Z, 2.345256731, 7, 60
2014-01-02T10:30:00.000Z, 2.363764941, 7, 60
2014-01-02T11:30:00.000Z, 2.547770344, 7, 60
2014-01-02T12:30:00.000Z, 2.511417859, 7, 60
2014-01-02T13:30:00.000Z, 2.508051632, 7, 60
2014-01-02T14:30:00.000Z, 2.523320836, 7, 60
2014-01-02T15:30:00.000Z, 2.567570051, 7, 60
2014-01-02T16:30:00.000Z, 2.658064292, 7, 60
2014-01-02T17:30:00.000Z, 2.713032458, 7, 60
2014-01-02T18:30:00.000Z, 2.725083694, 7, 60
2014-01-02T19:30:00.000Z, 2.729733705, 7, 60
2014-01-02T20:30:00.000Z, 2.727958338, 7, 60
2014-01-02T21:30:00.000Z, 2.714648054, 7, 60
2014-01-02T22:30:00.000Z, 2.71298957, 7, 60
2014-01-02T23:30:00.000Z, 2.710099316, 7, 60
2014-01-03T00:30:00.000Z, 2.703062932, 7, 60
2014-01-03T01:30:00.000Z, 2.699417024, 7, 60
2014-01-03T02:30:00.000Z, 2.716925791, 7, 60
2014-01-03T03:30:00.000Z, 2.770865743, 7, 60
2014-01-03T04:30:00.000Z, 2.60492271, 7, 60
2014-01-03T05:30:00.000Z, 2.371391983, 7, 60
2014-01-03T06:30:00.000Z, 2.343035855, 7, 60
2014-01-03T07:30:00.000Z, 2.346326121, 7, 60
2014-01-03T08:30:00.000Z, 2.377328055, 7, 60
2014-01-03T09:30:00.000Z, 2.369671576, 7, 60
2014-01-03T10:30:00.000Z, 2.358086265, 7, 60
