## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:12:23.058Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Pressure data from 1 Jan - 31 Dec 2014, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Pressure_20140101T000000Z_20141231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523882                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040238                         / Latitude North
#LONGITUDE:  -123.426377                         / Longitude East
#DEPTH:       299.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2014-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 6936"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p6936                        / Device Code of Device 1
#DEVID1:    1305                                 / Device ID of Device 1
#
#DEPLDATE2: 2014-09-20T01:36:41.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p4686                        / Device Code of Device 2
#DEVID2:    8                                    / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2014-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2014-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2012-02-25T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2014-07-31T17:24:27.000Z             / Sample Period 2 Start Time
#PERIOD2:   60                                   / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8586                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Pressure (decibar)", "Pressure QC Flag" , "Pressure Count"  
## END HEADER
2014-01-01T00:30:00.000Z, 301.149816667, 7, 60
2014-01-01T01:30:00.000Z, 300.59355, 7, 60
2014-01-01T02:30:00.000Z, 299.86795, 7, 60
2014-01-01T03:30:00.000Z, 299.0255, 7, 60
2014-01-01T04:30:00.000Z, 298.1793, 7, 60
2014-01-01T05:30:00.000Z, 297.513033333, 7, 60
2014-01-01T06:30:00.000Z, 297.202633333, 7, 60
2014-01-01T07:30:00.000Z, 297.363266667, 7, 60
2014-01-01T08:30:00.000Z, 297.88895, 7, 60
2014-01-01T09:30:00.000Z, 298.64515, 7, 60
2014-01-01T10:30:00.000Z, 299.566516667, 7, 60
2014-01-01T11:30:00.000Z, 300.449483333, 7, 60
2014-01-01T12:30:00.000Z, 301.1474, 7, 60
2014-01-01T13:30:00.000Z, 301.530066667, 7, 60
2014-01-01T14:30:00.000Z, 301.573333333, 7, 60
2014-01-01T15:30:00.000Z, 301.389166667, 7, 60
2014-01-01T16:30:00.000Z, 301.080166667, 7, 60
2014-01-01T17:30:00.000Z, 300.708916667, 7, 60
2014-01-01T18:30:00.000Z, 300.441383333, 7, 60
2014-01-01T19:30:00.000Z, 300.36775, 7, 60
2014-01-01T20:30:00.000Z, 300.52745, 7, 60
2014-01-01T21:30:00.000Z, 300.819266667, 7, 60
2014-01-01T22:30:00.000Z, 301.1336, 7, 60
2014-01-01T23:30:00.000Z, 301.384033333, 7, 60
2014-01-02T00:30:00.000Z, 301.400866667, 7, 60
2014-01-02T01:30:00.000Z, 301.084666667, 7, 60
2014-01-02T02:30:00.000Z, 300.4786, 7, 60
2014-01-02T03:30:00.000Z, 299.716233333, 7, 60
2014-01-02T04:30:00.000Z, 298.82655, 7, 60
2014-01-02T05:30:00.000Z, 297.970366667, 7, 60
2014-01-02T06:30:00.000Z, 297.342566667, 7, 60
2014-01-02T07:30:00.000Z, 297.117666667, 7, 60
2014-01-02T08:30:00.000Z, 297.3978, 7, 60
2014-01-02T09:30:00.000Z, 298.004816667, 7, 60
2014-01-02T10:30:00.000Z, 298.844666667, 7, 60
2014-01-02T11:30:00.000Z, 299.814266667, 7, 60
2014-01-02T12:30:00.000Z, 300.71045, 7, 60
2014-01-02T13:30:00.000Z, 301.3581, 7, 60
2014-01-02T14:30:00.000Z, 301.664133333, 7, 60
2014-01-02T15:30:00.000Z, 301.6242, 7, 60
2014-01-02T16:30:00.000Z, 301.36235, 7, 60
2014-01-02T17:30:00.000Z, 300.9761, 7, 60
2014-01-02T18:30:00.000Z, 300.559066667, 7, 60
2014-01-02T19:30:00.000Z, 300.2718, 7, 60
2014-01-02T20:30:00.000Z, 300.205183333, 7, 60
2014-01-02T21:30:00.000Z, 300.3968, 7, 60
2014-01-02T22:30:00.000Z, 300.720666667, 7, 60
2014-01-02T23:30:00.000Z, 301.072283333, 7, 60
2014-01-03T00:30:00.000Z, 301.338766667, 7, 60
2014-01-03T01:30:00.000Z, 301.343116667, 7, 60
2014-01-03T02:30:00.000Z, 301.029416667, 7, 60
2014-01-03T03:30:00.000Z, 300.421816667, 7, 60
2014-01-03T04:30:00.000Z, 299.649566667, 7, 60
2014-01-03T05:30:00.000Z, 298.785933333, 7, 60
2014-01-03T06:30:00.000Z, 297.997883333, 7, 60
2014-01-03T07:30:00.000Z, 297.450166667, 7, 60
2014-01-03T08:30:00.000Z, 297.341266667, 7, 60
2014-01-03T09:30:00.000Z, 297.7259, 7, 60
2014-01-03T10:30:00.000Z, 298.3841, 7, 60
2014-01-03T11:30:00.000Z, 299.2414, 7, 60
2014-01-03T12:30:00.000Z, 300.198233333, 7, 60
