## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:12:17.903Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Salinity data from 1 Jan - 31 Dec 2014, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_PracticalSalinity_20140101T000000Z_20141231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523881                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040238                         / Latitude North
#LONGITUDE:  -123.426377                         / Longitude East
#DEPTH:       299.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2014-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 6936"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p6936                        / Device Code of Device 1
#DEVID1:    1305                                 / Device ID of Device 1
#
#DEPLDATE2: 2014-09-20T01:36:41.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p4686                        / Device Code of Device 2
#DEVID2:    8                                    / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2014-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2014-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2012-02-25T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2014-07-31T17:24:27.000Z             / Sample Period 2 Start Time
#PERIOD2:   60                                   / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8583                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Practical Salinity (psu)", "Practical Salinity QC Flag" , "Practical Salinity Count"  
## END HEADER
2014-01-01T00:30:00.000Z, 31.051381667, 7, 60
2014-01-01T01:30:00.000Z, 31.0473, 7, 60
2014-01-01T02:30:00.000Z, 31.05657, 7, 60
2014-01-01T03:30:00.000Z, 31.095803333, 7, 60
2014-01-01T04:30:00.000Z, 31.168398333, 7, 60
2014-01-01T05:30:00.000Z, 31.183973333, 7, 60
2014-01-01T06:30:00.000Z, 31.176193333, 7, 60
2014-01-01T07:30:00.000Z, 31.176328333, 7, 60
2014-01-01T08:30:00.000Z, 31.176866667, 7, 60
2014-01-01T09:30:00.000Z, 31.170308333, 7, 60
2014-01-01T10:30:00.000Z, 31.114863333, 7, 60
2014-01-01T11:30:00.000Z, 31.097646667, 7, 60
2014-01-01T12:30:00.000Z, 31.120621667, 7, 60
2014-01-01T13:30:00.000Z, 31.111133333, 7, 60
2014-01-01T14:30:00.000Z, 31.094813333, 7, 60
2014-01-01T15:30:00.000Z, 31.07891, 7, 60
2014-01-01T16:30:00.000Z, 31.076998333, 7, 60
2014-01-01T17:30:00.000Z, 31.078335, 7, 60
2014-01-01T18:30:00.000Z, 31.076938333, 7, 60
2014-01-01T19:30:00.000Z, 31.072588333, 7, 60
2014-01-01T20:30:00.000Z, 31.069738333, 7, 60
2014-01-01T21:30:00.000Z, 31.068043333, 7, 60
2014-01-01T22:30:00.000Z, 31.068605, 7, 60
2014-01-01T23:30:00.000Z, 31.068615, 7, 60
2014-01-02T00:30:00.000Z, 31.068568333, 7, 60
2014-01-02T01:30:00.000Z, 31.068386667, 7, 60
2014-01-02T02:30:00.000Z, 31.068863333, 7, 60
2014-01-02T03:30:00.000Z, 31.075711667, 7, 60
2014-01-02T04:30:00.000Z, 31.115586667, 7, 60
2014-01-02T05:30:00.000Z, 31.170413333, 7, 60
2014-01-02T06:30:00.000Z, 31.18921, 7, 60
2014-01-02T07:30:00.000Z, 31.186895, 7, 60
2014-01-02T08:30:00.000Z, 31.182501667, 7, 60
2014-01-02T09:30:00.000Z, 31.181753333, 7, 60
2014-01-02T10:30:00.000Z, 31.169128333, 7, 60
2014-01-02T11:30:00.000Z, 31.12769, 7, 60
2014-01-02T12:30:00.000Z, 31.127371667, 7, 60
2014-01-02T13:30:00.000Z, 31.121115, 7, 60
2014-01-02T14:30:00.000Z, 31.111073333, 7, 60
2014-01-02T15:30:00.000Z, 31.099198333, 7, 60
2014-01-02T16:30:00.000Z, 31.082381667, 7, 60
2014-01-02T17:30:00.000Z, 31.070886667, 7, 60
2014-01-02T18:30:00.000Z, 31.072656667, 7, 60
2014-01-02T19:30:00.000Z, 31.076033333, 7, 60
2014-01-02T20:30:00.000Z, 31.078688333, 7, 60
2014-01-02T21:30:00.000Z, 31.079521667, 7, 60
2014-01-02T22:30:00.000Z, 31.078231667, 7, 60
2014-01-02T23:30:00.000Z, 31.077358333, 7, 60
2014-01-03T00:30:00.000Z, 31.077206667, 7, 60
2014-01-03T01:30:00.000Z, 31.079303333, 7, 60
2014-01-03T02:30:00.000Z, 31.07934, 7, 60
2014-01-03T03:30:00.000Z, 31.082343333, 7, 60
2014-01-03T04:30:00.000Z, 31.11872, 7, 60
2014-01-03T05:30:00.000Z, 31.16605, 7, 60
2014-01-03T06:30:00.000Z, 31.178536667, 7, 60
2014-01-03T07:30:00.000Z, 31.182825, 7, 60
2014-01-03T08:30:00.000Z, 31.172765, 7, 60
2014-01-03T09:30:00.000Z, 31.17376, 7, 60
2014-01-03T10:30:00.000Z, 31.176386667, 7, 60
2014-01-03T11:30:00.000Z, 31.168228333, 7, 60
2014-01-03T12:30:00.000Z, 31.136191667, 7, 60
