## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:12:22.234Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 1 Jan - 31 Dec 2014, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Temperature_20140101T000000Z_20141231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523883                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040238                         / Latitude North
#LONGITUDE:  -123.426377                         / Longitude East
#DEPTH:       299.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2014-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 6936"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p6936                        / Device Code of Device 1
#DEVID1:    1305                                 / Device ID of Device 1
#
#DEPLDATE2: 2014-09-20T01:36:41.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 2
#DEVCODE2:  SBECTD16p4686                        / Device Code of Device 2
#DEVID2:    8                                    / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2014-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2014-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2012-02-25T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2014-07-31T17:24:27.000Z             / Sample Period 2 Start Time
#PERIOD2:   60                                   / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8586                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  
## END HEADER
2014-01-01T00:30:00.000Z, 8.671468333, 7, 60
2014-01-01T01:30:00.000Z, 8.613798333, 7, 60
2014-01-01T02:30:00.000Z, 8.62404, 7, 60
2014-01-01T03:30:00.000Z, 8.787333333, 7, 60
2014-01-01T04:30:00.000Z, 9.042851667, 7, 60
2014-01-01T05:30:00.000Z, 9.081181667, 7, 60
2014-01-01T06:30:00.000Z, 9.080815, 7, 60
2014-01-01T07:30:00.000Z, 9.080813333, 7, 60
2014-01-01T08:30:00.000Z, 9.081093333, 7, 60
2014-01-01T09:30:00.000Z, 9.068821667, 7, 60
2014-01-01T10:30:00.000Z, 8.878005, 7, 60
2014-01-01T11:30:00.000Z, 8.836871667, 7, 60
2014-01-01T12:30:00.000Z, 8.974196667, 7, 60
2014-01-01T13:30:00.000Z, 8.971678333, 7, 60
2014-01-01T14:30:00.000Z, 8.954453333, 7, 60
2014-01-01T15:30:00.000Z, 8.931568333, 7, 60
2014-01-01T16:30:00.000Z, 8.91886, 7, 60
2014-01-01T17:30:00.000Z, 8.847786667, 7, 60
2014-01-01T18:30:00.000Z, 8.832586667, 7, 60
2014-01-01T19:30:00.000Z, 8.809155, 7, 60
2014-01-01T20:30:00.000Z, 8.799211667, 7, 60
2014-01-01T21:30:00.000Z, 8.808671667, 7, 60
2014-01-01T22:30:00.000Z, 8.829216667, 7, 60
2014-01-01T23:30:00.000Z, 8.87276, 7, 60
2014-01-02T00:30:00.000Z, 8.874231667, 7, 60
2014-01-02T01:30:00.000Z, 8.854446667, 7, 60
2014-01-02T02:30:00.000Z, 8.799431667, 7, 60
2014-01-02T03:30:00.000Z, 8.771121667, 7, 60
2014-01-02T04:30:00.000Z, 8.888128333, 7, 60
2014-01-02T05:30:00.000Z, 9.062103333, 7, 60
2014-01-02T06:30:00.000Z, 9.079633333, 7, 60
2014-01-02T07:30:00.000Z, 9.079021667, 7, 60
2014-01-02T08:30:00.000Z, 9.077771667, 7, 60
2014-01-02T09:30:00.000Z, 9.075996667, 7, 60
2014-01-02T10:30:00.000Z, 9.066395, 7, 60
2014-01-02T11:30:00.000Z, 8.94859, 7, 60
2014-01-02T12:30:00.000Z, 8.97835, 7, 60
2014-01-02T13:30:00.000Z, 8.989968333, 7, 60
2014-01-02T14:30:00.000Z, 8.989573333, 7, 60
2014-01-02T15:30:00.000Z, 8.966885, 7, 60
2014-01-02T16:30:00.000Z, 8.91811, 7, 60
2014-01-02T17:30:00.000Z, 8.892898333, 7, 60
2014-01-02T18:30:00.000Z, 8.880261667, 7, 60
2014-01-02T19:30:00.000Z, 8.874405, 7, 60
2014-01-02T20:30:00.000Z, 8.875333333, 7, 60
2014-01-02T21:30:00.000Z, 8.880138333, 7, 60
2014-01-02T22:30:00.000Z, 8.881008333, 7, 60
2014-01-02T23:30:00.000Z, 8.881946667, 7, 60
2014-01-03T00:30:00.000Z, 8.885283333, 7, 60
2014-01-03T01:30:00.000Z, 8.882165, 7, 60
2014-01-03T02:30:00.000Z, 8.872156667, 7, 60
2014-01-03T03:30:00.000Z, 8.828348333, 7, 60
2014-01-03T04:30:00.000Z, 8.917815, 7, 60
2014-01-03T05:30:00.000Z, 9.059726667, 7, 60
2014-01-03T06:30:00.000Z, 9.074286667, 7, 60
2014-01-03T07:30:00.000Z, 9.07412, 7, 60
2014-01-03T08:30:00.000Z, 9.06826, 7, 60
2014-01-03T09:30:00.000Z, 9.065208333, 7, 60
2014-01-03T10:30:00.000Z, 9.06858, 7, 60
2014-01-03T11:30:00.000Z, 9.068498333, 7, 60
2014-01-03T12:30:00.000Z, 8.993055, 7, 60
2014-01-03T13:30:00.000Z, 8.960113333, 7, 60
2014-01-03T14:30:00.000Z, 9.004403333, 7, 60
2014-01-03T15:30:00.000Z, 9.009971667, 7, 60
2014-01-03T16:30:00.000Z, 9.00135, 7, 60
2014-01-03T17:30:00.000Z, 8.982798333, 7, 60
2014-01-03T18:30:00.000Z, 8.9282, 7, 60
2014-01-03T19:30:00.000Z, 8.897908333, 7, 60
2014-01-03T20:30:00.000Z, 8.907395, 7, 60
2014-01-03T21:30:00.000Z, 8.909381667, 7, 60
2014-01-03T22:30:00.000Z, 8.917423333, 7, 60
2014-01-03T23:30:00.000Z, 8.929376667, 7, 60
2014-01-04T00:30:00.000Z, 8.949068333, 7, 60
2014-01-04T01:30:00.000Z, 8.955435, 7, 60
2014-01-04T02:30:00.000Z, 8.95489, 7, 60
