## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:12:44.329Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 1 Jan - 31 Dec 2014, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20140101T000000Z_20141231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523895                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040238                         / Latitude North
#LONGITUDE:  -123.426377                         / Longitude East
#DEPTH:       299.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2014-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 371"               / Device Name of Device 1
#DEVCODE1:  WLNTUS371                            / Device Code of Device 1
#DEVID1:    23023                                / Device ID of Device 1
#
#DEPLDATE2: 2014-09-20T01:36:41.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 319"               / Device Name of Device 2
#DEVCODE2:  WLNTUS319                            / Device Code of Device 2
#DEVID2:    1302                                 / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2014-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2014-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2011-12-08T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2013-06-14T16:32:42.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8355                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2014-01-01T00:30:00.000Z, 1.76206, 7, 60
2014-01-01T01:30:00.000Z, 6.660893333, 7, 60
2014-01-01T02:30:00.000Z, 1.77688, 7, 60
2014-01-01T03:30:00.000Z, 2.18842, 7, 60
2014-01-01T04:30:00.000Z, 1.657186441, 7, 59
2014-01-01T05:30:00.000Z, 1.265273333, 7, 60
2014-01-01T06:30:00.000Z, 1.101493334, 7, 60
2014-01-01T07:30:00.000Z, 1.242853333, 7, 60
2014-01-01T08:30:00.000Z, 1.777893333, 7, 60
2014-01-01T09:30:00.000Z, 2.208686667, 7, 60
2014-01-01T10:30:00.000Z, 2.997186667, 7, 60
2014-01-01T11:30:00.000Z, 3.797086667, 7, 60
2014-01-01T12:30:00.000Z, 3.710446666, 7, 60
2014-01-01T13:30:00.000Z, 2.9564, 7, 60
2014-01-01T14:30:00.000Z, 2.251753333, 7, 60
2014-01-01T15:30:00.000Z, 1.693125424, 7, 59
2014-01-01T16:30:00.000Z, 1.612101695, 7, 59
2014-01-01T17:30:00.000Z, 1.916213334, 7, 60
2014-01-01T18:30:00.000Z, 1.500493334, 7, 60
2014-01-01T19:30:00.000Z, 1.333673333, 7, 60
2014-01-01T20:30:00.000Z, 1.419933334, 7, 60
2014-01-01T21:30:00.000Z, 1.450333333, 7, 60
2014-01-01T22:30:00.000Z, 1.35774, 7, 60
2014-01-01T23:30:00.000Z, 1.296813334, 7, 60
2014-01-02T00:30:00.000Z, 1.131006667, 7, 60
2014-01-02T01:30:00.000Z, 1.134173334, 7, 60
2014-01-02T02:30:00.000Z, 1.27604, 7, 60
2014-01-02T03:30:00.000Z, 3.777706667, 7, 60
2014-01-02T04:30:00.000Z, 3.488786441, 7, 59
2014-01-02T05:30:00.000Z, 2.431873333, 7, 60
2014-01-02T06:30:00.000Z, 1.697966667, 7, 60
2014-01-02T07:30:00.000Z, 1.021186667, 7, 60
2014-01-02T08:30:00.000Z, 0.918333333, 7, 60
2014-01-02T09:30:00.000Z, 1.31328, 7, 60
2014-01-02T10:30:00.000Z, 3.572886666, 7, 60
2014-01-02T11:30:00.000Z, 4.275886667, 7, 60
2014-01-02T12:30:00.000Z, 3.84712, 7, 60
2014-01-02T13:30:00.000Z, 3.1711, 7, 60
2014-01-02T14:30:00.000Z, 2.807186667, 7, 60
2014-01-02T15:30:00.000Z, 2.55816, 7, 60
2014-01-02T16:30:00.000Z, 2.235044068, 7, 59
2014-01-02T17:30:00.000Z, 1.769153334, 7, 60
2014-01-02T18:30:00.000Z, 1.6454, 7, 60
2014-01-02T19:30:00.000Z, 1.492133334, 7, 60
2014-01-02T20:30:00.000Z, 1.34672, 7, 60
2014-01-02T21:30:00.000Z, 1.2388, 7, 60
2014-01-02T22:30:00.000Z, 1.37294, 7, 60
2014-01-02T23:30:00.000Z, 1.41056, 7, 60
2014-01-03T00:30:00.000Z, 1.22588, 7, 60
2014-01-03T01:30:00.000Z, 1.245386667, 7, 60
2014-01-03T02:30:00.000Z, 1.259446667, 7, 60
2014-01-03T03:30:00.000Z, 1.40296, 7, 60
2014-01-03T04:30:00.000Z, 2.192149152, 7, 59
2014-01-03T05:30:00.000Z, 1.941546666, 7, 60
2014-01-03T06:30:00.000Z, 1.25666, 7, 60
2014-01-03T07:30:00.000Z, 1.008013333, 7, 60
2014-01-03T08:30:00.000Z, 0.955193333, 7, 60
2014-01-03T09:30:00.000Z, 1.20802, 7, 60
2014-01-03T10:30:00.000Z, 1.587133333, 7, 60
2014-01-03T11:30:00.000Z, 3.14754, 7, 60
2014-01-03T12:30:00.000Z, 5.297071187, 7, 59
2014-01-03T13:30:00.000Z, 4.184813334, 7, 60
2014-01-03T14:30:00.000Z, 4.729986667, 7, 60
2014-01-03T15:30:00.000Z, 3.951742373, 7, 59
2014-01-03T16:30:00.000Z, 3.028149153, 7, 59
2014-01-03T17:30:00.000Z, 2.672666667, 7, 60
2014-01-03T18:30:00.000Z, 2.372973333, 7, 60
2014-01-03T19:30:00.000Z, 1.837173333, 7, 60
2014-01-03T20:30:00.000Z, 1.552046667, 7, 60
2014-01-03T21:30:00.000Z, 1.3851, 7, 60
2014-01-03T22:30:00.000Z, 1.41702, 7, 60
2014-01-03T23:30:00.000Z, 1.365593334, 7, 60
2014-01-04T00:30:00.000Z, 1.379273333, 7, 60
2014-01-04T01:30:00.000Z, 1.360273333, 7, 60
2014-01-04T02:30:00.000Z, 1.26274, 7, 60
2014-01-04T03:30:00.000Z, 1.253113333, 7, 60
2014-01-04T04:30:00.000Z, 1.324074576, 7, 59
2014-01-04T05:30:00.000Z, 1.142786667, 7, 60
2014-01-04T06:30:00.000Z, 1.099466667, 7, 60
2014-01-04T07:30:00.000Z, 1.59068, 7, 60
2014-01-04T08:30:00.000Z, 1.233986667, 7, 60
2014-01-04T09:30:00.000Z, 1.168626667, 7, 60
2014-01-04T10:30:00.000Z, 1.317966667, 7, 60
2014-01-04T11:30:00.000Z, 2.283673334, 7, 60
2014-01-04T12:30:00.000Z, 3.99038, 7, 60
2014-01-04T13:30:00.000Z, 3.350586666, 7, 60
2014-01-04T14:30:00.000Z, 3.096493333, 7, 60
2014-01-04T15:30:00.000Z, 3.15514, 7, 60
2014-01-04T16:30:00.000Z, 2.550250847, 7, 59
2014-01-04T17:30:00.000Z, 2.32484, 7, 60
2014-01-04T18:30:00.000Z, 2.163973333, 7, 60
2014-01-04T19:30:00.000Z, 2.15118, 7, 60
2014-01-04T20:30:00.000Z, 1.84642, 7, 60
2014-01-04T21:30:00.000Z, 1.365086667, 7, 60
2014-01-04T22:30:00.000Z, 2.472153333, 7, 60
2014-01-04T23:30:00.000Z, 0.93328, 7, 60
2014-01-05T00:30:00.000Z, 0.993953333, 7, 60
2014-01-05T01:30:00.000Z, 1.05032, 7, 60
2014-01-05T02:30:00.000Z, 1.03816, 7, 60
