## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:26:13.285Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Oxygen data from 1 Jan - 31 Dec 2015, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_OxygenSensor_OxygenConcentrationCorrected_20150101T000000Z_20151231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524001                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040067                         / Latitude North
#LONGITUDE:  -123.425825                         / Longitude East
#DEPTH:       297.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2015-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Aanderaa Optode 4175 (S/N 0581)"     / Device Name of Device 1
#DEVCODE1:  AandOpt0581                          / Device Code of Device 1
#DEVID1:    22603                                / Device ID of Device 1
#
#DEPLDATE2: 2015-08-31T01:56:20.000Z             / Device 2 Deployment Date
#DEVNAME2: "Aanderaa Optode 4175 (S/N 0580)"     / Device Name of Device 2
#DEVCODE2:  AandOpt0580                          / Device Code of Device 2
#DEVID2:    1102                                 / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2015-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2015-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2008-09-09T19:30:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2015-08-19T00:05:36.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8539                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag" , "Oxygen Concentration Corrected Count"  
## END HEADER
2015-01-01T00:30:00.000Z, 2.153917713, 7, 60
2015-01-01T01:30:00.000Z, 2.150335669, 7, 60
2015-01-01T02:30:00.000Z, 2.138590086, 7, 60
2015-01-01T03:30:00.000Z, 2.135373427, 7, 60
2015-01-01T04:30:00.000Z, 2.12564311, 7, 60
2015-01-01T05:30:00.000Z, 2.126079055, 7, 60
2015-01-01T06:30:00.000Z, 2.133412865, 7, 60
2015-01-01T07:30:00.000Z, 2.148427509, 7, 60
2015-01-01T08:30:00.000Z, 2.143277908, 7, 60
2015-01-01T09:30:00.000Z, 2.146725132, 7, 60
2015-01-01T10:30:00.000Z, 2.149403984, 7, 60
2015-01-01T11:30:00.000Z, 2.156828234, 7, 60
2015-01-01T12:30:00.000Z, 2.160676003, 7, 60
2015-01-01T13:30:00.000Z, 2.159608135, 7, 60
2015-01-01T14:30:00.000Z, 2.156392265, 7, 60
2015-01-01T15:30:00.000Z, 2.152146068, 7, 60
2015-01-01T16:30:00.000Z, 2.143323045, 7, 60
2015-01-01T17:30:00.000Z, 2.143086363, 7, 60
2015-01-01T18:30:00.000Z, 2.138386885, 7, 60
2015-01-01T19:30:00.000Z, 2.137615506, 7, 60
2015-01-01T20:30:00.000Z, 2.135663923, 7, 60
2015-01-01T21:30:00.000Z, 2.146850108, 7, 60
2015-01-01T22:30:00.000Z, 2.145318791, 7, 60
2015-01-01T23:30:00.000Z, 2.14220427, 7, 60
2015-01-02T00:30:00.000Z, 2.140918094, 7, 60
2015-01-02T01:30:00.000Z, 2.140095045, 7, 60
2015-01-02T02:30:00.000Z, 2.13137474, 7, 60
2015-01-02T03:30:00.000Z, 2.127667526, 7, 60
2015-01-02T04:30:00.000Z, 2.123931631, 7, 60
2015-01-02T05:30:00.000Z, 2.124945714, 7, 60
2015-01-02T06:30:00.000Z, 2.130063626, 7, 60
2015-01-02T07:30:00.000Z, 2.133957667, 7, 60
2015-01-02T08:30:00.000Z, 2.144009594, 7, 60
2015-01-02T09:30:00.000Z, 2.145397913, 7, 60
2015-01-02T10:30:00.000Z, 2.15153424, 7, 60
2015-01-02T11:30:00.000Z, 2.163184145, 7, 60
2015-01-02T12:30:00.000Z, 2.167073078, 7, 60
2015-01-02T13:30:00.000Z, 2.162606489, 7, 60
2015-01-02T14:30:00.000Z, 2.159780742, 7, 60
2015-01-02T15:30:00.000Z, 2.156316513, 7, 60
2015-01-02T16:30:00.000Z, 2.153329247, 7, 60
2015-01-02T17:30:00.000Z, 2.14876334, 7, 60
2015-01-02T18:30:00.000Z, 2.144807183, 7, 60
2015-01-02T19:30:00.000Z, 2.141711151, 7, 60
2015-01-02T20:30:00.000Z, 2.141033639, 7, 60
2015-01-02T21:30:00.000Z, 2.136243319, 7, 60
2015-01-02T22:30:00.000Z, 2.139987067, 7, 60
2015-01-02T23:30:00.000Z, 2.139083774, 7, 60
2015-01-03T00:30:00.000Z, 2.136370853, 7, 60
2015-01-03T01:30:00.000Z, 2.134194513, 7, 60
2015-01-03T02:30:00.000Z, 2.136574543, 7, 60
2015-01-03T03:30:00.000Z, 2.138553181, 7, 60
2015-01-03T04:30:00.000Z, 2.136409714, 7, 60
2015-01-03T05:30:00.000Z, 2.131832225, 7, 60
2015-01-03T06:30:00.000Z, 2.13470996, 7, 60
2015-01-03T07:30:00.000Z, 2.138066676, 7, 60
2015-01-03T08:30:00.000Z, 2.139487537, 7, 60
2015-01-03T09:30:00.000Z, 2.141378623, 7, 60
2015-01-03T10:30:00.000Z, 2.157945879, 7, 60
2015-01-03T11:30:00.000Z, 2.164117732, 7, 60
2015-01-03T12:30:00.000Z, 2.169129541, 7, 60
