## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:26:14.730Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Salinity data from 1 Jan - 31 Dec 2015, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_PracticalSalinity_20150101T000000Z_20151231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524054                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040067                         / Latitude North
#LONGITUDE:  -123.425825                         / Longitude East
#DEPTH:       297.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2015-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p4686                        / Device Code of Device 1
#DEVID1:    8                                    / Device ID of Device 1
#
#DEPLDATE2: 2015-08-31T01:56:20.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE19plus V2 4997"   / Device Name of Device 2
#DEVCODE2:  SBECTD19p4997                        / Device Code of Device 2
#DEVID2:    23604                                / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2015-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2015-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2014-07-31T17:24:27.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2015-08-31T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8538                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Practical Salinity (psu)", "Practical Salinity QC Flag" , "Practical Salinity Count"  
## END HEADER
2015-01-01T00:30:00.000Z, 31.13618, 7, 60
2015-01-01T01:30:00.000Z, 31.14098, 7, 60
2015-01-01T02:30:00.000Z, 31.147315, 7, 60
2015-01-01T03:30:00.000Z, 31.152726667, 7, 60
2015-01-01T04:30:00.000Z, 31.157108333, 7, 60
2015-01-01T05:30:00.000Z, 31.154823333, 7, 60
2015-01-01T06:30:00.000Z, 31.151726667, 7, 60
2015-01-01T07:30:00.000Z, 31.145831667, 7, 60
2015-01-01T08:30:00.000Z, 31.140935, 7, 60
2015-01-01T09:30:00.000Z, 31.137458333, 7, 60
2015-01-01T10:30:00.000Z, 31.133006667, 7, 60
2015-01-01T11:30:00.000Z, 31.12974, 7, 60
2015-01-01T12:30:00.000Z, 31.129751667, 7, 60
2015-01-01T13:30:00.000Z, 31.129488333, 7, 60
2015-01-01T14:30:00.000Z, 31.12929, 7, 60
2015-01-01T15:30:00.000Z, 31.129235, 7, 60
2015-01-01T16:30:00.000Z, 31.131668333, 7, 60
2015-01-01T17:30:00.000Z, 31.130653333, 7, 60
2015-01-01T18:30:00.000Z, 31.132238333, 7, 60
2015-01-01T19:30:00.000Z, 31.133756667, 7, 60
2015-01-01T20:30:00.000Z, 31.133476667, 7, 60
2015-01-01T21:30:00.000Z, 31.13031, 7, 60
2015-01-01T22:30:00.000Z, 31.130523333, 7, 60
2015-01-01T23:30:00.000Z, 31.133048333, 7, 60
2015-01-02T00:30:00.000Z, 31.13564, 7, 60
2015-01-02T01:30:00.000Z, 31.13949322, 7, 59
2015-01-02T02:30:00.000Z, 31.146426667, 7, 60
2015-01-02T03:30:00.000Z, 31.151265, 7, 60
2015-01-02T04:30:00.000Z, 31.154183333, 7, 60
2015-01-02T05:30:00.000Z, 31.15334, 7, 60
2015-01-02T06:30:00.000Z, 31.148748333, 7, 60
2015-01-02T07:30:00.000Z, 31.145021667, 7, 60
2015-01-02T08:30:00.000Z, 31.139711667, 7, 60
2015-01-02T09:30:00.000Z, 31.136675, 7, 60
2015-01-02T10:30:00.000Z, 31.133911667, 7, 60
2015-01-02T11:30:00.000Z, 31.127515, 7, 60
2015-01-02T12:30:00.000Z, 31.123128333, 7, 60
2015-01-02T13:30:00.000Z, 31.121553333, 7, 60
2015-01-02T14:30:00.000Z, 31.121413333, 7, 60
2015-01-02T15:30:00.000Z, 31.120811667, 7, 60
2015-01-02T16:30:00.000Z, 31.120688333, 7, 60
2015-01-02T17:30:00.000Z, 31.123216667, 7, 60
2015-01-02T18:30:00.000Z, 31.124061667, 7, 60
2015-01-02T19:30:00.000Z, 31.123828333, 7, 60
2015-01-02T20:30:00.000Z, 31.12364, 7, 60
2015-01-02T21:30:00.000Z, 31.125846667, 7, 60
2015-01-02T22:30:00.000Z, 31.125945, 7, 60
2015-01-02T23:30:00.000Z, 31.126356667, 7, 60
2015-01-03T00:30:00.000Z, 31.12958, 7, 60
2015-01-03T01:30:00.000Z, 31.134466667, 7, 60
2015-01-03T02:30:00.000Z, 31.13741, 7, 60
2015-01-03T03:30:00.000Z, 31.140541667, 7, 60
2015-01-03T04:30:00.000Z, 31.142933333, 7, 60
2015-01-03T05:30:00.000Z, 31.144293333, 7, 60
2015-01-03T06:30:00.000Z, 31.142291667, 7, 60
2015-01-03T07:30:00.000Z, 31.138895, 7, 60
2015-01-03T08:30:00.000Z, 31.135628333, 7, 60
2015-01-03T09:30:00.000Z, 31.13264, 7, 60
2015-01-03T10:30:00.000Z, 31.126623333, 7, 60
2015-01-03T11:30:00.000Z, 31.12019, 7, 60
2015-01-03T12:30:00.000Z, 31.11459, 7, 60
