## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:26:16.415Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 1 Jan - 31 Dec 2015, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Temperature_20150101T000000Z_20151231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524056                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040067                         / Latitude North
#LONGITUDE:  -123.425825                         / Longitude East
#DEPTH:       297.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2015-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus 4686"      / Device Name of Device 1
#DEVCODE1:  SBECTD16p4686                        / Device Code of Device 1
#DEVID1:    8                                    / Device ID of Device 1
#
#DEPLDATE2: 2015-08-31T01:56:20.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE19plus V2 4997"   / Device Name of Device 2
#DEVCODE2:  SBECTD19p4997                        / Device Code of Device 2
#DEVID2:    23604                                / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2015-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2015-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2014-07-31T17:24:27.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#PERIODST2: 2015-08-31T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8693                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  
## END HEADER
2015-01-01T00:30:00.000Z, 9.377503333, 7, 60
2015-01-01T01:30:00.000Z, 9.35826, 7, 60
2015-01-01T02:30:00.000Z, 9.34375, 7, 60
2015-01-01T03:30:00.000Z, 9.337888333, 7, 60
2015-01-01T04:30:00.000Z, 9.336556667, 7, 60
2015-01-01T05:30:00.000Z, 9.338126667, 7, 60
2015-01-01T06:30:00.000Z, 9.33952, 7, 60
2015-01-01T07:30:00.000Z, 9.343436667, 7, 60
2015-01-01T08:30:00.000Z, 9.358555, 7, 60
2015-01-01T09:30:00.000Z, 9.367776667, 7, 60
2015-01-01T10:30:00.000Z, 9.38015, 7, 60
2015-01-01T11:30:00.000Z, 9.389888333, 7, 60
2015-01-01T12:30:00.000Z, 9.391265, 7, 60
2015-01-01T13:30:00.000Z, 9.392263333, 7, 60
2015-01-01T14:30:00.000Z, 9.394643333, 7, 60
2015-01-01T15:30:00.000Z, 9.396735, 7, 60
2015-01-01T16:30:00.000Z, 9.398996667, 7, 60
2015-01-01T17:30:00.000Z, 9.392035, 7, 60
2015-01-01T18:30:00.000Z, 9.389956667, 7, 60
2015-01-01T19:30:00.000Z, 9.394583333, 7, 60
2015-01-01T20:30:00.000Z, 9.397313333, 7, 60
2015-01-01T21:30:00.000Z, 9.391971667, 7, 60
2015-01-01T22:30:00.000Z, 9.388688333, 7, 60
2015-01-01T23:30:00.000Z, 9.381873333, 7, 60
2015-01-02T00:30:00.000Z, 9.374628333, 7, 60
2015-01-02T01:30:00.000Z, 9.358546667, 7, 60
2015-01-02T02:30:00.000Z, 9.343288333, 7, 60
2015-01-02T03:30:00.000Z, 9.338838333, 7, 60
2015-01-02T04:30:00.000Z, 9.338311667, 7, 60
2015-01-02T05:30:00.000Z, 9.338203333, 7, 60
2015-01-02T06:30:00.000Z, 9.341023333, 7, 60
2015-01-02T07:30:00.000Z, 9.345116667, 7, 60
2015-01-02T08:30:00.000Z, 9.35146, 7, 60
2015-01-02T09:30:00.000Z, 9.3619, 7, 60
2015-01-02T10:30:00.000Z, 9.364008333, 7, 60
2015-01-02T11:30:00.000Z, 9.379351667, 7, 60
2015-01-02T12:30:00.000Z, 9.395468333, 7, 60
2015-01-02T13:30:00.000Z, 9.403088333, 7, 60
2015-01-02T14:30:00.000Z, 9.406956667, 7, 60
2015-01-02T15:30:00.000Z, 9.4101, 7, 60
2015-01-02T16:30:00.000Z, 9.410715, 7, 60
2015-01-02T17:30:00.000Z, 9.408771667, 7, 60
2015-01-02T18:30:00.000Z, 9.406751667, 7, 60
2015-01-02T19:30:00.000Z, 9.404581667, 7, 60
2015-01-02T20:30:00.000Z, 9.403336667, 7, 60
2015-01-02T21:30:00.000Z, 9.399178333, 7, 60
2015-01-02T22:30:00.000Z, 9.393041667, 7, 60
2015-01-02T23:30:00.000Z, 9.392261667, 7, 60
2015-01-03T00:30:00.000Z, 9.385166667, 7, 60
2015-01-03T01:30:00.000Z, 9.371131667, 7, 60
2015-01-03T02:30:00.000Z, 9.358203333, 7, 60
2015-01-03T03:30:00.000Z, 9.3498, 7, 60
2015-01-03T04:30:00.000Z, 9.34646, 7, 60
2015-01-03T05:30:00.000Z, 9.346246667, 7, 60
2015-01-03T06:30:00.000Z, 9.346873333, 7, 60
2015-01-03T07:30:00.000Z, 9.350663333, 7, 60
2015-01-03T08:30:00.000Z, 9.359095, 7, 60
2015-01-03T09:30:00.000Z, 9.366655, 7, 60
2015-01-03T10:30:00.000Z, 9.373835, 7, 60
2015-01-03T11:30:00.000Z, 9.393348333, 7, 60
2015-01-03T12:30:00.000Z, 9.408065, 7, 60
2015-01-03T13:30:00.000Z, 9.416533333, 7, 60
2015-01-03T14:30:00.000Z, 9.427225, 7, 60
