## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:26:11.764Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 1 Jan - 31 Dec 2015, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20150101T000000Z_20151231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523996                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040067                         / Latitude North
#LONGITUDE:  -123.425825                         / Longitude East
#DEPTH:       297.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2015-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 319"               / Device Name of Device 1
#DEVCODE1:  WLNTUS319                            / Device Code of Device 1
#DEVID1:    1302                                 / Device ID of Device 1
#
#DEPLDATE2: 2015-08-31T01:56:20.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 371"               / Device Name of Device 2
#DEVCODE2:  WLNTUS371                            / Device Code of Device 2
#DEVID2:    23023                                / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2015-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2015-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2013-06-14T16:32:42.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2015-08-19T01:12:46.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8465                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2015-01-01T00:30:00.000Z, 1.33188818, 7, 3308
2015-01-01T01:30:00.000Z, 1.319011397, 7, 3308
2015-01-01T02:30:00.000Z, 1.42448603, 7, 3307
2015-01-01T03:30:00.000Z, 1.135364767, 7, 3298
2015-01-01T04:30:00.000Z, 1.038229081, 7, 3308
2015-01-01T05:30:00.000Z, 1.059957272, 7, 3307
2015-01-01T06:30:00.000Z, 1.212433434, 7, 3308
2015-01-01T07:30:00.000Z, 1.386610039, 7, 3307
2015-01-01T08:30:00.000Z, 2.001196704, 7, 3307
2015-01-01T09:30:00.000Z, 2.07140276, 7, 3297
2015-01-01T10:30:00.000Z, 1.941299304, 7, 3305
2015-01-01T11:30:00.000Z, 1.952520629, 7, 3306
2015-01-01T12:30:00.000Z, 1.712483727, 7, 3306
2015-01-01T13:30:00.000Z, 1.73154507, 7, 3306
2015-01-01T14:30:00.000Z, 1.602324131, 7, 3307
2015-01-01T15:30:00.000Z, 1.52816966, 7, 3296
2015-01-01T16:30:00.000Z, 1.154615815, 7, 3307
2015-01-01T17:30:00.000Z, 1.188065528, 7, 3307
2015-01-01T18:30:00.000Z, 1.219289295, 7, 3307
2015-01-01T19:30:00.000Z, 1.198619359, 7, 3306
2015-01-01T20:30:00.000Z, 1.112737315, 7, 3307
2015-01-01T21:30:00.000Z, 1.388737985, 7, 3296
2015-01-01T22:30:00.000Z, 1.484314122, 7, 3307
2015-01-01T23:30:00.000Z, 1.533767332, 7, 3306
2015-01-02T00:30:00.000Z, 1.515917715, 7, 3308
2015-01-02T01:30:00.000Z, 1.452395042, 7, 3308
2015-01-02T02:30:00.000Z, 1.317647656, 7, 3307
2015-01-02T03:30:00.000Z, 1.154535385, 7, 3298
2015-01-02T04:30:00.000Z, 1.007750302, 7, 3308
2015-01-02T05:30:00.000Z, 0.982810584, 7, 3307
2015-01-02T06:30:00.000Z, 1.121646524, 7, 3308
2015-01-02T07:30:00.000Z, 1.883864258, 7, 3307
2015-01-02T08:30:00.000Z, 2.344605747, 7, 3306
2015-01-02T09:30:00.000Z, 3.05398535, 7, 3297
2015-01-02T10:30:00.000Z, 2.652533545, 7, 3306
2015-01-02T11:30:00.000Z, 2.123800212, 7, 3306
2015-01-02T12:30:00.000Z, 1.723970841, 7, 3306
2015-01-02T13:30:00.000Z, 1.749206624, 7, 3306
2015-01-02T14:30:00.000Z, 1.798439111, 7, 3306
2015-01-02T15:30:00.000Z, 1.704033121, 7, 3297
2015-01-02T16:30:00.000Z, 1.622315724, 7, 3307
2015-01-02T17:30:00.000Z, 1.427940079, 7, 3306
2015-01-02T18:30:00.000Z, 1.148159178, 7, 3307
2015-01-02T19:30:00.000Z, 1.240235693, 7, 3306
2015-01-02T20:30:00.000Z, 1.183483248, 7, 3307
2015-01-02T21:30:00.000Z, 1.361160085, 7, 3297
2015-01-02T22:30:00.000Z, 1.661814605, 7, 3307
2015-01-02T23:30:00.000Z, 1.651014156, 7, 3306
2015-01-03T00:30:00.000Z, 1.773707923, 7, 3307
2015-01-03T01:30:00.000Z, 1.777966556, 7, 3307
2015-01-03T02:30:00.000Z, 1.50683668, 7, 3307
2015-01-03T03:30:00.000Z, 1.287298514, 7, 3298
2015-01-03T04:30:00.000Z, 1.189324123, 7, 3308
2015-01-03T05:30:00.000Z, 1.019939159, 7, 3307
2015-01-03T06:30:00.000Z, 1.142528235, 7, 3308
2015-01-03T07:30:00.000Z, 1.554850499, 7, 3307
2015-01-03T08:30:00.000Z, 2.978265467, 7, 3307
2015-01-03T09:30:00.000Z, 4.408300212, 7, 3297
