## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:29:29.776Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Oxygen data from 1 Jan - 31 Dec 2016, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_OxygenSensor_OxygenConcentrationCorrected_20160101T000000Z_20161231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524095                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040057                         / Latitude North
#LONGITUDE:  -123.425785                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2016-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Aanderaa Optode 4175 (S/N 0580)"     / Device Name of Device 1
#DEVCODE1:  AandOpt0580                          / Device Code of Device 1
#DEVID1:    1102                                 / Device ID of Device 1
#
#DEPLDATE2: 2016-05-03T19:56:27.000Z             / Device 2 Deployment Date
#DEVNAME2: "Aanderaa Optode 4175C (S/N 1685)"    / Device Name of Device 2
#DEVCODE2:  AandOpt1685                          / Device Code of Device 2
#DEVID2:    23092                                / Device ID of Device 2
#
#DEPLDATE3: 2016-12-01T19:06:51.000Z             / Device 3 Deployment Date
#DEVNAME3: "SeaBird 43 Oxygen (S/N 2584)"        / Device Name of Device 3
#DEVCODE3:  SBE43-2584                           / Device Code of Device 3
#DEVID3:    23138                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2016-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2016-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 4                                    / Number of Sample Periods
#PERIODST1: 2015-08-19T00:05:36.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2016-02-22T19:51:03.000Z             / Sample Period 2 Start Time
#PERIOD2:   0.25                                 / Sensor Sample Period 2 (s)
#PERIODST3: 2016-05-03T22:11:25.000Z             / Sample Period 3 Start Time
#PERIOD3:   1                                    / Sensor Sample Period 3 (s)
#PERIODST4: 2016-11-07T18:28:20.000Z             / Sample Period 4 Start Time
#PERIOD4:   600                                  / Sensor Sample Period 4 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 4337                                 / Samples in File
#TOTSMPEXP: 8760                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag" , "Oxygen Concentration Corrected Count"  
## END HEADER
2016-01-01T00:30:00.000Z, 2.298103477, 7, 3595
2016-01-01T01:30:00.000Z, 2.29610706, 7, 3596
2016-01-01T02:30:00.000Z, 2.291714979, 7, 3595
2016-01-01T03:30:00.000Z, 2.289311103, 7, 3597
2016-01-01T04:30:00.000Z, 2.27835446, 7, 3600
2016-01-01T05:30:00.000Z, 2.271869371, 7, 3595
2016-01-01T06:30:00.000Z, 2.280209569, 7, 3594
2016-01-01T07:30:00.000Z, 2.279181087, 7, 3597
2016-01-01T08:30:00.000Z, 2.280214256, 7, 3600
2016-01-01T09:30:00.000Z, 2.280885103, 7, 3600
2016-01-01T10:30:00.000Z, 2.273158705, 7, 3597
2016-01-01T11:30:00.000Z, 2.266201053, 7, 3599
2016-01-01T12:30:00.000Z, 2.263362727, 7, 3599
2016-01-01T13:30:00.000Z, 2.271735966, 7, 3599
2016-01-01T14:30:00.000Z, 2.279412456, 7, 3594
2016-01-01T15:30:00.000Z, 2.283685219, 7, 3599
2016-01-01T16:30:00.000Z, 2.302020692, 7, 3599
2016-01-01T17:30:00.000Z, 2.307942379, 7, 3596
2016-01-01T18:30:00.000Z, 2.318624801, 7, 3595
2016-01-01T19:30:00.000Z, 2.317588875, 7, 3600
2016-01-01T20:30:00.000Z, 2.315118272, 7, 3596
2016-01-01T21:30:00.000Z, 2.317045831, 7, 3595
2016-01-01T22:30:00.000Z, 2.30425818, 7, 3596
2016-01-01T23:30:00.000Z, 2.286425357, 7, 3595
2016-01-02T00:30:00.000Z, 2.277976665, 7, 3595
2016-01-02T01:30:00.000Z, 2.27663803, 7, 3593
2016-01-02T02:30:00.000Z, 2.270794393, 7, 3591
2016-01-02T03:30:00.000Z, 2.27020282, 7, 3597
2016-01-02T04:30:00.000Z, 2.266380713, 7, 3594
2016-01-02T05:30:00.000Z, 2.254577314, 7, 3598
2016-01-02T06:30:00.000Z, 2.250692027, 7, 3600
2016-01-02T07:30:00.000Z, 2.257167343, 7, 3598
2016-01-02T08:30:00.000Z, 2.258914961, 7, 3599
2016-01-02T09:30:00.000Z, 2.260046445, 7, 3597
2016-01-02T10:30:00.000Z, 2.259766227, 7, 3600
2016-01-02T11:30:00.000Z, 2.252712751, 7, 3596
2016-01-02T12:30:00.000Z, 2.23377773, 7, 3597
2016-01-02T13:30:00.000Z, 2.238743517, 7, 3599
2016-01-02T14:30:00.000Z, 2.24799258, 7, 3595
2016-01-02T15:30:00.000Z, 2.247688021, 7, 3597
2016-01-02T16:30:00.000Z, 2.248502964, 7, 3598
2016-01-02T17:30:00.000Z, 2.247977813, 7, 3599
2016-01-02T18:30:00.000Z, 2.265310387, 7, 3599
2016-01-02T19:30:00.000Z, 2.273849386, 7, 3599
2016-01-02T20:30:00.000Z, 2.275822723, 7, 3596
2016-01-02T21:30:00.000Z, 2.262997532, 7, 3596
2016-01-02T22:30:00.000Z, 2.261431557, 7, 3595
2016-01-02T23:30:00.000Z, 2.256680776, 7, 3598
2016-01-03T00:30:00.000Z, 2.253875887, 7, 3597
2016-01-03T01:30:00.000Z, 2.247249123, 7, 3594
2016-01-03T02:30:00.000Z, 2.24354617, 7, 3595
2016-01-03T03:30:00.000Z, 2.244553174, 7, 3595
2016-01-03T04:30:00.000Z, 2.243872193, 7, 3596
2016-01-03T05:30:00.000Z, 2.226069043, 7, 3598
2016-01-03T06:30:00.000Z, 2.221197532, 7, 3598
2016-01-03T07:30:00.000Z, 2.219232027, 7, 3600
2016-01-03T08:30:00.000Z, 2.220237338, 7, 3587
2016-01-03T09:30:00.000Z, 2.231481633, 7, 3599
2016-01-03T10:30:00.000Z, 2.236921144, 7, 3599
2016-01-03T11:30:00.000Z, 2.242694715, 7, 3592
2016-01-03T12:30:00.000Z, 2.243782337, 7, 3596
2016-01-03T13:30:00.000Z, 2.239001918, 7, 3594
2016-01-03T14:30:00.000Z, 2.241180243, 7, 3599
2016-01-03T15:30:00.000Z, 2.24052511, 7, 3599
2016-01-03T16:30:00.000Z, 2.251663921, 7, 3600
2016-01-03T17:30:00.000Z, 2.25371116, 7, 3599
2016-01-03T18:30:00.000Z, 2.267961795, 7, 3596
2016-01-03T19:30:00.000Z, 2.274441976, 7, 3598
