## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:29:50.377Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Salinity data from 1 Jan - 31 Dec 2016, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_PracticalSalinity_20160101T000000Z_20161231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524083                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040057                         / Latitude North
#LONGITUDE:  -123.425785                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2016-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 4997"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p4997                        / Device Code of Device 1
#DEVID1:    23604                                / Device ID of Device 1
#
#DEPLDATE2: 2016-05-03T19:56:27.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE19plus V2 7286"   / Device Name of Device 2
#DEVCODE2:  SBECTD19p7286                        / Device Code of Device 2
#DEVID2:    23833                                / Device ID of Device 2
#
#DEPLDATE3: 2016-12-01T19:06:51.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE19plus V2 5270"   / Device Name of Device 3
#DEVCODE3:  SBECTD19p5270                        / Device Code of Device 3
#DEVID3:    23829                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2016-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2016-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 4                                    / Number of Sample Periods
#PERIODST1: 2015-08-31T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2016-02-22T19:51:03.000Z             / Sample Period 2 Start Time
#PERIOD2:   0.25                                 / Sensor Sample Period 2 (s)
#PERIODST3: 2016-05-03T22:11:25.000Z             / Sample Period 3 Start Time
#PERIOD3:   1                                    / Sensor Sample Period 3 (s)
#PERIODST4: 2016-12-01T00:00:00.000Z             / Sample Period 4 Start Time
#PERIOD4:   600                                  / Sensor Sample Period 4 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7160                                 / Samples in File
#TOTSMPEXP: 8760                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Practical Salinity (psu)", "Practical Salinity QC Flag" , "Practical Salinity Count"  
## END HEADER
2016-01-01T00:30:00.000Z, 31.080137163, 7, 3595
2016-01-01T01:30:00.000Z, 31.082052253, 7, 3596
2016-01-01T02:30:00.000Z, 31.083066592, 7, 3595
2016-01-01T03:30:00.000Z, 31.085315569, 7, 3597
2016-01-01T04:30:00.000Z, 31.085559694, 7, 3600
2016-01-01T05:30:00.000Z, 31.085356662, 7, 3595
2016-01-01T06:30:00.000Z, 31.085181831, 7, 3594
2016-01-01T07:30:00.000Z, 31.084902057, 7, 3597
2016-01-01T08:30:00.000Z, 31.084650944, 7, 3600
2016-01-01T09:30:00.000Z, 31.083976861, 7, 3600
2016-01-01T10:30:00.000Z, 31.084181457, 7, 3597
2016-01-01T11:30:00.000Z, 31.083640122, 7, 3599
2016-01-01T12:30:00.000Z, 31.083783551, 7, 3599
2016-01-01T13:30:00.000Z, 31.080906919, 7, 3599
2016-01-01T14:30:00.000Z, 31.07777916, 7, 3594
2016-01-01T15:30:00.000Z, 31.073966713, 7, 3599
2016-01-01T16:30:00.000Z, 31.065441289, 7, 3599
2016-01-01T17:30:00.000Z, 31.060669744, 7, 3596
2016-01-01T18:30:00.000Z, 31.053816384, 7, 3595
2016-01-01T19:30:00.000Z, 31.051287222, 7, 3600
2016-01-01T20:30:00.000Z, 31.052843938, 7, 3596
2016-01-01T21:30:00.000Z, 31.059939249, 7, 3595
2016-01-01T22:30:00.000Z, 31.070248637, 7, 3596
2016-01-01T23:30:00.000Z, 31.077824784, 7, 3595
2016-01-02T00:30:00.000Z, 31.079852156, 7, 3595
2016-01-02T01:30:00.000Z, 31.082039744, 7, 3593
2016-01-02T02:30:00.000Z, 31.084457477, 7, 3591
2016-01-02T03:30:00.000Z, 31.086124882, 7, 3597
2016-01-02T04:30:00.000Z, 31.087625821, 7, 3594
2016-01-02T05:30:00.000Z, 31.087934047, 7, 3598
2016-01-02T06:30:00.000Z, 31.087771194, 7, 3600
2016-01-02T07:30:00.000Z, 31.087451445, 7, 3598
2016-01-02T08:30:00.000Z, 31.086784051, 7, 3599
2016-01-02T09:30:00.000Z, 31.086303837, 7, 3597
2016-01-02T10:30:00.000Z, 31.086131833, 7, 3600
2016-01-02T11:30:00.000Z, 31.085796858, 7, 3596
2016-01-02T12:30:00.000Z, 31.085485627, 7, 3597
2016-01-02T13:30:00.000Z, 31.084879689, 7, 3599
2016-01-02T14:30:00.000Z, 31.083479861, 7, 3595
2016-01-02T15:30:00.000Z, 31.082603698, 7, 3597
2016-01-02T16:30:00.000Z, 31.080260978, 7, 3598
2016-01-02T17:30:00.000Z, 31.077235121, 7, 3599
2016-01-02T18:30:00.000Z, 31.074113059, 7, 3599
2016-01-02T19:30:00.000Z, 31.071616393, 7, 3599
2016-01-02T20:30:00.000Z, 31.072315323, 7, 3596
2016-01-02T21:30:00.000Z, 31.080016407, 7, 3596
2016-01-02T22:30:00.000Z, 31.082803727, 7, 3595
2016-01-02T23:30:00.000Z, 31.08231284, 7, 3598
2016-01-03T00:30:00.000Z, 31.083583597, 7, 3597
2016-01-03T01:30:00.000Z, 31.087084641, 7, 3594
2016-01-03T02:30:00.000Z, 31.08857121, 7, 3595
2016-01-03T03:30:00.000Z, 31.088588929, 7, 3595
2016-01-03T04:30:00.000Z, 31.088911263, 7, 3596
2016-01-03T05:30:00.000Z, 31.090878155, 7, 3598
2016-01-03T06:30:00.000Z, 31.091435603, 7, 3598
2016-01-03T07:30:00.000Z, 31.091740972, 7, 3600
2016-01-03T08:30:00.000Z, 31.091294424, 7, 3587
2016-01-03T09:30:00.000Z, 31.089799278, 7, 3599
2016-01-03T10:30:00.000Z, 31.087869019, 7, 3599
2016-01-03T11:30:00.000Z, 31.086095128, 7, 3592
2016-01-03T12:30:00.000Z, 31.084268715, 7, 3596
2016-01-03T13:30:00.000Z, 31.082895687, 7, 3594
2016-01-03T14:30:00.000Z, 31.082470242, 7, 3599
2016-01-03T15:30:00.000Z, 31.080057377, 7, 3599
2016-01-03T16:30:00.000Z, 31.073753194, 7, 3600
2016-01-03T17:30:00.000Z, 31.069911503, 7, 3599
2016-01-03T18:30:00.000Z, 31.064547803, 7, 3596
2016-01-03T19:30:00.000Z, 31.061333157, 7, 3598
2016-01-03T20:30:00.000Z, 31.061542813, 7, 3597
2016-01-03T21:30:00.000Z, 31.066854098, 7, 3599
2016-01-03T22:30:00.000Z, 31.074545482, 7, 3597
2016-01-03T23:30:00.000Z, 31.078745083, 7, 3600
2016-01-04T00:30:00.000Z, 31.082991486, 7, 3594
2016-01-04T01:30:00.000Z, 31.085210003, 7, 3599
2016-01-04T02:30:00.000Z, 31.086451862, 7, 3598
2016-01-04T03:30:00.000Z, 31.086987176, 7, 3587
2016-01-04T04:30:00.000Z, 31.086645874, 7, 3599
2016-01-04T05:30:00.000Z, 31.085811503, 7, 3599
2016-01-04T06:30:00.000Z, 31.084499222, 7, 3597
2016-01-04T07:30:00.000Z, 31.083335548, 7, 3598
2016-01-04T08:30:00.000Z, 31.080946971, 7, 3598
2016-01-04T09:30:00.000Z, 31.079200918, 7, 3595
2016-01-04T10:30:00.000Z, 31.078287469, 7, 3599
2016-01-04T11:30:00.000Z, 31.076444083, 7, 3600
2016-01-04T12:30:00.000Z, 31.074879833, 7, 3600
2016-01-04T13:30:00.000Z, 31.070753835, 7, 3598
2016-01-04T14:30:00.000Z, 31.067472171, 7, 3597
