## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:29:28.740Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 1 Jan - 31 Dec 2016, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Temperature_20160101T000000Z_20161231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524085                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040057                         / Latitude North
#LONGITUDE:  -123.425785                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2016-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 4997"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p4997                        / Device Code of Device 1
#DEVID1:    23604                                / Device ID of Device 1
#
#DEPLDATE2: 2016-05-03T19:56:27.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE19plus V2 7286"   / Device Name of Device 2
#DEVCODE2:  SBECTD19p7286                        / Device Code of Device 2
#DEVID2:    23833                                / Device ID of Device 2
#
#DEPLDATE3: 2016-12-01T19:06:51.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE19plus V2 5270"   / Device Name of Device 3
#DEVCODE3:  SBECTD19p5270                        / Device Code of Device 3
#DEVID3:    23829                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2016-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2016-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 4                                    / Number of Sample Periods
#PERIODST1: 2015-08-31T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2016-02-22T19:51:03.000Z             / Sample Period 2 Start Time
#PERIOD2:   0.25                                 / Sensor Sample Period 2 (s)
#PERIODST3: 2016-05-03T22:11:25.000Z             / Sample Period 3 Start Time
#PERIOD3:   1                                    / Sensor Sample Period 3 (s)
#PERIODST4: 2016-12-01T00:00:00.000Z             / Sample Period 4 Start Time
#PERIOD4:   600                                  / Sensor Sample Period 4 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 7329                                 / Samples in File
#TOTSMPEXP: 8760                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  
## END HEADER
2016-01-01T00:30:00.000Z, 9.95848625, 7, 3600
2016-01-01T01:30:00.000Z, 9.956181472, 7, 3600
2016-01-01T02:30:00.000Z, 9.954662444, 7, 3600
2016-01-01T03:30:00.000Z, 9.950889219, 7, 3599
2016-01-01T04:30:00.000Z, 9.951400111, 7, 3601
2016-01-01T05:30:00.000Z, 9.951170667, 7, 3600
2016-01-01T06:30:00.000Z, 9.950703195, 7, 3599
2016-01-01T07:30:00.000Z, 9.951199417, 7, 3600
2016-01-01T08:30:00.000Z, 9.951497028, 7, 3600
2016-01-01T09:30:00.000Z, 9.9523755, 7, 3600
2016-01-01T10:30:00.000Z, 9.952792556, 7, 3600
2016-01-01T11:30:00.000Z, 9.953851111, 7, 3600
2016-01-01T12:30:00.000Z, 9.953202056, 7, 3600
2016-01-01T13:30:00.000Z, 9.954064361, 7, 3600
2016-01-01T14:30:00.000Z, 9.951392694, 7, 3600
2016-01-01T15:30:00.000Z, 9.951567472, 7, 3600
2016-01-01T16:30:00.000Z, 9.955344972, 7, 3600
2016-01-01T17:30:00.000Z, 9.956263889, 7, 3600
2016-01-01T18:30:00.000Z, 9.959301889, 7, 3599
2016-01-01T19:30:00.000Z, 9.960814972, 7, 3600
2016-01-01T20:30:00.000Z, 9.961241, 7, 3600
2016-01-01T21:30:00.000Z, 9.961768028, 7, 3600
2016-01-01T22:30:00.000Z, 9.960500972, 7, 3600
2016-01-01T23:30:00.000Z, 9.958500417, 7, 3600
2016-01-02T00:30:00.000Z, 9.956856194, 7, 3600
2016-01-02T01:30:00.000Z, 9.953217722, 7, 3600
2016-01-02T02:30:00.000Z, 9.949362389, 7, 3600
2016-01-02T03:30:00.000Z, 9.947010306, 7, 3600
2016-01-02T04:30:00.000Z, 9.943378716, 7, 3599
2016-01-02T05:30:00.000Z, 9.942539556, 7, 3600
2016-01-02T06:30:00.000Z, 9.942763056, 7, 3600
2016-01-02T07:30:00.000Z, 9.942454861, 7, 3600
2016-01-02T08:30:00.000Z, 9.944322056, 7, 3600
2016-01-02T09:30:00.000Z, 9.945460917, 7, 3600
2016-01-02T10:30:00.000Z, 9.945784083, 7, 3600
2016-01-02T11:30:00.000Z, 9.946962056, 7, 3600
2016-01-02T12:30:00.000Z, 9.947837556, 7, 3600
2016-01-02T13:30:00.000Z, 9.948475083, 7, 3600
2016-01-02T14:30:00.000Z, 9.950821889, 7, 3600
2016-01-02T15:30:00.000Z, 9.951529694, 7, 3600
2016-01-02T16:30:00.000Z, 9.953285472, 7, 3600
2016-01-02T17:30:00.000Z, 9.954424194, 7, 3600
2016-01-02T18:30:00.000Z, 9.954679189, 7, 3599
2016-01-02T19:30:00.000Z, 9.95677775, 7, 3600
2016-01-02T20:30:00.000Z, 9.957447972, 7, 3600
2016-01-02T21:30:00.000Z, 9.953986222, 7, 3600
2016-01-02T22:30:00.000Z, 9.950462528, 7, 3600
2016-01-02T23:30:00.000Z, 9.951671583, 7, 3600
2016-01-03T00:30:00.000Z, 9.949432833, 7, 3600
2016-01-03T01:30:00.000Z, 9.941951111, 7, 3600
2016-01-03T02:30:00.000Z, 9.938303944, 7, 3600
2016-01-03T03:30:00.000Z, 9.937937722, 7, 3600
2016-01-03T04:30:00.000Z, 9.934913028, 7, 3600
2016-01-03T05:30:00.000Z, 9.928694083, 7, 3600
2016-01-03T06:30:00.000Z, 9.926402001, 7, 3599
2016-01-03T07:30:00.000Z, 9.923921306, 7, 3600
2016-01-03T08:30:00.000Z, 9.924582528, 7, 3600
2016-01-03T09:30:00.000Z, 9.929185694, 7, 3600
2016-01-03T10:30:00.000Z, 9.935566833, 7, 3600
2016-01-03T11:30:00.000Z, 9.941147361, 7, 3600
2016-01-03T12:30:00.000Z, 9.946319111, 7, 3600
2016-01-03T13:30:00.000Z, 9.949296667, 7, 3600
2016-01-03T14:30:00.000Z, 9.950722722, 7, 3600
2016-01-03T15:30:00.000Z, 9.953066472, 7, 3600
2016-01-03T16:30:00.000Z, 9.957713056, 7, 3600
2016-01-03T17:30:00.000Z, 9.958970611, 7, 3600
2016-01-03T18:30:00.000Z, 9.96001575, 7, 3600
2016-01-03T19:30:00.000Z, 9.960351722, 7, 3600
