## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:29:21.756Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 1 Jan - 9 Jun 2016, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20160101T000000Z_20160609T200000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524090                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040057                         / Latitude North
#LONGITUDE:  -123.425785                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2016-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 371"               / Device Name of Device 1
#DEVCODE1:  WLNTUS371                            / Device Code of Device 1
#DEVID1:    23023                                / Device ID of Device 1
#
#DEPLDATE2: 2016-05-03T19:56:27.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 371"               / Device Name of Device 2
#DEVCODE2:  WLNTUS371                            / Device Code of Device 2
#DEVID2:    23023                                / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2016-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2016-06-09T20:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2015-08-19T01:12:46.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 2932                                 / Samples in File
#TOTSMPEXP: 3860                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2016-01-01T00:30:00.000Z, 1.023710278, 7, 3308
2016-01-01T01:30:00.000Z, 0.916716783, 7, 3307
2016-01-01T02:30:00.000Z, 0.904596372, 7, 3308
2016-01-01T03:30:00.000Z, 0.881785546, 7, 3307
2016-01-01T04:30:00.000Z, 0.993556711, 7, 3308
2016-01-01T05:30:00.000Z, 1.067477913, 7, 3296
2016-01-01T06:30:00.000Z, 0.991492382, 7, 3308
2016-01-01T07:30:00.000Z, 0.930331318, 7, 3308
2016-01-01T08:30:00.000Z, 0.963462957, 7, 3307
2016-01-01T09:30:00.000Z, 1.010209674, 7, 3308
2016-01-01T10:30:00.000Z, 0.934799032, 7, 3306
2016-01-01T11:30:00.000Z, 0.951879126, 7, 3296
2016-01-01T12:30:00.000Z, NaN, 6, 1635
2016-01-01T13:30:00.000Z, NaN, 6, 1649
2016-01-01T14:30:00.000Z, 1.081787965, 7, 3307
2016-01-01T15:30:00.000Z, 1.62214309, 7, 3307
2016-01-01T16:30:00.000Z, 4.83125856, 7, 3306
2016-01-01T17:30:00.000Z, 1.004925281, 7, 3295
2016-01-01T18:30:00.000Z, 0.974264046, 7, 3307
2016-01-01T19:30:00.000Z, 1.026750045, 7, 3307
2016-01-01T20:30:00.000Z, 1.104200363, 7, 3306
2016-01-01T21:30:00.000Z, 0.996755005, 7, 3307
2016-01-01T22:30:00.000Z, 0.961805141, 7, 3307
2016-01-01T23:30:00.000Z, 0.985218204, 7, 3296
2016-01-02T00:30:00.000Z, 1.034082467, 7, 3308
2016-01-02T01:30:00.000Z, 0.979135671, 7, 3308
2016-01-02T02:30:00.000Z, 0.947981131, 7, 3307
2016-01-02T03:30:00.000Z, 0.955933253, 7, 3308
2016-01-02T04:30:00.000Z, 0.936823465, 7, 3307
2016-01-02T05:30:00.000Z, 1.032768214, 7, 3297
2016-01-02T06:30:00.000Z, 1.107102781, 7, 3308
2016-01-02T07:30:00.000Z, 1.131063362, 7, 3308
2016-01-02T08:30:00.000Z, 1.031111461, 7, 3307
2016-01-02T09:30:00.000Z, 0.969050786, 7, 3308
2016-01-02T10:30:00.000Z, 0.956274652, 7, 3306
2016-01-02T11:30:00.000Z, 1.016237136, 7, 3296
2016-01-02T12:30:00.000Z, 1.039352646, 7, 3307
2016-01-02T13:30:00.000Z, 1.041694345, 7, 3307
2016-01-02T14:30:00.000Z, 1.07731591, 7, 3306
2016-01-02T15:30:00.000Z, 1.095337889, 7, 3307
2016-01-02T16:30:00.000Z, 1.115923556, 7, 3307
2016-01-02T17:30:00.000Z, 1.143690291, 7, 3296
2016-01-02T18:30:00.000Z, 0.99603919, 7, 3307
2016-01-02T19:30:00.000Z, 0.976611067, 7, 3307
2016-01-02T20:30:00.000Z, 1.050873321, 7, 3306
2016-01-02T21:30:00.000Z, 1.038847052, 7, 3307
2016-01-02T22:30:00.000Z, 1.004719903, 7, 3306
2016-01-02T23:30:00.000Z, 1.03867767, 7, 3296
2016-01-03T00:30:00.000Z, 1.014638936, 7, 3308
2016-01-03T01:30:00.000Z, 1.016490447, 7, 3308
2016-01-03T02:30:00.000Z, 0.927491261, 7, 3307
2016-01-03T03:30:00.000Z, 0.932379686, 7, 3308
2016-01-03T04:30:00.000Z, 0.96711388, 7, 3307
2016-01-03T05:30:00.000Z, 1.273997015, 7, 3216
2016-01-03T06:30:00.000Z, 1.153850786, 7, 3308
2016-01-03T07:30:00.000Z, 1.209700635, 7, 3307
