## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:32:36.205Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 23 Jun - 31 Dec 2017, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20170623T070000Z_20171231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524122                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040683                         / Latitude North
#LONGITUDE:  -123.425809                         / Longitude East
#DEPTH:       298.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2017-06-23T06:06:04.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 372"               / Device Name of Device 1
#DEVCODE1:  WLNTUS372                            / Device Code of Device 1
#DEVID1:    23024                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2017-06-23T07:00:00.000Z             / Data Start Time
#DATETO:    2017-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2016-04-13T19:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 4501                                 / Samples in File
#TOTSMPEXP: 4577                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2017-06-23T07:30:00.000Z, NaN, 6, 1755
2017-06-23T08:30:00.000Z, 2.09442686, 7, 3306
2017-06-23T09:30:00.000Z, 1.871091833, 7, 3306
2017-06-23T10:30:00.000Z, 1.703160545, 7, 3305
2017-06-23T11:30:00.000Z, 1.732486388, 7, 3306
2017-06-23T12:30:00.000Z, 1.804459425, 7, 3305
2017-06-23T13:30:00.000Z, 1.915498457, 7, 3305
2017-06-23T14:30:00.000Z, 1.713789531, 7, 3305
2017-06-23T15:30:00.000Z, 1.708911831, 7, 3305
2017-06-23T16:30:00.000Z, 1.316090744, 7, 3306
2017-06-23T17:30:00.000Z, 0.952930672, 7, 3306
2017-06-23T18:30:00.000Z, NaN, 6, 2171
2017-06-23T19:30:00.000Z, 13.105251605, 7, 3302
2017-06-23T20:30:00.000Z, 9.754779661, 7, 3304
2017-06-23T21:30:00.000Z, 8.394918801, 7, 3303
2017-06-23T22:30:00.000Z, 9.414144959, 7, 3303
2017-06-23T23:30:00.000Z, 5.232728571, 7, 3304
2017-06-24T00:30:00.000Z, 3.654250454, 7, 3306
2017-06-24T01:30:00.000Z, 3.872012341, 7, 3306
2017-06-24T02:30:00.000Z, 4.129975318, 7, 3306
2017-06-24T03:30:00.000Z, 3.908245372, 7, 3306
2017-06-24T04:30:00.000Z, 2.915411978, 7, 3306
2017-06-24T05:30:00.000Z, 2.394386687, 7, 3305
2017-06-24T06:30:00.000Z, 1.87842233, 7, 3296
2017-06-24T07:30:00.000Z, 1.976667877, 7, 3306
2017-06-24T08:30:00.000Z, 1.852558258, 7, 3306
2017-06-24T09:30:00.000Z, 1.829163702, 7, 3306
2017-06-24T10:30:00.000Z, 1.880498396, 7, 3305
2017-06-24T11:30:00.000Z, 1.853983661, 7, 3305
2017-06-24T12:30:00.000Z, 1.927179667, 7, 3305
2017-06-24T13:30:00.000Z, 2.632638064, 7, 3305
2017-06-24T14:30:00.000Z, 3.186730893, 7, 3305
2017-06-24T15:30:00.000Z, 2.399375492, 7, 3305
2017-06-24T16:30:00.000Z, 2.124775552, 7, 3305
2017-06-24T17:30:00.000Z, 1.550150197, 7, 3305
2017-06-24T18:30:00.000Z, 1.258575728, 7, 3296
2017-06-24T19:30:00.000Z, 0.916612704, 7, 3306
2017-06-24T20:30:00.000Z, 1.464026134, 7, 3306
2017-06-24T21:30:00.000Z, 4.033019546, 7, 3305
2017-06-24T22:30:00.000Z, 6.980547139, 7, 3303
2017-06-24T23:30:00.000Z, 7.798264649, 7, 3304
2017-06-25T00:30:00.000Z, 5.540672232, 7, 3306
2017-06-25T01:30:00.000Z, 4.217293797, 7, 3305
2017-06-25T02:30:00.000Z, 3.753329946, 7, 3306
2017-06-25T03:30:00.000Z, 3.639092559, 7, 3306
2017-06-25T04:30:00.000Z, 3.100303448, 7, 3306
2017-06-25T05:30:00.000Z, 2.588702722, 7, 3306
2017-06-25T06:30:00.000Z, 2.362509014, 7, 3295
2017-06-25T07:30:00.000Z, 1.864201089, 7, 3306
2017-06-25T08:30:00.000Z, 1.820450091, 7, 3306
2017-06-25T09:30:00.000Z, 1.839467151, 7, 3306
2017-06-25T10:30:00.000Z, 1.745469531, 7, 3305
2017-06-25T11:30:00.000Z, 1.744090018, 7, 3306
2017-06-25T12:30:00.000Z, 1.993702874, 7, 3305
2017-06-25T13:30:00.000Z, 1.783001029, 7, 3305
2017-06-25T14:30:00.000Z, 1.712308139, 7, 3305
2017-06-25T15:30:00.000Z, 1.767500877, 7, 3305
2017-06-25T16:30:00.000Z, 1.941714735, 7, 3305
2017-06-25T17:30:00.000Z, 1.900405688, 7, 3305
2017-06-25T18:30:00.000Z, 1.464300819, 7, 3295
2017-06-25T19:30:00.000Z, 1.276867514, 7, 3306
2017-06-25T20:30:00.000Z, 1.089706715, 7, 3306
2017-06-25T21:30:00.000Z, 1.807197821, 7, 3305
2017-06-25T22:30:00.000Z, 7.16805109, 7, 3304
2017-06-25T23:30:00.000Z, 10.205787466, 7, 3303
2017-06-26T00:30:00.000Z, 8.573698547, 7, 3304
2017-06-26T01:30:00.000Z, 6.640121029, 7, 3305
2017-06-26T02:30:00.000Z, 4.600140109, 7, 3306
2017-06-26T03:30:00.000Z, 4.284023964, 7, 3305
2017-06-26T04:30:00.000Z, 3.523877314, 7, 3306
2017-06-26T05:30:00.000Z, 3.038367332, 7, 3306
2017-06-26T06:30:00.000Z, 2.506937299, 7, 3295
2017-06-26T07:30:00.000Z, 2.226938657, 7, 3306
2017-06-26T08:30:00.000Z, 1.931586207, 7, 3306
2017-06-26T09:30:00.000Z, 1.947371325, 7, 3306
2017-06-26T10:30:00.000Z, 1.907873646, 7, 3305
2017-06-26T11:30:00.000Z, 1.617140472, 7, 3306
2017-06-26T12:30:00.000Z, 1.511376944, 7, 3305
2017-06-26T13:30:00.000Z, 1.762577858, 7, 3306
2017-06-26T14:30:00.000Z, 1.886112436, 7, 3305
2017-06-26T15:30:00.000Z, 1.753436369, 7, 3305
2017-06-26T16:30:00.000Z, 1.806661906, 7, 3305
2017-06-26T17:30:00.000Z, 1.883646354, 7, 3305
2017-06-26T18:30:00.000Z, 2.420185493, 7, 3295
2017-06-26T19:30:00.000Z, 1.920805325, 7, 3305
2017-06-26T20:30:00.000Z, 1.401556443, 7, 3306
2017-06-26T21:30:00.000Z, 1.711674191, 7, 3305
2017-06-26T22:30:00.000Z, 4.089133797, 7, 3305
2017-06-26T23:30:00.000Z, 8.895119346, 7, 3303
2017-06-27T00:30:00.000Z, 10.206392252, 7, 3304
2017-06-27T01:30:00.000Z, 10.799125886, 7, 3303
2017-06-27T02:30:00.000Z, 6.904911104, 7, 3305
2017-06-27T03:30:00.000Z, 5.010529017, 7, 3305
2017-06-27T04:30:00.000Z, 4.522299093, 7, 3306
2017-06-27T05:30:00.000Z, 4.448445735, 7, 3306
2017-06-27T06:30:00.000Z, 3.978741851, 7, 3295
2017-06-27T07:30:00.000Z, 3.12230853, 7, 3306
2017-06-27T08:30:00.000Z, 2.533415608, 7, 3306
2017-06-27T09:30:00.000Z, 2.275713975, 7, 3306
2017-06-27T10:30:00.000Z, 1.858074917, 7, 3305
2017-06-27T11:30:00.000Z, 1.739844599, 7, 3305
2017-06-27T12:30:00.000Z, 1.821935492, 7, 3305
2017-06-27T13:30:00.000Z, 2.23326354, 7, 3305
2017-06-27T14:30:00.000Z, 2.05521767, 7, 3305
2017-06-27T15:30:00.000Z, 1.890175371, 7, 3305
2017-06-27T16:30:00.000Z, 1.597949183, 7, 3306
2017-06-27T17:30:00.000Z, 1.613603873, 7, 3305
2017-06-27T18:30:00.000Z, 1.91561736, 7, 3295
2017-06-27T19:30:00.000Z, 1.822412587, 7, 3305
2017-06-27T20:30:00.000Z, 1.646808835, 7, 3305
2017-06-27T21:30:00.000Z, 1.444427586, 7, 3306
2017-06-27T22:30:00.000Z, 1.684407867, 7, 3305
2017-06-27T23:30:00.000Z, 2.555535976, 7, 3305
2017-06-28T00:30:00.000Z, 6.385731397, 7, 3306
2017-06-28T01:30:00.000Z, 7.415147942, 7, 3304
2017-06-28T02:30:00.000Z, 5.629861906, 7, 3305
2017-06-28T03:30:00.000Z, 3.946749909, 7, 3306
2017-06-28T04:30:00.000Z, 3.649925227, 7, 3306
2017-06-28T05:30:00.000Z, 3.235237761, 7, 3305
2017-06-28T06:30:00.000Z, 2.767176699, 7, 3296
2017-06-28T07:30:00.000Z, 2.818939383, 7, 3306
2017-06-28T08:30:00.000Z, 2.507812704, 7, 3306
2017-06-28T09:30:00.000Z, 1.981315426, 7, 3306
2017-06-28T10:30:00.000Z, 1.839062995, 7, 3305
2017-06-28T11:30:00.000Z, 1.594896944, 7, 3305
2017-06-28T12:30:00.000Z, 1.504937205, 7, 3306
2017-06-28T13:30:00.000Z, 1.572999637, 7, 3306
2017-06-28T14:30:00.000Z, 1.612213979, 7, 3305
2017-06-28T15:30:00.000Z, 1.607329743, 7, 3305
2017-06-28T16:30:00.000Z, 1.62606098, 7, 3306
2017-06-28T17:30:00.000Z, 1.614333676, 7, 3305
2017-06-28T18:30:00.000Z, 1.718724127, 7, 3295
2017-06-28T19:30:00.000Z, 1.751129319, 7, 3305
2017-06-28T20:30:00.000Z, 1.688505658, 7, 3305
2017-06-28T21:30:00.000Z, 1.508615608, 7, 3306
