## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:36:17.519Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Oxygen data from 1 Jan - 31 Dec 2018, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_OxygenSensor_OxygenConcentrationCorrected_20180101T000000Z_20181231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524169                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.039467                         / Latitude North
#LONGITUDE:  -123.425033                         / Longitude East
#DEPTH:       305.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2018-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SBE 63 Dissolved Oxygen Sensor 630834"  / Device Name of Device 1
#DEVCODE1:  SBE63630834                          / Device Code of Device 1
#DEVID1:    23356                                / Device ID of Device 1
#
#DEPLDATE2: 2018-05-18T21:22:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SBE 63 Dissolved Oxygen Sensor 631533"  / Device Name of Device 2
#DEVCODE2:  SBE63631533                          / Device Code of Device 2
#DEVID2:    24121                                / Device ID of Device 2
#
#DEPLDATE3: 2018-09-30T16:40:16.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SBE 63 Dissolved Oxygen Sensor 630111"  / Device Name of Device 3
#DEVCODE3:  SBE63630111                          / Device Code of Device 3
#DEVID3:    23049                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2018-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2018-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 3                                    / Number of Sample Periods
#PERIODST1: 2017-12-02T00:33:40.000Z             / Sample Period 1 Start Time
#PERIOD1:   600                                  / Sensor Sample Period 1 (s)
#PERIODST2: 2018-04-30T22:17:27.000Z             / Sample Period 2 Start Time
#PERIOD2:   600                                  / Sensor Sample Period 2 (s)
#PERIODST3: 2018-08-22T21:15:22.000Z             / Sample Period 3 Start Time
#PERIOD3:   1                                    / Sensor Sample Period 3 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8723                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag" , "Oxygen Concentration Corrected Count"  
## END HEADER
2018-01-01T00:30:00.000Z, 2.307399395, 7, 6
2018-01-01T01:30:00.000Z, 2.249916057, 7, 6
2018-01-01T02:30:00.000Z, 2.227913485, 7, 6
2018-01-01T03:30:00.000Z, 2.227786659, 7, 6
2018-01-01T04:30:00.000Z, 2.22956766, 7, 6
2018-01-01T05:30:00.000Z, 2.219736697, 7, 6
2018-01-01T06:30:00.000Z, 2.218158577, 7, 6
2018-01-01T07:30:00.000Z, 2.2203915, 7, 6
2018-01-01T08:30:00.000Z, 2.200959033, 7, 6
2018-01-01T09:30:00.000Z, 2.206100343, 7, 6
2018-01-01T10:30:00.000Z, 2.200252717, 7, 6
2018-01-01T11:30:00.000Z, 2.199423386, 7, 6
2018-01-01T12:30:00.000Z, 2.207292861, 7, 6
2018-01-01T13:30:00.000Z, 2.243119568, 7, 6
2018-01-01T14:30:00.000Z, 2.261805011, 7, 6
2018-01-01T15:30:00.000Z, 2.324183827, 7, 6
2018-01-01T16:30:00.000Z, 2.381056239, 7, 6
2018-01-01T17:30:00.000Z, 2.430951895, 7, 6
2018-01-01T18:30:00.000Z, 2.350825059, 7, 6
2018-01-01T19:30:00.000Z, 2.274420067, 7, 6
2018-01-01T20:30:00.000Z, 2.241459129, 7, 6
2018-01-01T21:30:00.000Z, 2.187417116, 7, 6
2018-01-01T22:30:00.000Z, 2.174965347, 7, 6
2018-01-01T23:30:00.000Z, 2.181059094, 7, 6
2018-01-02T00:30:00.000Z, 2.218830077, 7, 6
2018-01-02T01:30:00.000Z, 2.214271269, 7, 6
2018-01-02T02:30:00.000Z, 2.211421257, 7, 6
2018-01-02T03:30:00.000Z, 2.192759339, 7, 6
2018-01-02T04:30:00.000Z, 2.1938103, 7, 6
2018-01-02T05:30:00.000Z, 2.175745451, 7, 6
2018-01-02T06:30:00.000Z, 2.145723366, 7, 6
2018-01-02T07:30:00.000Z, 2.225237734, 7, 6
2018-01-02T08:30:00.000Z, 2.236915119, 7, 6
2018-01-02T09:30:00.000Z, 2.195055236, 7, 6
2018-01-02T10:30:00.000Z, 2.199891646, 7, 6
2018-01-02T11:30:00.000Z, 2.20270907, 7, 6
2018-01-02T12:30:00.000Z, 2.187111854, 7, 6
2018-01-02T13:30:00.000Z, 2.192135795, 7, 6
2018-01-02T14:30:00.000Z, 2.228009571, 7, 6
2018-01-02T15:30:00.000Z, 2.246116002, 7, 6
2018-01-02T16:30:00.000Z, 2.295604747, 7, 6
2018-01-02T17:30:00.000Z, 2.329819337, 7, 6
2018-01-02T18:30:00.000Z, 2.316360261, 7, 6
2018-01-02T19:30:00.000Z, 2.252743041, 7, 6
2018-01-02T20:30:00.000Z, 2.239735986, 7, 6
2018-01-02T21:30:00.000Z, 2.168291376, 7, 6
2018-01-02T22:30:00.000Z, 2.163140193, 7, 6
2018-01-02T23:30:00.000Z, 2.160198554, 7, 6
2018-01-03T00:30:00.000Z, 2.143281142, 7, 6
2018-01-03T01:30:00.000Z, 2.199814932, 7, 6
2018-01-03T02:30:00.000Z, 2.227150005, 7, 6
2018-01-03T03:30:00.000Z, 2.223755292, 7, 6
2018-01-03T04:30:00.000Z, 2.199955291, 7, 6
2018-01-03T05:30:00.000Z, 2.184000019, 7, 6
2018-01-03T06:30:00.000Z, 2.139211922, 7, 6
2018-01-03T07:30:00.000Z, 2.108472273, 7, 6
2018-01-03T08:30:00.000Z, 2.159895188, 7, 6
2018-01-03T09:30:00.000Z, 2.182564844, 7, 6
2018-01-03T10:30:00.000Z, 2.183492951, 7, 6
2018-01-03T11:30:00.000Z, 2.203642725, 7, 6
2018-01-03T12:30:00.000Z, 2.212070598, 7, 6
2018-01-03T13:30:00.000Z, 2.20257112, 7, 6
2018-01-03T14:30:00.000Z, 2.205182685, 7, 6
2018-01-03T15:30:00.000Z, 2.242879555, 7, 6
2018-01-03T16:30:00.000Z, 2.271293515, 7, 6
2018-01-03T17:30:00.000Z, 2.288929792, 7, 6
2018-01-03T18:30:00.000Z, 2.287753068, 7, 6
2018-01-03T19:30:00.000Z, 2.249510864, 7, 6
2018-01-03T20:30:00.000Z, 2.177170599, 7, 6
2018-01-03T21:30:00.000Z, 2.207478566, 7, 6
2018-01-03T22:30:00.000Z, 2.248908637, 7, 6
