## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:36:42.613Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Pressure data from 1 Jan - 31 Dec 2018, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Pressure_20180101T000000Z_20181231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524162                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.039467                         / Latitude North
#LONGITUDE:  -123.425033                         / Longitude East
#DEPTH:       305.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2018-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 7286"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p7286                        / Device Code of Device 1
#DEVID1:    23833                                / Device ID of Device 1
#
#DEPLDATE2: 2018-05-18T21:22:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE19plus V2 7792"   / Device Name of Device 2
#DEVCODE2:  SBECTD19p7792                        / Device Code of Device 2
#DEVID2:    24122                                / Device ID of Device 2
#
#DEPLDATE3: 2018-09-30T16:40:16.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE19plus V2 6937"   / Device Name of Device 3
#DEVCODE3:  SBECTD19p6937                        / Device Code of Device 3
#DEVID3:    23088                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2018-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2018-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 3                                    / Number of Sample Periods
#PERIODST1: 2017-12-02T00:33:44.000Z             / Sample Period 1 Start Time
#PERIOD1:   600                                  / Sensor Sample Period 1 (s)
#PERIODST2: 2018-04-30T22:01:47.000Z             / Sample Period 2 Start Time
#PERIOD2:   600                                  / Sensor Sample Period 2 (s)
#PERIODST3: 2018-08-22T20:23:38.000Z             / Sample Period 3 Start Time
#PERIOD3:   1                                    / Sensor Sample Period 3 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8723                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Pressure (decibar)", "Pressure QC Flag" , "Pressure Count"  
## END HEADER
2018-01-01T00:30:00.000Z, 301.4285, 7, 6
2018-01-01T01:30:00.000Z, 300.788833333, 7, 6
2018-01-01T02:30:00.000Z, 300.026166667, 7, 6
2018-01-01T03:30:00.000Z, 299.185333333, 7, 6
2018-01-01T04:30:00.000Z, 298.4305, 7, 6
2018-01-01T05:30:00.000Z, 297.934833333, 7, 6
2018-01-01T06:30:00.000Z, 297.856833333, 7, 6
2018-01-01T07:30:00.000Z, 298.2035, 7, 6
2018-01-01T08:30:00.000Z, 298.813333333, 7, 6
2018-01-01T09:30:00.000Z, 299.616, 7, 6
2018-01-01T10:30:00.000Z, 300.490666667, 7, 6
2018-01-01T11:30:00.000Z, 301.2615, 7, 6
2018-01-01T12:30:00.000Z, 301.781166667, 7, 6
2018-01-01T13:30:00.000Z, 301.988666667, 7, 6
2018-01-01T14:30:00.000Z, 301.9045, 7, 6
2018-01-01T15:30:00.000Z, 301.6575, 7, 6
2018-01-01T16:30:00.000Z, 301.332666667, 7, 6
2018-01-01T17:30:00.000Z, 301.037, 7, 6
2018-01-01T18:30:00.000Z, 300.881833333, 7, 6
2018-01-01T19:30:00.000Z, 300.942166667, 7, 6
2018-01-01T20:30:00.000Z, 301.200666667, 7, 6
2018-01-01T21:30:00.000Z, 301.5135, 7, 6
2018-01-01T22:30:00.000Z, 301.817833333, 7, 6
2018-01-01T23:30:00.000Z, 301.965166667, 7, 6
2018-01-02T00:30:00.000Z, 301.816666667, 7, 6
2018-01-02T01:30:00.000Z, 301.338, 7, 6
2018-01-02T02:30:00.000Z, 300.636333333, 7, 6
2018-01-02T03:30:00.000Z, 299.800333333, 7, 6
2018-01-02T04:30:00.000Z, 298.910166667, 7, 6
2018-01-02T05:30:00.000Z, 298.1405, 7, 6
2018-01-02T06:30:00.000Z, 297.686166667, 7, 6
2018-01-02T07:30:00.000Z, 297.712166667, 7, 6
2018-01-02T08:30:00.000Z, 298.164833333, 7, 6
2018-01-02T09:30:00.000Z, 298.849833333, 7, 6
2018-01-02T10:30:00.000Z, 299.752833333, 7, 6
2018-01-02T11:30:00.000Z, 300.688833333, 7, 6
2018-01-02T12:30:00.000Z, 301.476833333, 7, 6
2018-01-02T13:30:00.000Z, 301.963333333, 7, 6
2018-01-02T14:30:00.000Z, 302.1185, 7, 6
2018-01-02T15:30:00.000Z, 301.987166667, 7, 6
2018-01-02T16:30:00.000Z, 301.710333333, 7, 6
2018-01-02T17:30:00.000Z, 301.348666667, 7, 6
2018-01-02T18:30:00.000Z, 301.037333333, 7, 6
2018-01-02T19:30:00.000Z, 300.889166667, 7, 6
2018-01-02T20:30:00.000Z, 300.9735, 7, 6
2018-01-02T21:30:00.000Z, 301.249333333, 7, 6
2018-01-02T22:30:00.000Z, 301.562666667, 7, 6
2018-01-02T23:30:00.000Z, 301.856833333, 7, 6
2018-01-03T00:30:00.000Z, 301.960166667, 7, 6
2018-01-03T01:30:00.000Z, 301.759333333, 7, 6
2018-01-03T02:30:00.000Z, 301.225166667, 7, 6
2018-01-03T03:30:00.000Z, 300.486666667, 7, 6
2018-01-03T04:30:00.000Z, 299.628333333, 7, 6
2018-01-03T05:30:00.000Z, 298.7385, 7, 6
2018-01-03T06:30:00.000Z, 297.998, 7, 6
2018-01-03T07:30:00.000Z, 297.6285, 7, 6
2018-01-03T08:30:00.000Z, 297.770833333, 7, 6
2018-01-03T09:30:00.000Z, 298.296166667, 7, 6
2018-01-03T10:30:00.000Z, 299.0565, 7, 6
2018-01-03T11:30:00.000Z, 300.018833333, 7, 6
2018-01-03T12:30:00.000Z, 300.969, 7, 6
2018-01-03T13:30:00.000Z, 301.722, 7, 6
2018-01-03T14:30:00.000Z, 302.139166667, 7, 6
2018-01-03T15:30:00.000Z, 302.209, 7, 6
2018-01-03T16:30:00.000Z, 302.017833333, 7, 6
2018-01-03T17:30:00.000Z, 301.679, 7, 6
2018-01-03T18:30:00.000Z, 301.259666667, 7, 6
2018-01-03T19:30:00.000Z, 300.922166667, 7, 6
2018-01-03T20:30:00.000Z, 300.770666667, 7, 6
