## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:36:20.049Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Salinity data from 1 Jan - 31 Dec 2018, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_PracticalSalinity_20180101T000000Z_20181231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524161                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.039467                         / Latitude North
#LONGITUDE:  -123.425033                         / Longitude East
#DEPTH:       305.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2018-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 7286"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p7286                        / Device Code of Device 1
#DEVID1:    23833                                / Device ID of Device 1
#
#DEPLDATE2: 2018-05-18T21:22:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE19plus V2 7792"   / Device Name of Device 2
#DEVCODE2:  SBECTD19p7792                        / Device Code of Device 2
#DEVID2:    24122                                / Device ID of Device 2
#
#DEPLDATE3: 2018-09-30T16:40:16.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE19plus V2 6937"   / Device Name of Device 3
#DEVCODE3:  SBECTD19p6937                        / Device Code of Device 3
#DEVID3:    23088                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2018-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2018-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 3                                    / Number of Sample Periods
#PERIODST1: 2017-12-02T00:33:44.000Z             / Sample Period 1 Start Time
#PERIOD1:   600                                  / Sensor Sample Period 1 (s)
#PERIODST2: 2018-04-30T22:01:47.000Z             / Sample Period 2 Start Time
#PERIOD2:   600                                  / Sensor Sample Period 2 (s)
#PERIODST3: 2018-08-22T20:23:38.000Z             / Sample Period 3 Start Time
#PERIOD3:   1                                    / Sensor Sample Period 3 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8705                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Practical Salinity (psu)", "Practical Salinity QC Flag" , "Practical Salinity Count"  
## END HEADER
2018-01-01T00:30:00.000Z, 31.12705, 7, 6
2018-01-01T01:30:00.000Z, 31.148216667, 7, 6
2018-01-01T02:30:00.000Z, 31.1882, 7, 6
2018-01-01T03:30:00.000Z, 31.201666667, 7, 6
2018-01-01T04:30:00.000Z, 31.2003, 7, 6
2018-01-01T05:30:00.000Z, 31.192316667, 7, 6
2018-01-01T06:30:00.000Z, 31.191933333, 7, 6
2018-01-01T07:30:00.000Z, 31.191216667, 7, 6
2018-01-01T08:30:00.000Z, 31.190533333, 7, 6
2018-01-01T09:30:00.000Z, 31.186116667, 7, 6
2018-01-01T10:30:00.000Z, 31.181033333, 7, 6
2018-01-01T11:30:00.000Z, 31.173516667, 7, 6
2018-01-01T12:30:00.000Z, 31.161183333, 7, 6
2018-01-01T13:30:00.000Z, 31.143116667, 7, 6
2018-01-01T14:30:00.000Z, 31.13875, 7, 6
2018-01-01T15:30:00.000Z, 31.125283333, 7, 6
2018-01-01T16:30:00.000Z, 31.109583333, 7, 6
2018-01-01T17:30:00.000Z, 31.0893, 7, 6
2018-01-01T18:30:00.000Z, 31.108516667, 7, 6
2018-01-01T19:30:00.000Z, 31.125966667, 7, 6
2018-01-01T20:30:00.000Z, 31.141483333, 7, 6
2018-01-01T21:30:00.000Z, 31.1599, 7, 6
2018-01-01T22:30:00.000Z, 31.163066667, 7, 6
2018-01-01T23:30:00.000Z, 31.168433333, 7, 6
2018-01-02T00:30:00.000Z, 31.17505, 7, 6
2018-01-02T01:30:00.000Z, 31.189166667, 7, 6
2018-01-02T02:30:00.000Z, 31.205566667, 7, 6
2018-01-02T03:30:00.000Z, 31.221966667, 7, 6
2018-01-02T04:30:00.000Z, 31.224116667, 7, 6
2018-01-02T05:30:00.000Z, 31.2179, 7, 6
2018-01-02T06:30:00.000Z, 31.2156, 7, 6
2018-01-02T07:30:00.000Z, 31.210433333, 7, 6
2018-01-02T08:30:00.000Z, 31.206533333, 7, 6
2018-01-02T09:30:00.000Z, 31.212583333, 7, 6
2018-01-02T10:30:00.000Z, 31.207233333, 7, 6
2018-01-02T11:30:00.000Z, 31.196483333, 7, 6
2018-01-02T12:30:00.000Z, 31.1799, 7, 6
2018-01-02T13:30:00.000Z, 31.172783333, 7, 6
2018-01-02T14:30:00.000Z, 31.152983333, 7, 6
2018-01-02T15:30:00.000Z, 31.147516667, 7, 6
2018-01-02T16:30:00.000Z, 31.138766667, 7, 6
2018-01-02T17:30:00.000Z, 31.135166667, 7, 6
2018-01-02T18:30:00.000Z, 31.140066667, 7, 6
2018-01-02T19:30:00.000Z, 31.1367, 7, 6
2018-01-02T20:30:00.000Z, 31.160283333, 7, 6
2018-01-02T21:30:00.000Z, 31.1872, 7, 6
2018-01-02T22:30:00.000Z, 31.188633333, 7, 6
2018-01-02T23:30:00.000Z, 31.190116667, 7, 6
2018-01-03T00:30:00.000Z, 31.194433333, 7, 6
2018-01-03T01:30:00.000Z, 31.198033333, 7, 6
2018-01-03T02:30:00.000Z, 31.20095, 7, 6
2018-01-03T03:30:00.000Z, 31.207116667, 7, 6
2018-01-03T04:30:00.000Z, 31.219533333, 7, 6
2018-01-03T05:30:00.000Z, 31.225816667, 7, 6
2018-01-03T06:30:00.000Z, 31.22775, 7, 6
2018-01-03T07:30:00.000Z, 31.229416667, 7, 6
2018-01-03T08:30:00.000Z, 31.230183333, 7, 6
2018-01-03T09:30:00.000Z, 31.225116667, 7, 6
2018-01-03T10:30:00.000Z, 31.212833333, 7, 6
2018-01-03T11:30:00.000Z, 31.201433333, 7, 6
2018-01-03T12:30:00.000Z, 31.18045, 7, 6
2018-01-03T13:30:00.000Z, 31.1685, 7, 6
2018-01-03T14:30:00.000Z, 31.16605, 7, 6
2018-01-03T15:30:00.000Z, 31.163283333, 7, 6
2018-01-03T16:30:00.000Z, 31.16185, 7, 6
2018-01-03T17:30:00.000Z, 31.156633333, 7, 6
2018-01-03T18:30:00.000Z, 31.1567, 7, 6
2018-01-03T19:30:00.000Z, 31.163266667, 7, 6
2018-01-03T20:30:00.000Z, 31.164966667, 7, 6
