## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:36:17.969Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 1 Jan - 31 Dec 2018, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Temperature_20180101T000000Z_20181231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524163                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.039467                         / Latitude North
#LONGITUDE:  -123.425033                         / Longitude East
#DEPTH:       305.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2018-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 7286"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p7286                        / Device Code of Device 1
#DEVID1:    23833                                / Device ID of Device 1
#
#DEPLDATE2: 2018-05-18T21:22:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SeaCAT SBE19plus V2 7792"   / Device Name of Device 2
#DEVCODE2:  SBECTD19p7792                        / Device Code of Device 2
#DEVID2:    24122                                / Device ID of Device 2
#
#DEPLDATE3: 2018-09-30T16:40:16.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SeaCAT SBE19plus V2 6937"   / Device Name of Device 3
#DEVCODE3:  SBECTD19p6937                        / Device Code of Device 3
#DEVID3:    23088                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2018-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2018-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 3                                    / Number of Sample Periods
#PERIODST1: 2017-12-02T00:33:44.000Z             / Sample Period 1 Start Time
#PERIOD1:   600                                  / Sensor Sample Period 1 (s)
#PERIODST2: 2018-04-30T22:01:47.000Z             / Sample Period 2 Start Time
#PERIOD2:   600                                  / Sensor Sample Period 2 (s)
#PERIODST3: 2018-08-22T20:23:38.000Z             / Sample Period 3 Start Time
#PERIOD3:   1                                    / Sensor Sample Period 3 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8723                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  
## END HEADER
2018-01-01T00:30:00.000Z, 9.705816667, 7, 6
2018-01-01T01:30:00.000Z, 9.70945, 7, 6
2018-01-01T02:30:00.000Z, 9.7151, 7, 6
2018-01-01T03:30:00.000Z, 9.7181, 7, 6
2018-01-01T04:30:00.000Z, 9.7177, 7, 6
2018-01-01T05:30:00.000Z, 9.716783333, 7, 6
2018-01-01T06:30:00.000Z, 9.71685, 7, 6
2018-01-01T07:30:00.000Z, 9.7171, 7, 6
2018-01-01T08:30:00.000Z, 9.71725, 7, 6
2018-01-01T09:30:00.000Z, 9.717183333, 7, 6
2018-01-01T10:30:00.000Z, 9.716766667, 7, 6
2018-01-01T11:30:00.000Z, 9.7157, 7, 6
2018-01-01T12:30:00.000Z, 9.712066667, 7, 6
2018-01-01T13:30:00.000Z, 9.703, 7, 6
2018-01-01T14:30:00.000Z, 9.6988, 7, 6
2018-01-01T15:30:00.000Z, 9.6798, 7, 6
2018-01-01T16:30:00.000Z, 9.657916667, 7, 6
2018-01-01T17:30:00.000Z, 9.62135, 7, 6
2018-01-01T18:30:00.000Z, 9.663783333, 7, 6
2018-01-01T19:30:00.000Z, 9.684633333, 7, 6
2018-01-01T20:30:00.000Z, 9.698016667, 7, 6
2018-01-01T21:30:00.000Z, 9.709533333, 7, 6
2018-01-01T22:30:00.000Z, 9.712883333, 7, 6
2018-01-01T23:30:00.000Z, 9.714216667, 7, 6
2018-01-02T00:30:00.000Z, 9.714666667, 7, 6
2018-01-02T01:30:00.000Z, 9.716616667, 7, 6
2018-01-02T02:30:00.000Z, 9.717533333, 7, 6
2018-01-02T03:30:00.000Z, 9.718233333, 7, 6
2018-01-02T04:30:00.000Z, 9.717866667, 7, 6
2018-01-02T05:30:00.000Z, 9.7162, 7, 6
2018-01-02T06:30:00.000Z, 9.7161, 7, 6
2018-01-02T07:30:00.000Z, 9.713866667, 7, 6
2018-01-02T08:30:00.000Z, 9.711816667, 7, 6
2018-01-02T09:30:00.000Z, 9.7157, 7, 6
2018-01-02T10:30:00.000Z, 9.717616667, 7, 6
2018-01-02T11:30:00.000Z, 9.71685, 7, 6
2018-01-02T12:30:00.000Z, 9.7152, 7, 6
2018-01-02T13:30:00.000Z, 9.71225, 7, 6
2018-01-02T14:30:00.000Z, 9.699916667, 7, 6
2018-01-02T15:30:00.000Z, 9.689066667, 7, 6
2018-01-02T16:30:00.000Z, 9.67325, 7, 6
2018-01-02T17:30:00.000Z, 9.66505, 7, 6
2018-01-02T18:30:00.000Z, 9.665383333, 7, 6
2018-01-02T19:30:00.000Z, 9.665266667, 7, 6
2018-01-02T20:30:00.000Z, 9.70215, 7, 6
2018-01-02T21:30:00.000Z, 9.7156, 7, 6
2018-01-02T22:30:00.000Z, 9.715866667, 7, 6
2018-01-02T23:30:00.000Z, 9.7161, 7, 6
2018-01-03T00:30:00.000Z, 9.716766667, 7, 6
2018-01-03T01:30:00.000Z, 9.717483333, 7, 6
2018-01-03T02:30:00.000Z, 9.716783333, 7, 6
2018-01-03T03:30:00.000Z, 9.715816667, 7, 6
2018-01-03T04:30:00.000Z, 9.716166667, 7, 6
2018-01-03T05:30:00.000Z, 9.71725, 7, 6
2018-01-03T06:30:00.000Z, 9.717916667, 7, 6
2018-01-03T07:30:00.000Z, 9.717966667, 7, 6
2018-01-03T08:30:00.000Z, 9.717983333, 7, 6
2018-01-03T09:30:00.000Z, 9.71735, 7, 6
2018-01-03T10:30:00.000Z, 9.714283333, 7, 6
2018-01-03T11:30:00.000Z, 9.714333333, 7, 6
2018-01-03T12:30:00.000Z, 9.714116667, 7, 6
2018-01-03T13:30:00.000Z, 9.710766667, 7, 6
2018-01-03T14:30:00.000Z, 9.709766667, 7, 6
2018-01-03T15:30:00.000Z, 9.708783333, 7, 6
2018-01-03T16:30:00.000Z, 9.6972, 7, 6
2018-01-03T17:30:00.000Z, 9.690033333, 7, 6
2018-01-03T18:30:00.000Z, 9.693466667, 7, 6
2018-01-03T19:30:00.000Z, 9.701333333, 7, 6
