## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:36:19.437Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 1 Jan - 31 Dec 2018, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20180101T000000Z_20181231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524172                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040683                         / Latitude North
#LONGITUDE:  -123.425809                         / Longitude East
#DEPTH:       298.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2018-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 372"               / Device Name of Device 1
#DEVCODE1:  WLNTUS372                            / Device Code of Device 1
#DEVID1:    23024                                / Device ID of Device 1
#
#DEPLDATE2: 2018-09-30T16:40:16.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 371"               / Device Name of Device 2
#DEVCODE2:  WLNTUS371                            / Device Code of Device 2
#DEVID2:    23023                                / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2018-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2018-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2015-08-19T01:12:46.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2016-04-13T19:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8266                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2018-01-01T00:30:00.000Z, NaN, 6, 2135
2018-01-01T01:30:00.000Z, 2.544371619, 7, 2551
2018-01-01T02:30:00.000Z, 3.536783593, 7, 2828
2018-01-01T03:30:00.000Z, NaN, 6, 2022
2018-01-01T04:30:00.000Z, 1.435576192, 7, 2705
2018-01-01T05:30:00.000Z, 1.857785625, 7, 2560
2018-01-01T06:30:00.000Z, NaN, 6, 2386
2018-01-01T07:30:00.000Z, NaN, 6, 1543
2018-01-01T08:30:00.000Z, NaN, 6, 2483
2018-01-01T09:30:00.000Z, NaN, 6, 1663
2018-01-01T10:30:00.000Z, NaN, 6, 2315
2018-01-01T11:30:00.000Z, 4.858597763, 7, 2593
2018-01-01T12:30:00.000Z, 2.913106933, 7, 2755
2018-01-01T13:30:00.000Z, NaN, 6, 2296
2018-01-01T14:30:00.000Z, NaN, 6, 2353
2018-01-01T15:30:00.000Z, NaN, 6, 2193
2018-01-01T16:30:00.000Z, NaN, 6, 1572
2018-01-01T17:30:00.000Z, NaN, 6, 1560
2018-01-01T18:30:00.000Z, NaN, 6, 2032
2018-01-01T19:30:00.000Z, NaN, 6, 2107
2018-01-01T20:30:00.000Z, 1.547036842, 7, 2736
2018-01-01T21:30:00.000Z, NaN, 6, 1342
2018-01-01T22:30:00.000Z, NaN, 6, 1973
2018-01-01T23:30:00.000Z, NaN, 6, 2345
2018-01-02T00:30:00.000Z, 1.26805401, 7, 2681
2018-01-02T01:30:00.000Z, 2.865967947, 7, 3307
2018-01-02T02:30:00.000Z, 3.051727397, 7, 2920
2018-01-02T03:30:00.000Z, NaN, 6, 2431
2018-01-02T04:30:00.000Z, 1.71907348, 7, 3307
2018-01-02T05:30:00.000Z, 1.430505405, 7, 2664
2018-01-02T06:30:00.000Z, 2.638161761, 7, 2589
2018-01-02T07:30:00.000Z, NaN, 6, 2488
2018-01-02T08:30:00.000Z, 1.645263633, 7, 2659
2018-01-02T09:30:00.000Z, 3.476837367, 7, 2719
2018-01-02T10:30:00.000Z, 6.547781986, 7, 2598
2018-01-02T11:30:00.000Z, NaN, 6, 2309
2018-01-02T12:30:00.000Z, 4.437734292, 7, 3199
2018-01-02T13:30:00.000Z, 3.99139607, 7, 2901
2018-01-02T14:30:00.000Z, 3.710172587, 7, 2860
2018-01-02T15:30:00.000Z, 3.777967265, 7, 3287
2018-01-02T16:30:00.000Z, 3.604224257, 7, 2993
2018-01-02T17:30:00.000Z, 2.705005252, 7, 2818
2018-01-02T18:30:00.000Z, 2.086846106, 7, 2889
2018-01-02T19:30:00.000Z, NaN, 6, 1985
2018-01-02T20:30:00.000Z, 1.669014696, 7, 2817
2018-01-02T21:30:00.000Z, 1.539106551, 7, 2534
2018-01-02T22:30:00.000Z, 1.107736054, 7, 2646
2018-01-02T23:30:00.000Z, NaN, 6, 2419
2018-01-03T00:30:00.000Z, 1.463401381, 7, 2606
2018-01-03T01:30:00.000Z, 1.500349737, 7, 3040
2018-01-03T02:30:00.000Z, 2.088193348, 7, 3277
2018-01-03T03:30:00.000Z, 2.292498373, 7, 3135
2018-01-03T04:30:00.000Z, 2.000666819, 7, 2631
2018-01-03T05:30:00.000Z, 1.474634343, 7, 2673
2018-01-03T06:30:00.000Z, NaN, 6, 2317
2018-01-03T07:30:00.000Z, 1.372614493, 7, 3105
2018-01-03T08:30:00.000Z, 1.012838653, 7, 2732
2018-01-03T09:30:00.000Z, 1.93048813, 7, 2578
2018-01-03T10:30:00.000Z, NaN, 6, 2386
2018-01-03T11:30:00.000Z, 4.228547991, 7, 2638
