## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:39:58.380Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Oxygen data from 1 Jan - 31 Dec 2019, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_OxygenSensor_OxygenConcentrationCorrected_20190101T000000Z_20191231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524216                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040016                         / Latitude North
#LONGITUDE:  -123.425450                         / Longitude East
#DEPTH:       296.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2019-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SBE 63 Dissolved Oxygen Sensor 630111"  / Device Name of Device 1
#DEVCODE1:  SBE63630111                          / Device Code of Device 1
#DEVID1:    23049                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2019-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2019-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2018-08-22T21:15:22.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8657                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag" , "Oxygen Concentration Corrected Count"  
## END HEADER
2019-01-01T00:30:00.000Z, 2.489719694, 7, 3600
2019-01-01T01:30:00.000Z, 2.493113234, 7, 3600
2019-01-01T02:30:00.000Z, 2.476888431, 7, 3600
2019-01-01T03:30:00.000Z, 2.459911682, 7, 3600
2019-01-01T04:30:00.000Z, 2.46106841, 7, 3600
2019-01-01T05:30:00.000Z, 2.462151258, 7, 3600
2019-01-01T06:30:00.000Z, 2.450656639, 7, 3600
2019-01-01T07:30:00.000Z, 2.439727935, 7, 3600
2019-01-01T08:30:00.000Z, 2.447120297, 7, 3600
2019-01-01T09:30:00.000Z, 2.454614463, 7, 3600
2019-01-01T10:30:00.000Z, 2.466514293, 7, 3600
2019-01-01T11:30:00.000Z, 2.474320766, 7, 3600
2019-01-01T12:30:00.000Z, 2.471193944, 7, 3600
2019-01-01T13:30:00.000Z, 2.477239001, 7, 3600
2019-01-01T14:30:00.000Z, 2.481256376, 7, 3600
2019-01-01T15:30:00.000Z, 2.481962212, 7, 3600
2019-01-01T16:30:00.000Z, 2.482089022, 7, 3600
2019-01-01T17:30:00.000Z, 2.48304787, 7, 3600
2019-01-01T18:30:00.000Z, 2.478864928, 7, 3600
2019-01-01T19:30:00.000Z, 2.474733609, 7, 3600
2019-01-01T20:30:00.000Z, 2.477099011, 7, 3600
2019-01-01T21:30:00.000Z, 2.473473868, 7, 3600
2019-01-01T22:30:00.000Z, 2.476948948, 7, 3600
2019-01-01T23:30:00.000Z, 2.471838079, 7, 3600
2019-01-02T00:30:00.000Z, 2.481446801, 7, 3600
2019-01-02T01:30:00.000Z, 2.469570465, 7, 3600
2019-01-02T02:30:00.000Z, 2.445283708, 7, 3600
2019-01-02T03:30:00.000Z, 2.444119479, 7, 3600
2019-01-02T04:30:00.000Z, 2.449748574, 7, 3600
2019-01-02T05:30:00.000Z, 2.450199483, 7, 3600
2019-01-02T06:30:00.000Z, 2.430097174, 7, 3600
2019-01-02T07:30:00.000Z, 2.429272573, 7, 3600
2019-01-02T08:30:00.000Z, 2.431245292, 7, 3600
2019-01-02T09:30:00.000Z, 2.432027173, 7, 3600
2019-01-02T10:30:00.000Z, 2.438325594, 7, 3600
2019-01-02T11:30:00.000Z, 2.444340906, 7, 3600
2019-01-02T12:30:00.000Z, 2.464174598, 7, 3600
2019-01-02T13:30:00.000Z, 2.473040012, 7, 3600
2019-01-02T14:30:00.000Z, 2.478043075, 7, 3600
2019-01-02T15:30:00.000Z, 2.476856394, 7, 3600
2019-01-02T16:30:00.000Z, 2.467271584, 7, 3600
2019-01-02T17:30:00.000Z, 2.449684095, 7, 3600
2019-01-02T18:30:00.000Z, 2.435760325, 7, 3600
2019-01-02T19:30:00.000Z, 2.433411127, 7, 3600
2019-01-02T20:30:00.000Z, 2.436389604, 7, 3600
2019-01-02T21:30:00.000Z, 2.431028801, 7, 3600
2019-01-02T22:30:00.000Z, 2.416384269, 7, 3600
2019-01-02T23:30:00.000Z, 2.424959071, 7, 3600
2019-01-03T00:30:00.000Z, 2.432912847, 7, 3600
2019-01-03T01:30:00.000Z, 2.430066817, 7, 3600
2019-01-03T02:30:00.000Z, 2.428844907, 7, 3600
2019-01-03T03:30:00.000Z, 2.42277599, 7, 3600
2019-01-03T04:30:00.000Z, 2.423394832, 7, 3600
2019-01-03T05:30:00.000Z, 2.430086282, 7, 3600
2019-01-03T06:30:00.000Z, 2.42920547, 7, 3600
2019-01-03T07:30:00.000Z, 2.435736789, 7, 3600
