## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:40:10.222Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Pressure data from 1 Jan - 31 Dec 2019, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Pressure_20190101T000000Z_20191231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524207                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040016                         / Latitude North
#LONGITUDE:  -123.425450                         / Longitude East
#DEPTH:       296.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2019-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 6937"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p6937                        / Device Code of Device 1
#DEVID1:    23088                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2019-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2019-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2018-08-22T20:23:38.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8657                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Pressure (decibar)", "Pressure QC Flag" , "Pressure Count"  
## END HEADER
2019-01-01T00:30:00.000Z, 300.0870175, 7, 3600
2019-01-01T01:30:00.000Z, 299.45917, 7, 3600
2019-01-01T02:30:00.000Z, 298.939360833, 7, 3600
2019-01-01T03:30:00.000Z, 298.611355556, 7, 3600
2019-01-01T04:30:00.000Z, 298.581592778, 7, 3600
2019-01-01T05:30:00.000Z, 298.828766111, 7, 3600
2019-01-01T06:30:00.000Z, 299.227523889, 7, 3600
2019-01-01T07:30:00.000Z, 299.737698611, 7, 3600
2019-01-01T08:30:00.000Z, 300.257483056, 7, 3600
2019-01-01T09:30:00.000Z, 300.670155, 7, 3600
2019-01-01T10:30:00.000Z, 300.897981944, 7, 3600
2019-01-01T11:30:00.000Z, 300.929205278, 7, 3600
2019-01-01T12:30:00.000Z, 300.820294444, 7, 3600
2019-01-01T13:30:00.000Z, 300.624975833, 7, 3600
2019-01-01T14:30:00.000Z, 300.434059167, 7, 3600
2019-01-01T15:30:00.000Z, 300.3320725, 7, 3600
2019-01-01T16:30:00.000Z, 300.366076111, 7, 3600
2019-01-01T17:30:00.000Z, 300.566340278, 7, 3600
2019-01-01T18:30:00.000Z, 300.850300278, 7, 3600
2019-01-01T19:30:00.000Z, 301.156078056, 7, 3600
2019-01-01T20:30:00.000Z, 301.394312778, 7, 3600
2019-01-01T21:30:00.000Z, 301.464915556, 7, 3600
2019-01-01T22:30:00.000Z, 301.297433056, 7, 3600
2019-01-01T23:30:00.000Z, 300.908165278, 7, 3600
2019-01-02T00:30:00.000Z, 300.376283333, 7, 3600
2019-01-02T01:30:00.000Z, 299.7387525, 7, 3600
2019-01-02T02:30:00.000Z, 299.102853056, 7, 3600
2019-01-02T03:30:00.000Z, 298.596738889, 7, 3600
2019-01-02T04:30:00.000Z, 298.325571944, 7, 3600
2019-01-02T05:30:00.000Z, 298.377157222, 7, 3600
2019-01-02T06:30:00.000Z, 298.701641944, 7, 3600
2019-01-02T07:30:00.000Z, 299.204213056, 7, 3600
2019-01-02T08:30:00.000Z, 299.817129444, 7, 3600
2019-01-02T09:30:00.000Z, 300.421603056, 7, 3600
2019-01-02T10:30:00.000Z, 300.896046667, 7, 3600
2019-01-02T11:30:00.000Z, 301.172245556, 7, 3600
2019-01-02T12:30:00.000Z, 301.225501389, 7, 3600
2019-01-02T13:30:00.000Z, 301.100266111, 7, 3600
2019-01-02T14:30:00.000Z, 300.899521111, 7, 3600
2019-01-02T15:30:00.000Z, 300.686364722, 7, 3600
2019-01-02T16:30:00.000Z, 300.547285833, 7, 3600
2019-01-02T17:30:00.000Z, 300.545707222, 7, 3600
2019-01-02T18:30:00.000Z, 300.712405, 7, 3600
2019-01-02T19:30:00.000Z, 300.967066944, 7, 3600
2019-01-02T20:30:00.000Z, 301.215007778, 7, 3600
2019-01-02T21:30:00.000Z, 301.389249722, 7, 3600
2019-01-02T22:30:00.000Z, 301.400384167, 7, 3600
2019-01-02T23:30:00.000Z, 301.161437222, 7, 3600
2019-01-03T00:30:00.000Z, 300.717406667, 7, 3600
2019-01-03T01:30:00.000Z, 300.129353611, 7, 3600
2019-01-03T02:30:00.000Z, 299.474041944, 7, 3600
2019-01-03T03:30:00.000Z, 298.840665, 7, 3600
