## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:40:03.007Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Salinity data from 1 Jan - 31 Dec 2019, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_PracticalSalinity_20190101T000000Z_20191231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524206                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040016                         / Latitude North
#LONGITUDE:  -123.425450                         / Longitude East
#DEPTH:       296.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2019-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 6937"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p6937                        / Device Code of Device 1
#DEVID1:    23088                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2019-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2019-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2018-08-22T20:23:38.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8655                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Practical Salinity (psu)", "Practical Salinity QC Flag" , "Practical Salinity Count"  
## END HEADER
2019-01-01T00:30:00.000Z, 31.2568915, 7, 3600
2019-01-01T01:30:00.000Z, 31.259002944, 7, 3600
2019-01-01T02:30:00.000Z, 31.270645722, 7, 3600
2019-01-01T03:30:00.000Z, 31.281241556, 7, 3600
2019-01-01T04:30:00.000Z, 31.286567611, 7, 3600
2019-01-01T05:30:00.000Z, 31.285111417, 7, 3600
2019-01-01T06:30:00.000Z, 31.284380722, 7, 3600
2019-01-01T07:30:00.000Z, 31.290837917, 7, 3600
2019-01-01T08:30:00.000Z, 31.285318722, 7, 3600
2019-01-01T09:30:00.000Z, 31.279204667, 7, 3600
2019-01-01T10:30:00.000Z, 31.269569194, 7, 3600
2019-01-01T11:30:00.000Z, 31.263552889, 7, 3600
2019-01-01T12:30:00.000Z, 31.261342361, 7, 3600
2019-01-01T13:30:00.000Z, 31.257341528, 7, 3600
2019-01-01T14:30:00.000Z, 31.254433444, 7, 3600
2019-01-01T15:30:00.000Z, 31.252903889, 7, 3600
2019-01-01T16:30:00.000Z, 31.251376444, 7, 3600
2019-01-01T17:30:00.000Z, 31.250423694, 7, 3600
2019-01-01T18:30:00.000Z, 31.251263528, 7, 3600
2019-01-01T19:30:00.000Z, 31.251781667, 7, 3600
2019-01-01T20:30:00.000Z, 31.250903167, 7, 3600
2019-01-01T21:30:00.000Z, 31.250812583, 7, 3600
2019-01-01T22:30:00.000Z, 31.25365125, 7, 3600
2019-01-01T23:30:00.000Z, 31.25622, 7, 3600
2019-01-02T00:30:00.000Z, 31.256555861, 7, 3600
2019-01-02T01:30:00.000Z, 31.264120139, 7, 3600
2019-01-02T02:30:00.000Z, 31.275666639, 7, 3600
2019-01-02T03:30:00.000Z, 31.282959167, 7, 3600
2019-01-02T04:30:00.000Z, 31.287372833, 7, 3600
2019-01-02T05:30:00.000Z, 31.287957028, 7, 3600
2019-01-02T06:30:00.000Z, 31.292028583, 7, 3600
2019-01-02T07:30:00.000Z, 31.291531333, 7, 3600
2019-01-02T08:30:00.000Z, 31.288950667, 7, 3600
2019-01-02T09:30:00.000Z, 31.284867361, 7, 3600
2019-01-02T10:30:00.000Z, 31.277884667, 7, 3600
2019-01-02T11:30:00.000Z, 31.270575194, 7, 3600
2019-01-02T12:30:00.000Z, 31.257192306, 7, 3600
2019-01-02T13:30:00.000Z, 31.25241675, 7, 3600
2019-01-02T14:30:00.000Z, 31.252088139, 7, 3600
2019-01-02T15:30:00.000Z, 31.251866556, 7, 3600
2019-01-02T16:30:00.000Z, 31.254337667, 7, 3600
2019-01-02T17:30:00.000Z, 31.260609833, 7, 3600
2019-01-02T18:30:00.000Z, 31.268034472, 7, 3600
2019-01-02T19:30:00.000Z, 31.269669889, 7, 3600
2019-01-02T20:30:00.000Z, 31.269594083, 7, 3600
2019-01-02T21:30:00.000Z, 31.269016222, 7, 3600
2019-01-02T22:30:00.000Z, 31.269585972, 7, 3600
2019-01-02T23:30:00.000Z, 31.266435611, 7, 3600
2019-01-03T00:30:00.000Z, 31.267767444, 7, 3600
2019-01-03T01:30:00.000Z, 31.276587222, 7, 3600
2019-01-03T02:30:00.000Z, 31.285648167, 7, 3600
2019-01-03T03:30:00.000Z, 31.304723278, 7, 3600
2019-01-03T04:30:00.000Z, 31.316758472, 7, 3600
2019-01-03T05:30:00.000Z, 31.3135905, 7, 3600
2019-01-03T06:30:00.000Z, 31.311925472, 7, 3600
2019-01-03T07:30:00.000Z, 31.308930806, 7, 3600
2019-01-03T08:30:00.000Z, 31.305233583, 7, 3600
2019-01-03T09:30:00.000Z, 31.299213972, 7, 3600
2019-01-03T10:30:00.000Z, 31.295264778, 7, 3600
2019-01-03T11:30:00.000Z, 31.290128194, 7, 3600
2019-01-03T12:30:00.000Z, 31.287860194, 7, 3600
2019-01-03T13:30:00.000Z, 31.286735806, 7, 3600
2019-01-03T14:30:00.000Z, 31.285466417, 7, 3600
2019-01-03T15:30:00.000Z, 31.285354861, 7, 3600
2019-01-03T16:30:00.000Z, 31.286146333, 7, 3600
2019-01-03T17:30:00.000Z, 31.287843472, 7, 3600
2019-01-03T18:30:00.000Z, 31.289412944, 7, 3600
2019-01-03T19:30:00.000Z, 31.290386389, 7, 3600
2019-01-03T20:30:00.000Z, 31.290133944, 7, 3600
2019-01-03T21:30:00.000Z, 31.290258944, 7, 3600
2019-01-03T22:30:00.000Z, 31.290505833, 7, 3600
2019-01-03T23:30:00.000Z, 31.293050278, 7, 3600
2019-01-04T00:30:00.000Z, 31.295132722, 7, 3600
2019-01-04T01:30:00.000Z, 31.299070444, 7, 3600
2019-01-04T02:30:00.000Z, 31.305739194, 7, 3600
2019-01-04T03:30:00.000Z, 31.31538575, 7, 3600
2019-01-04T04:30:00.000Z, 31.315612306, 7, 3600
2019-01-04T05:30:00.000Z, 31.313358083, 7, 3600
2019-01-04T06:30:00.000Z, 31.312031861, 7, 3600
2019-01-04T07:30:00.000Z, 31.312633056, 7, 3600
2019-01-04T08:30:00.000Z, 31.314091778, 7, 3600
2019-01-04T09:30:00.000Z, 31.317307639, 7, 3600
2019-01-04T10:30:00.000Z, 31.313715028, 7, 3600
2019-01-04T11:30:00.000Z, 31.309254139, 7, 3600
2019-01-04T12:30:00.000Z, 31.30683225, 7, 3600
2019-01-04T13:30:00.000Z, 31.302744667, 7, 3600
2019-01-04T14:30:00.000Z, 31.30207175, 7, 3600
