## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:40:27.463Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 1 Jan - 31 Dec 2019, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_ConductivityTemperatureDepth_Temperature_20190101T000000Z_20191231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524208                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040016                         / Latitude North
#LONGITUDE:  -123.425450                         / Longitude East
#DEPTH:       296.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2019-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 6937"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p6937                        / Device Code of Device 1
#DEVID1:    23088                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2019-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2019-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2018-08-22T20:23:38.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8656                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  
## END HEADER
2019-01-01T00:30:00.000Z, 9.774838528, 7, 3600
2019-01-01T01:30:00.000Z, 9.775132556, 7, 3600
2019-01-01T02:30:00.000Z, 9.774963333, 7, 3600
2019-01-01T03:30:00.000Z, 9.773683417, 7, 3600
2019-01-01T04:30:00.000Z, 9.7731145, 7, 3600
2019-01-01T05:30:00.000Z, 9.773366361, 7, 3600
2019-01-01T06:30:00.000Z, 9.7732345, 7, 3600
2019-01-01T07:30:00.000Z, 9.772261056, 7, 3600
2019-01-01T08:30:00.000Z, 9.77326075, 7, 3600
2019-01-01T09:30:00.000Z, 9.774280556, 7, 3600
2019-01-01T10:30:00.000Z, 9.775628889, 7, 3600
2019-01-01T11:30:00.000Z, 9.776575083, 7, 3600
2019-01-01T12:30:00.000Z, 9.776319917, 7, 3600
2019-01-01T13:30:00.000Z, 9.77557425, 7, 3600
2019-01-01T14:30:00.000Z, 9.776534278, 7, 3600
2019-01-01T15:30:00.000Z, 9.777228583, 7, 3600
2019-01-01T16:30:00.000Z, 9.774101833, 7, 3600
2019-01-01T17:30:00.000Z, 9.77368475, 7, 3600
2019-01-01T18:30:00.000Z, 9.77376275, 7, 3600
2019-01-01T19:30:00.000Z, 9.774248583, 7, 3600
2019-01-01T20:30:00.000Z, 9.774748306, 7, 3600
2019-01-01T21:30:00.000Z, 9.773988028, 7, 3600
2019-01-01T22:30:00.000Z, 9.774479694, 7, 3600
2019-01-01T23:30:00.000Z, 9.774786194, 7, 3600
2019-01-02T00:30:00.000Z, 9.775198861, 7, 3600
2019-01-02T01:30:00.000Z, 9.775438, 7, 3600
2019-01-02T02:30:00.000Z, 9.774670028, 7, 3600
2019-01-02T03:30:00.000Z, 9.773956556, 7, 3600
2019-01-02T04:30:00.000Z, 9.773314083, 7, 3600
2019-01-02T05:30:00.000Z, 9.773162583, 7, 3600
2019-01-02T06:30:00.000Z, 9.772008417, 7, 3600
2019-01-02T07:30:00.000Z, 9.772135778, 7, 3600
2019-01-02T08:30:00.000Z, 9.772786583, 7, 3600
2019-01-02T09:30:00.000Z, 9.773361722, 7, 3600
2019-01-02T10:30:00.000Z, 9.774413944, 7, 3600
2019-01-02T11:30:00.000Z, 9.7756285, 7, 3600
2019-01-02T12:30:00.000Z, 9.775929556, 7, 3600
2019-01-02T13:30:00.000Z, 9.775128583, 7, 3600
2019-01-02T14:30:00.000Z, 9.774519667, 7, 3600
2019-01-02T15:30:00.000Z, 9.773749361, 7, 3600
2019-01-02T16:30:00.000Z, 9.774343472, 7, 3600
2019-01-02T17:30:00.000Z, 9.77500775, 7, 3600
2019-01-02T18:30:00.000Z, 9.775228278, 7, 3600
2019-01-02T19:30:00.000Z, 9.775382111, 7, 3600
2019-01-02T20:30:00.000Z, 9.777210694, 7, 3600
2019-01-02T21:30:00.000Z, 9.775033306, 7, 3600
2019-01-02T22:30:00.000Z, 9.774779667, 7, 3600
2019-01-02T23:30:00.000Z, 9.77489925, 7, 3600
2019-01-03T00:30:00.000Z, 9.774894861, 7, 3600
2019-01-03T01:30:00.000Z, 9.7744195, 7, 3600
2019-01-03T02:30:00.000Z, 9.773001111, 7, 3600
2019-01-03T03:30:00.000Z, 9.768078111, 7, 3600
2019-01-03T04:30:00.000Z, 9.764829694, 7, 3600
2019-01-03T05:30:00.000Z, 9.765603083, 7, 3600
2019-01-03T06:30:00.000Z, 9.766045278, 7, 3600
2019-01-03T07:30:00.000Z, 9.766866417, 7, 3600
2019-01-03T08:30:00.000Z, 9.767898139, 7, 3600
2019-01-03T09:30:00.000Z, 9.769677944, 7, 3600
2019-01-03T10:30:00.000Z, 9.771006361, 7, 3600
2019-01-03T11:30:00.000Z, 9.772325167, 7, 3600
2019-01-03T12:30:00.000Z, 9.773850944, 7, 3600
2019-01-03T13:30:00.000Z, 9.773878278, 7, 3600
2019-01-03T14:30:00.000Z, 9.773492833, 7, 3600
2019-01-03T15:30:00.000Z, 9.773111167, 7, 3600
2019-01-03T16:30:00.000Z, 9.772957389, 7, 3600
2019-01-03T17:30:00.000Z, 9.772623528, 7, 3600
2019-01-03T18:30:00.000Z, 9.772423361, 7, 3600
2019-01-03T19:30:00.000Z, 9.772443611, 7, 3600
2019-01-03T20:30:00.000Z, 9.772852694, 7, 3600
2019-01-03T21:30:00.000Z, 9.77283825, 7, 3600
2019-01-03T22:30:00.000Z, 9.772449167, 7, 3600
2019-01-03T23:30:00.000Z, 9.771554278, 7, 3600
2019-01-04T00:30:00.000Z, 9.770788167, 7, 3600
2019-01-04T01:30:00.000Z, 9.769503278, 7, 3600
2019-01-04T02:30:00.000Z, 9.767669972, 7, 3600
2019-01-04T03:30:00.000Z, 9.765130583, 7, 3600
2019-01-04T04:30:00.000Z, 9.765144333, 7, 3600
2019-01-04T05:30:00.000Z, 9.766015972, 7, 3600
2019-01-04T06:30:00.000Z, 9.766856917, 7, 3600
2019-01-04T07:30:00.000Z, 9.766480556, 7, 3600
2019-01-04T08:30:00.000Z, 9.765858722, 7, 3600
2019-01-04T09:30:00.000Z, 9.764705528, 7, 3600
2019-01-04T10:30:00.000Z, 9.765761222, 7, 3600
2019-01-04T11:30:00.000Z, 9.767046222, 7, 3600
2019-01-04T12:30:00.000Z, 9.767552722, 7, 3600
2019-01-04T13:30:00.000Z, 9.768626528, 7, 3600
2019-01-04T14:30:00.000Z, 9.769791694, 7, 3600
2019-01-04T15:30:00.000Z, 9.76895175, 7, 3600
2019-01-04T16:30:00.000Z, 9.768896944, 7, 3600
2019-01-04T17:30:00.000Z, 9.768556333, 7, 3600
2019-01-04T18:30:00.000Z, 9.767886917, 7, 3600
2019-01-04T19:30:00.000Z, 9.768328806, 7, 3600
2019-01-04T20:30:00.000Z, 9.768277889, 7, 3600
2019-01-04T21:30:00.000Z, 9.769173639, 7, 3600
2019-01-04T22:30:00.000Z, 9.768950889, 7, 3600
2019-01-04T23:30:00.000Z, 9.770524222, 7, 3600
2019-01-05T00:30:00.000Z, 9.769114778, 7, 3600
2019-01-05T01:30:00.000Z, 9.768194111, 7, 3600
2019-01-05T02:30:00.000Z, 9.767192722, 7, 3600
2019-01-05T03:30:00.000Z, 9.766280167, 7, 3600
2019-01-05T04:30:00.000Z, 9.766122472, 7, 3600
2019-01-05T05:30:00.000Z, 9.766849083, 7, 3600
2019-01-05T06:30:00.000Z, 9.76816575, 7, 3600
2019-01-05T07:30:00.000Z, 9.767306222, 7, 3600
2019-01-05T08:30:00.000Z, 9.766266, 7, 3600
2019-01-05T09:30:00.000Z, 9.7667085, 7, 3600
2019-01-05T10:30:00.000Z, 9.768161889, 7, 3600
2019-01-05T11:30:00.000Z, 9.770137861, 7, 3600
2019-01-05T12:30:00.000Z, 9.772132306, 7, 3600
2019-01-05T13:30:00.000Z, 9.773875861, 7, 3600
2019-01-05T14:30:00.000Z, 9.774995444, 7, 3600
2019-01-05T15:30:00.000Z, 9.776933139, 7, 3600
2019-01-05T16:30:00.000Z, 9.777841167, 7, 3600
2019-01-05T17:30:00.000Z, 9.776966583, 7, 3600
2019-01-05T18:30:00.000Z, 9.776418611, 7, 3600
2019-01-05T19:30:00.000Z, 9.775807889, 7, 3600
2019-01-05T20:30:00.000Z, 9.77599025, 7, 3600
2019-01-05T21:30:00.000Z, 9.775584833, 7, 3600
2019-01-05T22:30:00.000Z, 9.775722056, 7, 3600
2019-01-05T23:30:00.000Z, 9.775944444, 7, 3600
2019-01-06T00:30:00.000Z, 9.775169444, 7, 3600
2019-01-06T01:30:00.000Z, 9.775049111, 7, 3600
2019-01-06T02:30:00.000Z, 9.774588333, 7, 3600
2019-01-06T03:30:00.000Z, 9.774534111, 7, 3600
2019-01-06T04:30:00.000Z, 9.773919139, 7, 3600
2019-01-06T05:30:00.000Z, 9.773665, 7, 3600
2019-01-06T06:30:00.000Z, 9.773406222, 7, 3600
2019-01-06T07:30:00.000Z, 9.77348875, 7, 3600
2019-01-06T08:30:00.000Z, 9.772210194, 7, 3600
2019-01-06T09:30:00.000Z, 9.772795139, 7, 3600
2019-01-06T10:30:00.000Z, 9.773955278, 7, 3600
2019-01-06T11:30:00.000Z, 9.775172722, 7, 3600
2019-01-06T12:30:00.000Z, 9.771853333, 7, 3600
2019-01-06T13:30:00.000Z, 9.765586722, 7, 3600
2019-01-06T14:30:00.000Z, 9.762070889, 7, 3600
2019-01-06T15:30:00.000Z, 9.762776139, 7, 3600
2019-01-06T16:30:00.000Z, 9.763582389, 7, 3600
2019-01-06T17:30:00.000Z, 9.760233361, 7, 3600
2019-01-06T18:30:00.000Z, 9.760266972, 7, 3600
2019-01-06T19:30:00.000Z, 9.76321625, 7, 3600
2019-01-06T20:30:00.000Z, 9.768072028, 7, 3600
2019-01-06T21:30:00.000Z, 9.770543417, 7, 3600
2019-01-06T22:30:00.000Z, 9.771357944, 7, 3600
2019-01-06T23:30:00.000Z, 9.772228361, 7, 3600
2019-01-07T00:30:00.000Z, 9.774003639, 7, 3600
2019-01-07T01:30:00.000Z, 9.774498722, 7, 3600
2019-01-07T02:30:00.000Z, 9.775256222, 7, 3600
2019-01-07T03:30:00.000Z, 9.775690667, 7, 3600
2019-01-07T04:30:00.000Z, 9.775558028, 7, 3600
2019-01-07T05:30:00.000Z, 9.775171222, 7, 3600
2019-01-07T06:30:00.000Z, 9.774539861, 7, 3600
2019-01-07T07:30:00.000Z, 9.774246056, 7, 3600
