## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:39:58.723Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 1 Jan - 31 Dec 2019, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20190101T000000Z_20191231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524212                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040016                         / Latitude North
#LONGITUDE:  -123.425450                         / Longitude East
#DEPTH:       296.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2019-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 371"               / Device Name of Device 1
#DEVCODE1:  WLNTUS371                            / Device Code of Device 1
#DEVID1:    23023                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2019-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2019-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2015-08-19T01:12:46.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 3382                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2019-01-01T00:30:00.000Z, 0.7005735, 7, 3600
2019-01-01T01:30:00.000Z, 0.59195025, 7, 3600
2019-01-01T02:30:00.000Z, 0.6593055, 7, 3600
2019-01-01T03:30:00.000Z, 0.61849725, 7, 3600
2019-01-01T04:30:00.000Z, 0.6845055, 7, 3600
2019-01-01T05:30:00.000Z, 1.3318545, 7, 3600
2019-01-01T06:30:00.000Z, 1.299819, 7, 3600
2019-01-01T07:30:00.000Z, 0.7157385, 7, 3600
2019-01-01T08:30:00.000Z, 0.6937845, 7, 3600
2019-01-01T09:30:00.000Z, 0.676986, 7, 3600
2019-01-01T10:30:00.000Z, 0.71010975, 7, 3600
2019-01-01T11:30:00.000Z, 0.6660795, 7, 3600
2019-01-01T12:30:00.000Z, 0.6921, 7, 3600
2019-01-01T13:30:00.000Z, 0.68745622, 7, 3593
2019-01-01T14:30:00.000Z, 0.63081675, 7, 3600
2019-01-01T15:30:00.000Z, 0.52083375, 7, 3600
2019-01-01T16:30:00.000Z, 0.54008925, 7, 3600
2019-01-01T17:30:00.000Z, 0.55192125, 7, 3600
2019-01-01T18:30:00.000Z, 0.626127, 7, 3600
2019-01-01T19:30:00.000Z, 0.52941825, 7, 3600
2019-01-01T20:30:00.000Z, 0.55097175, 7, 3600
2019-01-01T21:30:00.000Z, 0.63891525, 7, 3600
2019-01-01T22:30:00.000Z, 0.67667625, 7, 3600
2019-01-01T23:30:00.000Z, 0.6638115, 7, 3600
2019-01-02T00:30:00.000Z, 0.64988925, 7, 3600
2019-01-02T01:30:00.000Z, 0.663384, 7, 3600
2019-01-02T02:30:00.000Z, 0.69699825, 7, 3600
2019-01-02T03:30:00.000Z, 0.5762085, 7, 3600
2019-01-02T04:30:00.000Z, 0.54249075, 7, 3600
2019-01-02T05:30:00.000Z, 0.55834275, 7, 3600
2019-01-02T06:30:00.000Z, 3.98143425, 7, 3600
2019-01-02T07:30:00.000Z, 0.629031617, 7, 3593
2019-01-02T08:30:00.000Z, 0.6601035, 7, 3600
2019-01-02T09:30:00.000Z, 0.75656625, 7, 3600
2019-01-02T10:30:00.000Z, 0.7471455, 7, 3600
2019-01-02T11:30:00.000Z, 0.78168825, 7, 3600
2019-01-02T12:30:00.000Z, 0.740757, 7, 3600
2019-01-02T13:30:00.000Z, 0.67061625, 7, 3600
2019-01-02T14:30:00.000Z, 0.61725525, 7, 3600
2019-01-02T15:30:00.000Z, 0.637338, 7, 3600
2019-01-02T16:30:00.000Z, 0.609408, 7, 3600
2019-01-02T17:30:00.000Z, 0.652038, 7, 3600
2019-01-02T18:30:00.000Z, 0.611652, 7, 3600
2019-01-02T19:30:00.000Z, 0.5500125, 7, 3600
2019-01-02T20:30:00.000Z, 0.5414145, 7, 3600
2019-01-02T21:30:00.000Z, 0.6391335, 7, 3600
2019-01-02T22:30:00.000Z, 0.76428675, 7, 3600
2019-01-02T23:30:00.000Z, 88.2685095, 7, 3600
2019-01-03T00:30:00.000Z, 30.33594525, 7, 3600
2019-01-03T01:30:00.000Z, 1.050913022, 7, 3594
2019-01-03T02:30:00.000Z, 0.6268305, 7, 3600
