"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Time"
"1",0,0,0,0,0,1,0,0,0,0,0,2021-01-01 00:30:00
"2",0,0,0,0,0,0,0,0,0,0,0,2021-01-01 12:30:00
"3",0,0,0,0,0,0,0,0,0,0,0,2021-01-02 00:30:00
"4",0,0,0,0,0,0,0,0,0,0,0,2021-01-02 12:30:00
"5",0,0,0,0,0,0,0,0,0,0,0,2021-01-03 00:30:00
"6",0,0,0,0,0,0,0,0,0,0,0,2021-01-03 12:30:00
"7",0,0,0,0,0,0,0,0,0,0,0,2021-01-04 00:30:00
"8",0,0,0,0,0,0,0,0,0,0,0,2021-01-04 12:30:00
"9",0,0,0,0,0,0,0,0,0,0,0,2021-01-05 00:30:00
"10",0,0,0,0,0,0,0,0,0,0,0,2021-01-05 12:30:00
"11",0,0,0,0,0,0,0,0,0,0,0,2021-01-06 00:30:00
"12",0,0,0,0,0,0,0,0,0,0,0,2021-01-06 12:30:00
"13",0,0,0,0,0,0,0,0,0,0,0,2021-01-07 00:30:00
"14",0,0,0,0,0,0,0,0,0,0,0,2021-01-07 12:30:00
"15",0,0,0,0,0,0,0,0,0.002,0,0,2021-01-08 00:30:00
"16",0,0,0,0,0,0,0.004,0,0.002,0,0,2021-01-08 12:30:00
"17",0.818,0,0,0,0,0,0.012,0,0.004,0,0,2021-01-09 00:30:00
"18",0,0,0,0,0,0,0.066,0,0,0,0,2021-01-09 12:30:00
"19",0,0,0,0,0,0,0.13,0,0.002,0,0,2021-01-10 00:30:00
"20",0,0,0,0,0,0,0.18,0,0,0,0,2021-01-10 12:30:00
"21",0,0,0,0,0,0,0.21,0,0,0,0,2021-01-11 00:30:00
"22",0,0,0,0,0,0,0.132,0,0,0,0,2021-01-11 12:30:00
"23",0,0,0,0,0,0,0.082,0,0,0,0,2021-01-12 00:30:00
"24",0,0,0,0,0,0,0.04,0,0,0,0,2021-01-12 12:30:00
"25",0,0,0,0,0,0,0.008,0,0,0,0,2021-01-13 00:30:00
"26",0.182,0,0,0,0,0,0.002,0,0,0,0,2021-01-13 12:30:00
"27",0,0,0.002,0,0,0,0,0,0,0,0,2021-01-14 00:30:00
"28",0,0,0,0,0,1,0,0,0,0,0,2021-01-14 12:30:00
"29",0,0,0.004,0,0,0.89,0,0,0,0,0,2021-01-15 00:30:00
"30",0,0,0.002,0,0,0,0,0,0,0,0,2021-01-15 12:30:00
"31",0,0,0.002,0,0,0,0,0,0,0,0,2021-01-16 00:30:00
"32",0,0,0.006,0,0,0,0,0,0,0,0,2021-01-16 12:30:00
"33",0,0,0.006,0,0,0,0,0,0,0,0,2021-01-17 00:30:00
"34",0,0,0.02,0,0,0,0,0,0,0,0.008,2021-01-17 12:30:00
"35",0,0,0.006,0,0,1,0,0,0,0,0,2021-01-18 00:30:00
"36",0,0,0.014,0.008,0,0,0,1,0,0,0.002,2021-01-18 12:30:00
"37",0,0,0.016,0.036,0,0,0,0,0,0,0,2021-01-19 00:30:00
"38",0,0,0.068,0.008,0,0,0,0,0,0,0.004,2021-01-19 12:30:00
"39",0,0,0.066,0.9,0,0,0,0,0,0,0,2021-01-20 00:30:00
"40",0,0,0.086,0,0,0,0,0,0,0,0,2021-01-20 12:30:00
"41",0,0,0.058,0,0,0,0,0,0,0,0,2021-01-21 00:30:00
"42",0,0,0.018,0,0,0,0,0,0,0,0,2021-01-21 12:30:00
"43",0,0,0.018,0,0,0,0,0,0,0,0,2021-01-22 00:30:00
"44",0,0,0.014,0,0,0,0,0,0,0,0,2021-01-22 12:30:00
"45",0,0,0.008,0,0,0,0,0,0,0,0,2021-01-23 00:30:00
"46",0,0,0.004,0,0,0,0,0,0,0,0,2021-01-23 12:30:00
"47",1,0,0.002,0,0,0,0,0,0,0,0,2021-01-24 00:30:00
"48",0,0,0.008,0,0,0,0,0,0,0,0,2021-01-24 12:30:00
"49",0,0,0.002,0,0,0,0,0,0,0,0,2021-01-25 00:30:00
"50",0,0,0,0.046,0,0,0,0,0,0,0,2021-01-25 12:30:00
"51",0,0,0,0,0,0,0,0,0,0,0,2021-01-26 00:30:00
"52",0,1,0.004,0,0,0,0,0,0,0,0.002,2021-01-26 12:30:00
"53",0,0,0,1,0,0,0,0,0,0,0,2021-01-27 00:30:00
"54",0,0,0.012,0,0,0.032,0,0,0.072,0,0,2021-01-27 12:30:00
"55",0,0,0.008,0,0,0.968,0,0,0,0,0,2021-01-28 00:30:00
"56",0,0,0.016,1,0,0,0,0,0,0,0.006,2021-01-28 12:30:00
"57",0,0,0.016,0,0,0,0,0,0,0,0,2021-01-29 00:30:00
"58",0,0,0.014,0,0,0,0,0,0,0,0.004,2021-01-29 12:30:00
"59",0,0,0.02,0,0,0,0,0,0,0,0.898,2021-01-30 00:30:00
"60",0,0,0.006,0,0,0,0,0,0,0,0,2021-01-30 12:30:00
"61",0,0,0,0,0,0,0,0,0,0,0,2021-01-31 00:30:00
"62",0,0,0.016,0,0,0,0,0,0,0,0,2021-01-31 12:30:00
"63",0,0,0.004,0,0,0,0,0,0,0,0,2021-02-01 00:30:00
"64",0,0,0.004,0,0,0,0,0,0,0,0,2021-02-01 12:30:00
"65",0,0,0.004,0,0,0,0,0,0,0,0,2021-02-02 00:30:00
